Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Воробьевская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13935	988	211	272	324	263	2000	1397	818	289	387	439	513	872	674	295	463	465	360	833	625	521	541	221	164									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14520	1050	230	280	350	280	2000	1400	900	320	420	500	550	920	700	320	460	470	370	850	650	530	570	230	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10356	821	153	221	241	182	1284	1009	562	198	326	339	414	742	381	208	330	347	236	699	517	429	414	155	148									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2651	110	37	40	65	63	579	298	87	72	34	70	64	113	253	67	101	102	99	76	67	77	100	62	15									
6	Число погашенных избирательных бюллетеней	1513	119	40	19	44	35	137	93	251	50	60	91	72	65	66	45	29	21	35	75	66	24	56	13	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2651	110	37	40	65	63	579	298	87	72	34	70	64	113	253	67	101	102	99	76	67	77	100	62	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10356	821	153	221	241	182	1284	1009	562	198	326	339	414	742	381	208	330	347	236	699	517	429	414	155	148									
9	Число недействительных избирательных бюллетеней	49	0	2	1	0	0	19	0	21	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	12958	931	188	260	306	245	1844	1307	628	270	360	409	478	855	634	269	431	449	335	775	584	506	514	217	163									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	40	15	15	50	15	70	45	95	25	25	35	35	45	35	25	40	5	5	30	25	25	25	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	545	40	15	5	50	15	17	8	95	25	25	35	35	45	35	25	2	5	1	5	19	9	25	6	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	0	1	0	1	0	0	2	3	0	0	0	0	0	4	3	0	0	1	0	0	8	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	205	0	0	10	0	0	53	37	0	0	0	0	0	0	0	0	38	0	4	25	6	16	0	4	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	4	0	0	1	0	7	3	5	5	3	1	0	1	2	1	3	3	0	2	3	5	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	20	0	1	6	2	0	0	0	5	0	1	1	0	0	0	3	0	1	0	0	0	0	0	0	0									
		0.15%	0.00%	0.53%	2.30%	0.65%	0.00%	0.00%	0.00%	0.77%	0.00%	0.28%	0.24%	0.00%	0.00%	0.00%	1.09%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	47	0	4	0	3	0	0	8	17	0	8	0	0	0	0	2	1	4	0	0	0	0	0	0	0									
		0.36%	0.00%	2.11%	0.00%	0.98%	0.00%	0.00%	0.61%	2.62%	0.00%	2.22%	0.00%	0.00%	0.00%	0.00%	0.73%	0.23%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	18	0	1	0	0	0	0	0	2	0	3	0	0	1	0	4	1	6	0	0	0	0	0	0	0									
		0.14%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.83%	0.00%	0.00%	0.12%	0.00%	1.45%	0.23%	1.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9668	585	127	215	226	181	1372	1030	382	201	291	205	242	777	489	201	229	342	205	696	518	398	426	191	139									
		74.33%	62.84%	66.84%	82.38%	73.86%	73.88%	73.64%	78.81%	58.86%	74.44%	80.83%	50.12%	50.63%	90.88%	77.13%	73.09%	53.13%	76.17%	61.19%	89.81%	88.70%	78.66%	82.88%	88.02%	85.28%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	0	1	0	0	0	0	0	1	0	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0									
		0.06%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.56%	0.00%	0.00%	0.12%	0.00%	0.73%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	484	46	21	11	10	11	88	26	95	13	26	2	3	7	24	18	11	14	10	4	4	25	10	2	3									
		3.72%	4.94%	11.05%	4.21%	3.27%	4.49%	4.72%	1.99%	14.64%	4.81%	7.22%	0.49%	0.63%	0.82%	3.79%	6.55%	2.55%	3.12%	2.99%	0.52%	0.68%	4.94%	1.95%	0.92%	1.84%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.36%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	0	1	2	0	0	0	0	3	0	2	0	0	1	0	0	3	3	0	0	0	0	0	0	0									
		0.12%	0.00%	0.53%	0.77%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.56%	0.00%	0.00%	0.12%	0.00%	0.00%	0.70%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	940	79	30	21	23	21	269	164	98	22	21	9	3	7	46	34	12	14	13	20	6	17	7	2	2									
		7.23%	8.49%	15.79%	8.05%	7.52%	8.57%	14.44%	12.55%	15.10%	8.15%	5.83%	2.20%	0.63%	0.82%	7.26%	12.36%	2.78%	3.12%	3.88%	2.58%	1.03%	3.36%	1.36%	0.92%	1.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	0	0	0	4	0	0	7	1	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0									
		0.14%	0.00%	0.00%	0.00%	1.31%	0.00%	0.00%	0.54%	0.15%	0.00%	0.28%	0.73%	0.00%	0.12%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1726	221	2	5	38	32	115	72	19	34	2	189	230	60	75	4	170	62	107	55	56	66	71	22	19									
		13.27%	23.74%	1.05%	1.92%	12.42%	13.06%	6.17%	5.51%	2.93%	12.59%	0.56%	46.21%	48.12%	7.02%	11.83%	1.45%	39.44%	13.81%	31.94%	7.10%	9.59%	13.04%	13.81%	10.14%	11.66%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
