Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
Наименование Избирательной комиссии:    Бековская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329					
1	"Число избирателей, внесенных в список избирателей"	14015	974	992	1850	1800	550	359	335	579	271	268	777	425	182	99	230	251	115	410	319	362	1371	1496					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14223	990	1000	1870	1825	560	365	350	585	275	270	795	430	188	100	240	250	115	425	330	360	1390	1510					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9303	801	679	1158	1389	371	243	237	284	223	195	500	298	120	75	115	180	64	176	185	209	787	1014					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1920	83	62	252	115	55	72	59	118	19	36	187	72	31	12	90	31	35	162	63	93	162	111					
6	Число погашенных избирательных бюллетеней	3000	106	259	460	321	134	50	54	183	33	39	108	60	37	13	35	39	16	87	82	58	441	385					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1920	83	62	252	115	55	72	59	118	19	36	187	72	31	12	90	31	35	162	63	93	162	111					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9303	801	679	1158	1389	371	243	237	284	223	195	500	298	120	75	115	180	64	176	185	209	787	1014					
9	Число недействительных избирательных бюллетеней	215	7	6	20	10	35	0	23	23	15	1	15	13	0	0	0	1	0	1	1	24	13	7					
10	Число действительных избирательных бюллетеней	11008	877	735	1390	1494	391	315	273	379	227	230	672	357	151	87	205	210	99	337	247	278	936	1118					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	285	20	20	35	35	10	7	10	10	5	5	15	7	5	3	10	5	3	10	5	5	30	30					
