Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Фаленская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9586	566	195	549	531	248	302	268	124	259	326	65	192	640	190	248	156	1560	1583	1584									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9730	590	200	550	550	260	300	280	130	260	330	70	200	660	190	230	150	1580	1600	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3878	221	89	256	244	120	146	115	45	111	123	36	74	271	82	107	57	646	588	547									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	764	77	13	26	32	17	29	42	3	29	47	10	35	50	21	30	20	85	76	122									
6	Число погашенных избирательных бюллетеней	5088	292	98	268	274	123	125	123	82	120	160	24	91	339	87	93	73	849	936	931									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	764	77	13	26	32	17	29	42	3	29	47	10	35	50	21	30	20	85	76	122									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3878	221	89	256	244	120	146	115	45	111	123	36	74	271	82	107	57	646	588	547									
9	Число недействительных избирательных бюллетеней	72	3	1	3	7	1	1	2	1	3	3	0	1	7	1	3	2	15	8	10									
10	Число действительных избирательных бюллетеней	4570	295	101	279	269	136	174	155	47	137	167	46	108	314	102	134	75	716	656	659									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	423	30	20	30	30	15	15	15	10	15	15	10	10	30	15	15	13	45	45	45									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	162	10	7	7	14	6	5	15	10	4	5	4	7	13	5	3	1	23	10	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	1	1	2	1	1	4	2	2	1	1	2	2	0	2	3	4	10	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	261	20	13	23	16	9	10	0	0	11	10	6	3	17	10	12	12	22	35	32									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	1	0	0	0	1	0	0	0	0	2	0	1	1	1	0	0	11	7	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	1	5	1	1	2	1	0	0	3	2	0	0	5	0	0	2	4	9	7									
		0.93%	0.34%	4.90%	0.35%	0.36%	1.46%	0.57%	0.00%	0.00%	2.14%	1.18%	0.00%	0.00%	1.56%	0.00%	0.00%	2.60%	0.55%	1.36%	1.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	142	6	6	10	9	2	6	18	0	4	3	1	5	12	2	1	9	13	17	18									
		3.06%	2.01%	5.88%	3.55%	3.26%	1.46%	3.43%	11.46%	0.00%	2.86%	1.76%	2.17%	4.59%	3.74%	1.94%	0.73%	11.69%	1.78%	2.56%	2.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	112	14	1	4	5	3	2	1	0	2	2	4	2	7	2	5	2	15	18	23									
		2.41%	4.70%	0.98%	1.42%	1.81%	2.19%	1.14%	0.64%	0.00%	1.43%	1.18%	8.70%	1.83%	2.18%	1.94%	3.65%	2.60%	2.05%	2.71%	3.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1855	141	42	132	133	75	77	71	18	58	88	20	37	77	33	89	37	274	244	209									
		39.96%	47.32%	41.18%	46.81%	48.19%	54.74%	44.00%	45.22%	37.50%	41.43%	51.76%	43.48%	33.94%	23.99%	32.04%	64.96%	48.05%	37.48%	36.75%	31.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	1	0	2	1	1	1	1	0	0	3	0	0	1	0	0	0	2	10	6									
		0.62%	0.34%	0.00%	0.71%	0.36%	0.73%	0.57%	0.64%	0.00%	0.00%	1.76%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.27%	1.51%	0.90%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	2									
		0.17%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.31%	0.00%	0.73%	0.00%	0.00%	0.30%	0.30%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1239	79	26	82	53	28	46	19	9	30	33	12	27	99	27	19	17	239	172	222									
		26.69%	26.51%	25.49%	29.08%	19.20%	20.44%	26.29%	12.10%	18.75%	21.43%	19.41%	26.09%	24.77%	30.84%	26.21%	13.87%	22.08%	32.69%	25.90%	33.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	2	2									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.75%	0.31%	0.00%	0.00%	0.00%	0.14%	0.30%	0.30%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	0	0	2	2	1	0	0	0	0	1	0	0	2	0	0	0	8	4	6									
		0.56%	0.00%	0.00%	0.71%	0.72%	0.73%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	1.09%	0.60%	0.90%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1									
		0.11%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.15%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	1	0	0	1	1	1	0	1	1	1	1	1	4	1	0	0	6	8	10									
		0.82%	0.34%	0.00%	0.00%	0.36%	0.73%	0.57%	0.00%	2.08%	0.71%	0.59%	2.17%	0.92%	1.25%	0.97%	0.00%	0.00%	0.82%	1.20%	1.49%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	803	35	15	31	46	17	29	35	19	31	27	7	23	87	33	15	7	114	120	112									
		17.30%	11.74%	14.71%	10.99%	16.67%	12.41%	16.57%	22.29%	39.58%	22.14%	15.88%	15.22%	21.10%	27.10%	32.04%	10.95%	9.09%	15.60%	18.07%	16.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	1	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	1	4	3									
		0.32%	0.34%	0.00%	0.00%	0.36%	0.73%	0.57%	0.00%	0.00%	1.43%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.14%	0.60%	0.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	246	15	6	14	17	5	10	10	0	4	7	1	9	18	4	4	1	38	45	38									
		5.30%	5.03%	5.88%	4.96%	6.16%	3.65%	5.71%	6.37%	0.00%	2.86%	4.12%	2.17%	8.26%	5.61%	3.88%	2.92%	1.30%	5.20%	6.78%	5.68%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
