Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Горно-Алтайская городская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43510	2070	2003	1736	2241	2510	2968	2083	1940	1382	1389	1312	2161	1497	2614	1942	1131	2365	1441	2134	2080	2000	1990	521									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31665	1500	1500	1200	1600	1600	2100	1500	1500	1000	1000	1000	1500	1259	1900	1306	1000	1700	1000	1500	1500	1500	1500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16393	794	810	700	759	912	907	848	955	605	665	615	807	704	851	813	362	812	468	730	651	787	612	226									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	659	14	14	12	104	62	16	13	23	24	10	48	26	12	23	32	16	14	10	24	21	22	11	108									
6	Число погашенных избирательных бюллетеней	14607	692	676	488	737	626	1177	639	522	371	325	337	667	537	1026	461	622	874	522	746	828	691	877	166									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	665	14	14	12	104	62	16	13	23	24	10	48	26	18	23	32	16	14	10	24	21	22	11	108									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16393	794	810	700	759	912	907	848	955	605	665	615	807	704	851	813	362	812	468	730	651	787	612	226									
9	Число недействительных избирательных бюллетеней	306	9	16	5	18	14	12	12	23	9	8	14	11	14	11	16	5	25	9	18	18	13	9	17									
10	Число действительных избирательных бюллетеней	16752	799	808	707	845	960	911	849	955	620	667	649	822	708	863	829	373	801	469	736	654	796	614	317									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	660	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	239	11	10	7	14	23	15	12	20	10	13	5	11	8	11	14	6	8	4	8	7	8	14	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	227	6	12	13	8	7	10	11	11	10	19	5	23	10	6	16	5	5	2	11	5	13	9	10									
14	Число погашенных неиспользованных открепительных удостоверений	421	19	20	23	16	7	15	18	10	20	17	25	19	22	19	16	24	22	26	22	23	22	16	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	5	1	0	4	12	5	6	2	1	1	1	6	4	3	2	1	5	0	3	2	0	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	694	28	46	21	28	42	56	37	38	25	29	26	27	36	43	31	15	23	20	37	32	27	18	9									
		4.07%	3.47%	5.58%	2.95%	3.24%	4.31%	6.07%	4.30%	3.89%	3.97%	4.30%	3.92%	3.24%	4.99%	4.92%	3.67%	3.97%	2.78%	4.18%	4.91%	4.76%	3.34%	2.89%	2.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	440	25	18	18	34	17	21	25	29	12	14	13	15	23	21	19	12	17	15	21	20	23	13	15									
		2.58%	3.09%	2.18%	2.53%	3.94%	1.75%	2.28%	2.90%	2.97%	1.91%	2.07%	1.96%	1.80%	3.19%	2.40%	2.25%	3.17%	2.06%	3.14%	2.79%	2.98%	2.84%	2.09%	4.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	301	17	16	18	12	13	14	15	16	11	16	9	8	16	15	13	11	15	11	13	14	10	11	7									
		1.76%	2.10%	1.94%	2.53%	1.39%	1.33%	1.52%	1.74%	1.64%	1.75%	2.37%	1.36%	0.96%	2.22%	1.72%	1.54%	2.91%	1.82%	2.30%	1.72%	2.08%	1.24%	1.77%	2.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6713	319	295	274	338	414	353	320	378	266	260	262	306	303	371	350	171	317	174	269	228	314	309	122									
		39.35%	39.48%	35.80%	38.48%	39.17%	42.51%	38.24%	37.17%	38.65%	42.29%	38.52%	39.52%	36.73%	41.97%	42.45%	41.42%	45.24%	38.38%	36.40%	35.68%	33.93%	38.81%	49.60%	36.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	152	8	8	4	7	11	18	4	6	6	4	5	8	7	9	6	2	12	4	11	4	3	3	2									
		0.89%	0.99%	0.97%	0.56%	0.81%	1.13%	1.95%	0.46%	0.61%	0.95%	0.59%	0.75%	0.96%	0.97%	1.03%	0.71%	0.53%	1.45%	0.84%	1.46%	0.60%	0.37%	0.48%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	0	0	2	1	2	0	1	0	1	2	0	1	1	0	0	0	1	4	0	1	2	1									
		0.12%	0.00%	0.00%	0.00%	0.23%	0.10%	0.22%	0.00%	0.10%	0.00%	0.15%	0.30%	0.00%	0.14%	0.11%	0.00%	0.00%	0.00%	0.21%	0.53%	0.00%	0.12%	0.32%	0.30%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2926	144	132	126	137	166	173	128	144	84	87	85	157	76	156	140	83	164	94	163	177	168	89	53									
		17.15%	17.82%	16.02%	17.70%	15.87%	17.04%	18.74%	14.87%	14.72%	13.35%	12.89%	12.82%	18.85%	10.53%	17.85%	16.57%	21.96%	19.85%	19.67%	21.62%	26.34%	20.77%	14.29%	15.87%									
