Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Уйская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19257	623	202	522	88	682	784	188	163	543	1203	214	183	302	259	690	454	110	146	702	857	446	376	165	198	250	179	259	219	270	302	1407	1325	1898	1191	195	298	220	135	341	239	429									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16400	500	150	450	70	600	700	150	120	500	1200	150	150	200	200	600	400	80	100	640	700	350	300	130	150	200	130	180	200	200	250	1300	1200	1700	1000	150	250	150	100	250	200	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8754	304	110	228	47	276	404	101	92	244	570	118	89	159	95	346	350	72	80	283	397	205	170	94	105	143	72	154	143	134	138	617	616	566	350	114	158	107	62	184	134	123									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1195	35	21	19	9	75	50	17	7	70	136	26	23	19	45	70	31	7	16	56	56	15	19	7	8	7	9	25	8	10	19	37	23	64	49	0	21	13	3	14	16	40									
6	Число погашенных избирательных бюллетеней	6451	161	19	203	14	249	246	32	21	186	494	6	38	22	60	184	19	1	4	301	247	130	111	29	37	50	49	1	49	56	93	646	561	1070	601	36	71	30	35	52	50	187									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1195	35	21	19	9	75	50	17	7	70	136	26	23	19	45	70	31	7	16	56	56	15	19	7	8	7	9	25	8	10	19	37	23	64	49	0	21	13	3	14	16	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8754	304	110	228	47	276	404	101	92	244	570	118	89	159	95	346	350	72	80	283	397	205	170	94	105	143	72	154	143	134	138	617	616	566	350	114	158	107	62	184	134	123									
9	Число недействительных избирательных бюллетеней	193	9	0	9	2	6	4	2	1	6	11	3	0	0	0	6	24	1	1	6	2	4	5	2	2	2	0	4	2	0	1	19	10	16	10	5	0	2	3	1	4	8									
10	Число действительных избирательных бюллетеней	9756	330	131	238	54	345	450	116	98	308	695	141	112	178	140	410	357	78	95	333	451	216	184	99	111	148	81	175	149	144	156	635	629	614	389	109	179	118	62	197	146	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	393	20	5	10	5	10	10	5	5	15	45	5	5	5	5	20	38	5	0	10	10	10	5	5	5	5	5	5	5	5	10	25	15	10	10	5	5	5	5	5	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	234	20	5	2	5	10	9	0	1	15	45	0	0	0	2	20	38	5	0	0	3	1	0	0	1	0	1	0	0	0	0	25	4	10	4	0	2	0	4	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	1	3	0	3	1	1	0	2	1	0	1	0	0	2	0	2	1	2	3	4	0	1	1	0	0	0	0	0	0	0	0	2	5	1	1	1	0	1	0	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	159	0	0	8	0	0	1	5	4	0	0	5	5	5	3	0	0	0	0	10	7	9	5	5	4	5	4	5	5	5	10	0	11	0	6	5	3	5	1	4	5	9									
