Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																													
Дата голосования: 02.12.2007																																													
																																													
"Наименование Избирательной комиссии:    Ульяновск, Железнодорожная"																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787					
1	"Число избирателей, внесенных в списки избирателей"	76694	1914	2623	1522	2183	2330	2492	2181	2025	2262	1527	2032	1545	1727	2669	1323	2224	2676	2507	2562	2126	2436	2370	2715	2156	2698	2570	2266	1640	1712	1052	1038	2480	878	1362	219	2158	2821	1673					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	68200	2100	2200	1400	1800	2100	2300	1900	1800	2000	1300	1800	1200	1600	2400	1100	2000	2300	2300	2300	1900	2200	2100	2500	1900	2500	2300	2000	1400	1500	900	900	2200	700	1200	200	1900	2500	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	39716	1222	1208	949	1163	1430	1453	993	1114	974	743	1076	758	891	1329	556	1210	1413	1302	1249	1115	1292	997	1487	1268	1324	1401	1269	892	968	470	355	1269	493	636	132	1099	1266	950					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3311	692	583	36	141	24	45	39	30	74	31	101	184	38	27	32	80	72	49	66	36	61	18	45	38	23	45	52	20	30	48	292	71	22	42	13	52	51	8					
6	Число погашенных избирательных бюллетеней	25173	186	409	415	496	646	802	868	656	952	526	623	258	671	1044	512	710	815	949	985	749	847	1085	968	594	1153	854	679	488	502	382	253	860	185	522	55	749	1183	542					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3309	690	583	36	141	24	45	39	30	74	31	101	184	38	27	32	80	72	49	66	36	61	18	45	38	23	45	52	20	30	48	292	71	22	42	13	52	51	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39688	1218	1206	949	1161	1430	1451	993	1114	974	743	1076	758	891	1327	556	1210	1411	1298	1249	1115	1291	997	1486	1266	1322	1401	1269	892	967	470	355	1269	493	636	132	1099	1266	947					
9	Число недействительных избирательных бюллетеней	502	24	43	13	12	20	20	10	10	17	8	10	8	16	8	6	12	12	11	12	8	16	6	15	19	32	16	10	10	12	8	7	8	6	7	1	18	20	11					
10	Число действительных избирательных бюллетеней	42495	1884	1746	972	1290	1434	1476	1022	1134	1031	766	1167	934	913	1346	582	1278	1471	1336	1303	1143	1336	1009	1516	1285	1313	1430	1311	902	985	510	640	1332	509	671	144	1133	1297	944					
