Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Чишминская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38522	581	649	208	419	401	564	557	667	267	362	242	213	424	162	193	404	209	519	506	305	271	387	350	275	571	461	1998	1423	434	214	330	767	311	1352	609	401	262	332	298	369	328	1278	988	403	954	2286	1187	1074	2263	2086	2041	2356	2011									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39809	581	665	207	422	405	702	582	681	284	370	243	218	436	172	200	416	224	562	549	317	299	401	362	290	685	476	2121	1486	489	239	359	786	322	1406	713	412	266	340	308	376	347	1249	1010	417	960	2296	1211	1097	2295	2098	2034	2388	2035									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26177	452	464	182	376	222	208	440	483	170	131	137	111	402	146	172	341	166	258	265	163	225	361	321	221	352	322	1389	1151	327	165	253	551	259	947	500	300	179	276	198	307	224	1000	649	301	650	1551	577	508	1527	1428	1211	1891	767									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3233	86	96	15	23	96	131	91	38	17	73	17	29	16	13	17	36	41	43	59	42	25	19	24	40	54	12	48	14	107	38	60	103	0	300	80	70	57	52	97	34	64	180	240	84	20	73	35	25	19	27	109	51	93									
6	Число погашенных избирательных бюллетеней	10399	43	105	10	23	87	363	51	160	97	166	89	78	18	13	11	39	17	261	225	112	49	21	17	29	279	142	684	321	55	36	46	132	63	159	133	42	30	12	13	35	59	69	121	32	290	672	599	564	749	643	714	446	1175									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3229	86	96	15	23	96	127	91	38	17	73	17	29	16	13	17	36	41	43	59	42	25	19	24	40	54	12	48	14	107	38	60	103	0	300	80	70	57	52	97	34	64	180	240	84	20	73	35	25	19	27	109	51	93									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26177	452	464	182	376	222	208	440	483	170	131	137	111	402	146	172	341	166	258	265	163	225	361	321	221	352	322	1389	1151	327	165	253	551	259	947	500	300	179	276	198	307	224	1000	649	301	650	1551	577	508	1527	1428	1211	1891	767									
9	Число недействительных избирательных бюллетеней	219	0	9	1	0	2	10	5	3	0	5	2	6	4	3	3	1	0	17	0	3	0	0	1	1	16	1	12	5	0	0	2	1	0	19	9	3	3	3	0	0	0	0	0	0	4	21	4	18	21	0	0	0	1									
10	Число действительных избирательных бюллетеней	29187	538	551	196	399	316	325	526	518	187	199	152	134	414	156	186	376	207	284	324	202	250	380	344	260	390	333	1425	1160	434	203	311	653	259	1228	571	367	233	325	295	341	288	1180	889	385	666	1603	608	515	1525	1455	1320	1942	859									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	784	15	10	0	1	5	46	20	10	19	5	3	3	10	5	5	10	10	25	35	10	3	20	5	9	10	10	35	55	35	25	25	10	5	25	10	5	5	5	5	3	20	10	10	5	5	18	12	20	35	20	25	27	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	784	15	10	0	1	5	46	20	10	19	5	3	3	10	5	5	10	10	25	35	10	3	20	5	9	10	10	35	55	35	25	25	10	5	25	10	5	5	5	5	3	20	10	10	5	5	18	12	20	35	20	25	27	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	175	2	3	4	1	3	4	3	0	5	5	4	0	5	0	0	5	2	1	1	2	1	1	1	1	0	0	2	4	1	6	3	0	1	3	5	0	2	0	0	0	4	0	3	0	0	37	0	9	5	19	2	9	6									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	1	1	0	0	2	6	0	0	0	0	1	3	0	1	0	1	0	0	0	0	0	0	3	10	7	3	5	2	3	4	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	193	7	4	2	2	6	5	17	3	4	1	0	0	3	0	0	5	1	1	2	2	1	0	3	2	5	4	16	17	4	0	1	1	0	7	5	0	0	0	0	0	0	2	0	0	6	7	10	8	0	3	5	21	0									
		0.66%	1.30%	0.71%	1.02%	0.50%	1.89%	1.49%	3.20%	0.58%	2.14%	0.49%	0.00%	0.00%	0.72%	0.00%	0.00%	1.33%	0.48%	0.33%	0.62%	0.98%	0.40%	0.00%	0.87%	0.77%	1.23%	1.20%	1.11%	1.46%	0.92%	0.00%	0.32%	0.15%	0.00%	0.56%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.90%	0.43%	1.63%	1.50%	0.00%	0.21%	0.38%	1.08%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	650	50	35	8	14	10	6	24	21	19	13	6	3	9	1	5	8	0	23	18	9	9	21	7	7	16	7	42	43	16	8	1	0	10	32	12	0	1	0	0	18	3	0	5	0	20	4	9	30	6	1	6	34	0									
		2.21%	9.29%	6.25%	4.06%	3.51%	3.14%	1.79%	4.52%	4.03%	10.16%	6.37%	3.90%	2.14%	2.15%	0.63%	2.65%	2.12%	0.00%	7.64%	5.56%	4.39%	3.60%	5.53%	2.03%	2.68%	3.94%	2.10%	2.92%	3.69%	3.69%	3.94%	0.32%	0.00%	3.86%	2.57%	2.07%	0.00%	0.42%	0.00%	0.00%	5.28%	1.04%	0.00%	0.56%	0.00%	2.99%	0.25%	1.47%	5.63%	0.39%	0.07%	0.45%	1.75%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	385	5	10	5	5	7	7	26	7	1	2	8	0	10	1	0	5	2	8	1	0	0	1	3	2	4	8	39	42	5	0	6	1	16	16	5	0	11	0	0	6	3	10	5	2	11	8	10	15	6	4	7	26	3									
		1.31%	0.93%	1.79%	2.54%	1.25%	2.20%	2.09%	4.90%	1.34%	0.53%	0.98%	5.19%	0.00%	2.39%	0.63%	0.00%	1.33%	0.97%	2.66%	0.31%	0.00%	0.00%	0.26%	0.87%	0.77%	0.99%	2.40%	2.71%	3.61%	1.15%	0.00%	1.92%	0.15%	6.18%	1.28%	0.86%	0.00%	4.66%	0.00%	0.00%	1.76%	1.04%	0.85%	0.56%	0.52%	1.64%	0.49%	1.63%	2.81%	0.39%	0.27%	0.53%	1.34%	0.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18013	321	356	130	281	237	174	316	320	115	129	97	95	350	142	174	280	138	151	239	173	166	261	219	195	272	244	951	743	306	134	205	392	156	981	445	220	160	196	177	276	255	767	576	261	404	1119	404	279	929	546	763	276	517									
