Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Динская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248					
1	"Число избирателей, внесенных в список избирателей"	93154	2269	2108	2310	1827	1913	1839	2894	2676	1785	1895	1690	1783	2223	1069	2683	1060	761	2458	2429	2486	2589	2227	1775	1851	1696	2188	2394	2418	2563	2522	867	2518	2658	2661	1588	2459	2497	302	554	2013	2340	1684	1648	1308	1006	928	2260	1482					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85440	2200	2000	2100	1700	1700	1700	2700	2400	1500	1700	1400	1600	2200	1000	2600	1000	700	2300	2400	2300	2400	2000	1700	1500	1400	2000	2000	2200	2500	2300	700	2200	2500	2500	1400	2200	2700	290	550	1900	2100	1400	1400	1000	1000	900	2100	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	58951	1744	1200	1410	938	1617	984	1984	2165	1381	1492	912	1197	1389	682	1845	855	403	1661	1729	1453	1358	1030	974	968	960	1039	1277	1950	2141	1910	517	1152	1653	1341	949	1483	1907	115	347	1678	1703	788	717	587	631	456	1250	1029					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6460	408	83	96	165	79	117	71	111	112	169	102	68	145	78	139	99	138	110	76	84	80	175	67	58	51	130	225	199	207	390	19	225	127	150	201	72	158	89	138	54	197	87	143	213	51	53	220	231					
6	Число погашенных избирательных бюллетеней	20029	48	717	594	597	4	599	645	124	7	39	386	335	666	240	616	46	159	529	595	763	962	795	659	474	389	831	498	51	152	0	164	823	720	1009	250	645	635	86	65	168	200	525	540	200	318	391	630	140					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6459	407	83	96	165	79	117	71	111	112	169	102	68	145	78	139	99	138	110	76	84	80	175	67	58	51	130	225	199	207	390	19	225	127	150	201	72	158	89	138	54	197	87	143	213	51	53	220	231					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58912	1739	1200	1410	938	1617	984	1984	2165	1381	1491	912	1191	1389	675	1845	855	403	1661	1729	1453	1358	1030	974	968	947	1039	1277	1950	2141	1910	517	1152	1653	1341	949	1483	1907	115	347	1678	1697	787	717	587	631	456	1250	1029					
9	Число недействительных избирательных бюллетеней	1286	33	15	6	12	25	20	103	10	16	15	12	22	34	14	42	17	6	54	27	28	26	31	14	22	51	23	18	32	27	0	7	21	28	26	7	35	25	1	2	12	94	15	9	11	10	14	20	194					
10	Число действительных избирательных бюллетеней	64085	2113	1268	1500	1091	1671	1081	1952	2266	1477	1645	1002	1237	1500	739	1942	937	535	1717	1778	1509	1412	1174	1027	1004	947	1146	1484	2117	2321	2300	529	1356	1752	1465	1143	1520	2040	203	483	1720	1800	859	851	789	672	495	1450	1066					
