Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
Наименование Избирательной комиссии:    Татарская																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31669	1053	960	1956	1185	673	1830	1861	974	864	1337	812	1075	1084	1164	820	1182	421	628	117	156	397	403	205	251	512	583	86	294	86	96	314	133	353	80	239	106	338	124	374	478	136	348	124	103	567	872	110	140	536	138	79	285	83	233	62	669	100	212	234	630	53	351									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30820	1000	950	1900	1150	650	1800	1850	950	850	1300	800	1050	1050	1150	800	1150	400	650	100	150	350	400	190	250	500	550	80	290	80	90	300	130	350	70	240	100	350	120	350	450	130	350	120	100	550	850	100	140	500	130	70	290	80	230	60	650	100	200	230	600	50	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10573	275	220	608	456	199	657	495	419	322	473	261	259	244	233	188	292	163	250	46	77	121	138	70	89	183	231	46	114	31	62	124	39	157	38	95	57	162	60	174	140	39	145	46	48	178	341	47	43	180	48	44	127	51	103	11	243	31	54	96	218	30	182									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1005	16	15	34	55	14	70	47	13	25	32	11	19	20	32	11	27	20	28	13	13	23	13	26	22	30	22	8	10	0	2	24	13	12	1	12	0	2	0	7	5	0	18	16	3	23	53	8	9	28	9	0	9	0	0	0	31	10	6	7	27	0	1									
6	Число погашенных избирательных бюллетеней	19242	709	715	1258	639	437	1073	1308	518	503	795	528	772	786	885	601	831	217	372	41	60	206	249	94	139	287	297	26	166	49	26	152	78	181	31	133	43	186	60	169	305	91	187	58	49	349	456	45	88	292	73	26	154	29	127	49	376	59	140	127	355	20	167									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1004	16	15	34	55	14	70	47	13	25	32	11	19	20	32	11	27	20	28	13	13	23	13	26	22	30	22	8	10	0	2	24	13	12	1	12	0	2	0	7	5	0	18	16	3	23	53	8	9	28	8	0	9	0	0	0	31	10	6	7	27	0	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10570	275	220	608	456	199	656	495	419	320	473	261	259	244	233	188	292	163	250	46	77	121	138	70	89	183	231	46	114	31	62	124	39	157	38	95	57	162	60	174	140	39	145	46	48	178	341	47	43	180	48	44	127	51	103	11	243	31	54	96	218	30	182									
9	Число недействительных избирательных бюллетеней	434	11	13	32	20	9	23	21	22	9	22	12	15	14	13	13	10	11	7	0	5	1	3	2	3	17	9	1	2	1	1	2	0	3	2	9	0	4	0	2	6	3	6	0	3	8	17	1	0	8	4	2	5	2	3	0	7	1	1	4	5	1	3									
10	Число действительных избирательных бюллетеней	11140	280	222	610	491	204	703	521	410	336	483	260	263	250	252	186	309	172	271	59	85	143	148	94	108	196	244	53	122	30	63	146	52	166	37	98	57	160	60	179	139	36	157	62	48	193	377	54	52	200	52	42	131	49	100	11	267	40	59	99	240	29	180									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	20	10	20	20	15	25	25	20	20	20	20	20	20	20	20	20	15	15	3	5	23	13	10	10	13	13	3	10	3	3	15	5	15	3	10	5	15	5	15	15	5	15	5	5	15	20	3	5	15	5	3	10	3	10	3	15	3	10	10	15	3	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	210	3	10	11	11	7	14	13	10	8	14	5	7	2	2	0	6	0	3	1	0	2	2	0	5	13	6	1	0	0	0	2	0	3	0	0	1	15	0	4	1	1	2	0	0	5	3	0	0	0	0	0	0	0	0	0	7	3	1	2	4	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	181	4	5	8	7	5	10	10	7	2	9	2	2	2	6	7	0	2	1	5	1	3	3	6	1	2	5	0	4	1	2	2	1	1	0	1	1	1	2	1	1	1	3	6	3	1	2	1	0	6	3	2	0	1	3	1	5	3	2	2	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	540	17	0	9	9	8	11	12	10	12	6	15	13	18	18	20	14	15	12	2	5	21	11	10	5	0	7	2	10	3	3	13	5	12	3	10	4	0	5	11	14	4	13	5	5	10	17	3	5	15	5	3	10	3	10	3	8	0	9	8	11	3	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	1	2	5	0	1	2	4	2	4	3	4	2	1	1	0	1	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
