Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Cараевская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748									
1	Число избирателей, внесенных в списки избирателей	16510	307	194	272	481	326	276	159	186	101	183	155	186	167	571	386	994	793	688	279	645	333	536	170	400	195	625	344	422	254	204	284	228	844	1866	1295	1161									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	15850	307	194	261	479	320	274	159	181	99	178	147	190	168	572	366	996	789	678	282	630	320	531	174	402	198	613	335	422	255	200	284	220	753	1687	1154	1032									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	6731	160	41	143	196	153	141	74	76	44	101	90	75	77	167	130	445	223	251	90	266	145	243	58	189	83	249	176	166	145	77	125	97	332	822	508	373									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	3018	58	82	47	111	43	50	41	45	14	17	20	32	41	181	116	145	209	153	86	153	87	73	42	102	65	221	67	108	55	43	75	47	91	95	125	78									
6	Число погашенных избирательных бюллетеней	6101	89	71	71	172	124	83	44	60	41	60	37	83	50	224	120	406	357	274	106	211	88	215	74	111	50	143	92	148	55	80	84	76	330	770	521	581									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3018	58	82	47	111	43	50	41	45	14	17	20	32	41	181	116	145	209	153	86	153	87	73	42	102	65	221	67	108	55	43	75	47	91	95	125	78									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6731	160	41	143	196	153	141	74	76	44	101	90	75	77	167	130	445	223	251	90	266	145	243	58	189	83	249	176	166	145	77	125	97	332	822	508	373									
9	Число недействительных избирательных бюллетеней	85	1	0	1	5	0	0	0	0	0	0	1	0	1	1	4	3	7	2	1	6	1	5	0	5	0	4	1	0	6	1	2	2	2	12	7	4									
10	Число действительных избирательных бюллетеней	9664	217	123	189	302	196	191	115	121	58	118	109	107	117	347	242	587	425	402	175	413	231	311	100	286	148	466	242	274	194	119	198	142	421	905	626	447									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	298	5	5	5	6	5	5	5	5	5	5	5	5	5	6	5	15	7	7	5	10	2	7	5	6	5	7	5	6	5	5	5	5	24	40	25	25									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	70	0	0	0	0	5	0	0	0	0	1	0	4	0	0	0	6	1	3	0	8	0	0	0	0	0	0	1	2	3	3	3	1	4	15	4	6									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	62	0	0	0	2	2	0	0	1	1	2	4	3	1	1	1	1	1	2	0	4	2	0	0	1	0	1	3	1	2	0	2	0	1	16	7	0									
14	Число погашенных неиспользованных открепительных удостоверений	228	5	5	5	6	0	5	5	5	5	4	5	1	5	6	5	9	6	4	5	2	2	7	5	6	5	7	4	4	2	2	2	4	20	25	21	19									
