Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Тимашевская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030	УИК №5031	УИК №5032	УИК №5033	УИК №5034	УИК №5035	УИК №5036	УИК №5037	УИК №5038	УИК №5039	УИК №5040	УИК №5041	УИК №5042	УИК №5043	УИК №5044	УИК №5045	УИК №5046	УИК №5047	УИК №5048	УИК №5049	УИК №5050	УИК №5051	УИК №5052	УИК №5053	УИК №5054	УИК №5055	УИК №5056					
1	"Число избирателей, внесенных в списки избирателей"	82122	1181	1333	1592	1445	1404	901	1431	1882	1280	1372	1147	2419	701	2577	1780	2041	1841	698	1162	1206	2228	1351	1711	1471	1532	1446	489	2119	2434	2866	1190	1565	2396	294	434	1781	1956	2222	345	2190	1053	663	2060	1046	1657	400	1811	2440	1532	1351	518	2449	1203	334	1183	1009					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	79680	1000	1250	1550	1400	1750	850	1450	1800	1050	1300	1100	2200	600	2300	1700	2000	1700	700	1150	1150	2100	1400	1750	1500	1500	1200	470	2100	2600	2800	1100	1500	2400	290	430	1750	1900	2200	350	2100	1050	600	2000	1050	1600	390	1800	2400	1500	1400	500	2400	1200	300	1100	950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	39422	667	539	602	667	681	475	818	872	552	624	548	1278	253	1125	765	892	833	276	570	645	1092	712	883	709	785	562	195	948	1285	1205	525	685	1149	129	225	872	934	1181	86	1245	358	323	983	475	889	174	871	1205	809	920	311	1182	575	183	558	517					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6886	82	85	144	106	180	15	37	108	242	131	89	153	81	103	141	96	20	74	59	42	54	68	154	30	48	146	87	261	314	294	109	151	144	54	65	255	141	226	145	114	286	40	228	71	135	94	136	240	105	123	84	243	110	61	43	39					
6	Число погашенных избирательных бюллетеней	33372	251	626	804	627	889	360	595	820	256	545	463	769	266	1072	794	1012	847	350	521	463	954	620	713	761	667	492	188	891	1001	1301	466	664	1107	107	140	623	825	793	119	741	406	237	789	504	576	122	793	955	586	357	105	975	515	56	499	394					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6885	82	85	144	106	180	15	37	108	242	131	89	153	81	103	141	96	20	74	59	42	54	68	154	30	48	146	87	260	314	294	109	151	144	54	65	255	141	226	145	114	286	40	228	71	135	94	136	240	105	123	84	243	110	61	43	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39363	667	539	602	667	681	475	818	872	552	624	548	1278	253	1125	765	892	833	276	570	645	1090	712	827	709	785	562	195	947	1285	1205	525	685	1149	129	225	872	934	1181	86	1245	358	323	983	475	889	174	871	1205	809	920	311	1182	575	183	558	517					
9	Число недействительных избирательных бюллетеней	893	25	15	10	19	21	8	23	131	10	21	12	11	5	16	25	12	25	5	13	17	9	16	12	9	10	11	2	6	0	14	17	15	18	3	9	14	28	30	0	2	14	9	26	15	26	8	16	24	10	16	12	10	13	15	20	10					
10	Число действительных избирательных бюллетеней	45355	724	609	736	754	840	482	832	849	784	734	625	1420	329	1212	881	976	828	345	616	670	1135	764	969	730	823	697	280	1201	1599	1485	617	821	1275	180	281	1113	1047	1377	231	1357	630	354	1185	531	998	260	991	1421	904	1027	383	1415	672	229	581	546					
