Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Шимская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8835	1051	223	293	240	1101	194	445	259	387	1023	136	141	260	444	112	261	231	2034									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8950	1080	225	270	230	1090	185	480	275	395	1040	150	135	260	450	110	255	230	2090									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3444	374	91	118	102	410	64	233	105	149	369	73	64	95	158	63	118	90	768									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	648	34	21	31	42	39	21	27	31	49	117	35	28	28	24	8	42	31	40									
6	Число погашенных избирательных бюллетеней	4858	672	113	121	86	641	100	220	139	197	554	42	43	137	268	39	95	109	1282									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	648	34	21	31	42	39	21	27	31	49	117	35	28	28	24	8	42	31	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3444	374	91	118	102	410	64	233	105	149	369	73	64	95	158	63	118	90	768									
9	Число недействительных избирательных бюллетеней	113	16	3	1	4	13	0	3	3	6	20	1	2	1	3	3	1	4	29									
10	Число действительных избирательных бюллетеней	3979	392	109	148	140	436	85	257	133	192	466	107	90	122	179	68	159	117	779									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	331	25	11	10	15	20	5	30	20	30	50	15	10	10	10	5	15	10	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	189	14	11	0	3	8	0	30	20	11	16	15	1	2	6	5	10	2	35									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	1	7	4	13	19	5	6	2	5	12	5	5	3	3	7	0	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	142	11	0	10	12	12	5	0	0	19	34	0	9	8	4	0	5	8	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	3	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	2	0	1	3	7	0	2	4	1	6	2	0	0	1	0	0	0	8									
		0.90%	0.49%	0.00%	0.67%	2.08%	1.56%	0.00%	0.77%	2.94%	0.51%	1.23%	1.85%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	107	15	1	8	5	7	6	4	5	5	9	1	1	5	6	0	7	1	21									
		2.61%	3.68%	0.89%	5.37%	3.47%	1.56%	7.06%	1.54%	3.68%	2.53%	1.85%	0.93%	1.09%	4.07%	3.30%	0.00%	4.38%	0.83%	2.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	107	14	0	5	3	10	1	7	2	5	19	10	2	3	5	1	2	1	17									
		2.61%	3.43%	0.00%	3.36%	2.08%	2.23%	1.18%	2.69%	1.47%	2.53%	3.91%	9.26%	2.17%	2.44%	2.75%	1.41%	1.25%	0.83%	2.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2064	214	58	64	83	214	49	144	73	108	255	35	53	67	82	40	87	72	366									
		50.44%	52.45%	51.79%	42.95%	57.64%	47.66%	57.65%	55.38%	53.68%	54.55%	52.47%	32.41%	57.61%	54.47%	45.05%	56.34%	54.38%	59.50%	45.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	2	0	0	0	0	1	2	1	1	1	0	0	1	1	2	0	1	3									
		0.39%	0.49%	0.00%	0.00%	0.00%	0.00%	1.18%	0.77%	0.74%	0.51%	0.21%	0.00%	0.00%	0.81%	0.55%	2.82%	0.00%	0.83%	0.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	1	0	0	1	1	0	0	1	3	1	1	0	0	0	1	0	3									
		0.32%	0.00%	0.89%	0.00%	0.00%	0.22%	1.18%	0.00%	0.00%	0.51%	0.62%	0.93%	1.09%	0.00%	0.00%	0.00%	0.63%	0.00%	0.37%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	733	64	35	25	28	73	13	42	24	33	103	33	13	37	20	8	25	20	137									
		17.91%	15.69%	31.25%	16.78%	19.44%	16.26%	15.29%	16.15%	17.65%	16.67%	21.19%	30.56%	14.13%	30.08%	10.99%	11.27%	15.63%	16.53%	16.96%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	1	1	2	0	8	0	1	1	2	2	0	0	0	0	0	1	0	3									
