Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Краснокамская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20605	809	164	366	290	110	729	329	802	533	841	229	382	167	509	202	278	911	365	1320	1184	510	298	205	198	729	435	384	226	250	653	175	397	300	1462	1643	1599	621									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21465	950	190	400	300	120	750	320	980	650	850	240	400	170	500	200	270	950	370	1350	1200	520	320	200	190	900	450	400	220	260	700	175	420	300	1450	1600	1600	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12734	715	118	311	244	63	310	145	503	441	413	146	237	129	379	145	168	538	207	708	872	316	186	169	136	491	317	235	193	137	593	154	319	267	640	826	669	294									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1542	22	35	13	6	23	35	11	239	88	67	9	46	7	99	43	27	26	24	44	26	50	17	27	15	0	83	52	27	38	50	19	75	31	27	48	79	14									
6	Число погашенных избирательных бюллетеней	7189	213	37	76	50	34	405	164	238	121	370	85	117	34	22	12	75	386	139	598	302	154	117	4	39	409	50	113	0	85	57	2	26	2	783	726	852	292									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1542	22	35	13	6	23	35	11	239	88	67	9	46	7	99	43	27	26	24	44	26	50	17	27	15	0	83	52	27	38	50	19	75	31	27	48	79	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12734	715	118	311	244	63	310	145	503	441	413	146	237	129	379	145	168	538	207	708	872	316	186	169	136	491	317	235	193	137	593	154	319	267	640	826	669	294									
9	Число недействительных избирательных бюллетеней	377	55	6	12	10	1	7	9	8	0	6	8	5	4	5	7	9	10	6	0	28	13	17	0	4	39	1	4	7	8	0	0	9	0	19	15	27	18									
10	Число действительных избирательных бюллетеней	13899	682	147	312	240	85	338	147	734	529	474	147	278	132	473	181	186	554	225	752	870	353	186	196	147	452	399	283	213	167	643	173	385	298	648	859	721	290									
