Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Сокольская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11053	593	1223	1268	758	1393	746	193	200	392	150	209	86	77	259	289	169	316	177	240	234	310	207	260	293	109	109	114	89	258	332									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11125	600	1200	1250	750	1400	750	190	210	400	155	210	85	80	270	300	160	320	180	240	230	320	210	270	310	105	105	120	95	270	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7195	440	879	800	628	972	436	108	156	264	94	158	59	62	142	123	103	175	110	141	178	158	119	124	176	54	66	73	44	125	228									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1703	29	69	253	16	104	184	60	23	61	29	44	20	10	67	84	41	87	55	27	18	93	36	64	52	27	11	18	24	37	60									
6	Число погашенных избирательных бюллетеней	2227	131	252	197	106	324	130	22	31	75	32	8	6	8	61	93	16	58	15	72	34	69	55	82	82	24	28	29	27	108	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1703	29	69	253	16	104	184	60	23	61	29	44	20	10	67	84	41	87	55	27	18	93	36	64	52	27	11	18	24	37	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7195	440	879	800	628	972	436	108	156	264	94	158	59	62	142	123	103	175	110	141	178	158	119	124	176	54	66	73	44	125	228									
9	Число недействительных избирательных бюллетеней	71	2	9	5	6	12	0	1	4	1	0	1	0	0	2	3	2	3	0	0	0	0	11	1	4	1	0	1	0	1	1									
10	Число действительных избирательных бюллетеней	8827	467	939	1048	638	1064	620	167	175	324	123	201	79	72	207	204	142	259	165	168	196	251	144	187	224	80	77	90	68	161	287									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	375	30	25	20	10	20	20	5	10	15	10	10	5	5	10	15	5	15	10	10	10	15	15	10	15	5	5	10	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	332	30	14	20	8	18	11	5	10	15	10	10	5	5	10	15	5	15	10	10	10	15	4	2	15	5	5	10	10	15	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	117	5	11	8	7	14	2	3	2	1	1	5	4	0	1	3	3	10	2	2	4	2	3	3	3	5	4	4	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	43	0	11	0	2	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	4	3	3	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	0	7	0	4	9	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	1	3	0	0	2	0	3	1									
		0.42%	0.00%	0.74%	0.00%	0.62%	0.84%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.97%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	1.29%	0.53%	1.32%	0.00%	0.00%	2.20%	0.00%	1.85%	0.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	73	0	7	0	6	11	8	2	1	0	0	0	4	0	2	2	0	0	3	4	3	4	3	2	2	1	0	3	0	4	1									
		0.82%	0.00%	0.74%	0.00%	0.93%	1.02%	1.29%	1.19%	0.56%	0.00%	0.00%	0.00%	5.06%	0.00%	0.96%	0.97%	0.00%	0.00%	1.82%	2.38%	1.53%	1.59%	1.94%	1.06%	0.88%	1.23%	0.00%	3.30%	0.00%	2.47%	0.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	104	0	13	0	8	18	2	1	1	0	0	0	0	1	5	6	6	3	0	2	1	6	5	0	4	3	0	4	2	3	10									
		1.17%	0.00%	1.37%	0.00%	1.24%	1.67%	0.32%	0.60%	0.56%	0.00%	0.00%	0.00%	0.00%	1.39%	2.39%	2.90%	4.17%	1.15%	0.00%	1.19%	0.51%	2.39%	3.23%	0.00%	1.75%	3.70%	0.00%	4.40%	2.94%	1.85%	3.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6814	397	729	843	546	774	501	139	141	286	97	171	57	56	169	124	115	210	137	92	130	200	90	127	165	46	58	46	45	98	225									
