Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Подосиновская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13721	1989	2576	385	335	221	152	1029	807	1465	1838	270	298	376	290	306	589	395	243	157									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13820	2000	2540	390	390	220	150	1040	815	1470	1820	280	310	380	300	305	595	410	245	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4754	514	948	71	105	74	45	339	246	600	645	112	134	169	95	113	222	175	89	58									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	927	21	56	52	86	50	35	67	57	42	70	51	59	65	39	7	51	27	69	23									
6	Число погашенных избирательных бюллетеней	8139	1465	1536	267	199	96	70	634	512	828	1105	117	117	146	166	185	322	208	87	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	927	21	56	52	86	50	35	67	57	42	70	51	59	65	39	7	51	27	69	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4753	514	948	70	105	74	45	339	246	600	645	112	134	169	95	113	222	175	89	58									
9	Число недействительных избирательных бюллетеней	97	17	11	3	5	1	1	10	3	13	10	3	2	3	3	4	3	4	0	1									
10	Число действительных избирательных бюллетеней	5583	518	993	119	186	123	79	396	300	629	705	160	191	231	131	116	270	198	158	80									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	475	70	80	15	15	10	5	40	30	50	60	10	10	15	10	10	20	10	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	95	4	8	4	15	0	0	3	7	5	9	10	5	3	10	2	0	7	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	3	1	0	3	1	3	0	0	4	8	5	1	0	1	1	4	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	380	66	72	11	0	10	5	37	23	45	51	0	5	12	0	8	20	3	8	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	2	1	0	1	1	0	0	0	2	4	0	0	1	0	0	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	3	16	1	1	2	2	3	1	16	5	4	3	5	1	0	3	3	2	1									
		1.27%	0.56%	1.59%	0.82%	0.52%	1.61%	2.50%	0.74%	0.33%	2.49%	0.70%	2.45%	1.55%	2.14%	0.75%	0.00%	1.10%	1.49%	1.27%	1.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	236	19	55	5	7	7	6	9	9	16	28	4	7	10	4	12	18	12	6	2									
