Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Тбилисская																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  4801	УИК  4802	УИК  4803	УИК  4804	УИК  4805	УИК  4806	УИК  4807	УИК  4808	УИК  4809	УИК  4810	УИК  4811	УИК  4812	УИК  4813	УИК  4814	УИК  4815	УИК  4816	УИК  4817	УИК  4818	УИК  4819	УИК  4820	УИК  4821	УИК  4822	УИК  4823	УИК  4824	УИК  4825	УИК  4826	УИК  4827	УИК  4828	УИК  4829	УИК  4830	УИК  4831	УИК  4832	УИК  4833	УИК  4834	УИК  4835	УИК  4836	УИК  4837	УИК  4838	УИК  4839	УИК  4840	УИК  4841	УИК  4842					
1	"Число избирателей, внесенных в списки"	37000	2074	1069	1388	1499	1204	881	1552	1234	2616	1815	1344	1776	289	1352	108	136	262	1120	212	160	97	230	996	958	1337	461	1388	123	433	1171	131	1495	739	866	178	487	162	1612	342	381	892	430					
2	"Число бюллетеней, полученных участковыми комиссиями"	34887	1946	994	1331	1389	1121	829	1445	1163	2456	1728	1275	1678	274	1289	98	126	252	1059	201	150	94	217	944	906	1244	436	1314	116	404	1110	123	1418	696	820	171	453	156	1513	324	353	854	417					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20585	1214	541	758	863	666	467	875	684	1259	960	647	904	132	865	87	110	207	646	163	117	55	150	485	574	776	231	860	72	235	674	99	828	328	430	101	188	121	938	228	251	505	291					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1256	51	47	44	33	28	23	39	55	47	49	17	71	24	44	2	0	0	5	0	0	7	0	32	38	44	19	32	12	29	28	0	32	38	75	22	108	0	70	0	20	56	15					
6	Число погашенных бюллетеней	13046	681	406	529	493	427	339	531	424	1150	719	611	703	118	380	9	16	45	408	38	33	32	67	427	294	424	186	422	32	140	408	24	558	330	315	48	157	35	505	96	82	293	111					
7	Число бюллетеней в переносных ящиках для голосования	1256	51	47	44	33	28	23	39	55	47	49	17	71	24	44	2	0	0	5	0	0	7	0	32	38	44	19	32	12	29	28	0	32	38	75	22	108	0	70	0	20	56	15					
8	Число бюллетеней в стационарных ящиках для голосования	20572	1214	541	758	863	666	466	875	684	1259	960	646	904	132	865	87	110	207	646	163	117	55	150	485	565	776	231	860	72	235	674	99	828	328	430	101	188	121	938	228	251	503	291					
9	Число недействительных бюллетеней	242	3	5	8	5	3	12	6	6	13	56	4	6	3	9	0	0	2	3	1	1	5	0	6	12	6	4	10	0	1	11	0	9	6	6	0	1	0	7	2	2	8	0					
10	Число действительных бюллетеней	21586	1262	583	794	891	691	477	908	733	1293	953	659	969	153	900	89	110	205	648	162	116	57	150	511	591	814	246	882	84	263	691	99	851	360	499	123	295	121	1001	226	269	551	306					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	340	15	10	11	10	15	8	10	10	20	15	12	15	4	14	2	2	3	10	2	2	2	2	10	9	13	5	14	2	4	11	2	15	7	8	2	5	2	16	4	4	9	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	59	2	2	5	7	0	3	3	3	7	0	1	6	0	2	0	0	0	2	0	0	0	0	0	0	2	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	0	3	5	7	3	2	2	2	4	3	0	1	0	1	2	1	0	2	0	1	0	3	3	1	2	0	0	0	2	2	1	3	1	2	0	1	1	1	0	3	1	0					
14	Число погашенных открепительных удостоверений	281	13	8	6	3	15	5	7	7	13	15	11	9	4	12	2	2	3	8	2	2	2	2	10	9	11	4	11	2	4	11	2	14	7	7	2	5	2	16	4	4	3	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
18	"1. ""ЕДИНЕНИЕ"""	243	7	3	11	5	12	4	8	2	6	9	10	17	4	8	2	0	0	6	8	2	1	4	9	3	15	4	18	0	2	11	2	7	3	5	1	2	1	13	0	5	9	4					
		1.11%	0.55%	0.51%	1.37%	0.55%	1.72%	0.81%	0.87%	0.27%	0.45%	0.89%	1.50%	1.74%	2.56%	0.88%	2.24%	0.0%	0.0%	0.92%	4.90%	1.70%	1.61%	2.66%	1.74%	0.49%	1.82%	1.6%	2.01%	0.0%	0.75%	1.56%	2.02%	0.81%	0.81%	0.99%	0.81%	0.67%	0.82%	1.28%	0.0%	1.84%	1.61%	1.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	209	29	1	15	5	6	4	14	14	17	10	2	7	2	8	0	2	1	11	0	2	3	0	4	7	4	1	16	0	0	10	0	2	0	3	0	1	2	3	1	0	1	1					
		0.95%	2.29%	0.17%	1.87%	0.55%	0.86%	0.81%	1.53%	1.89%	1.30%	0.99%	0.30%	0.71%	1.28%	0.88%	0.0%	1.81%	0.48%	1.68%	0.0%	1.70%	4.83%	0.0%	0.77%	1.16%	0.48%	0.4%	1.79%	0.0%	0.0%	1.42%	0.0%	0.23%	0.0%	0.59%	0.0%	0.33%	1.65%	0.29%	0.43%	0.0%	0.17%	0.32%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	268	17	6	20	12	10	4	14	10	19	20	12	5	2	15	3	0	0	16	0	0	1	0	4	6	17	4	7	1	3	2	5	8	5	0	1	2	4	4	4	1	3	1					
		1.22%	1.34%	1.02%	2.49%	1.33%	1.44%	0.81%	1.53%	1.35%	1.45%	1.98%	1.80%	0.51%	1.28%	1.65%	3.37%	0.0%	0.0%	2.45%	0.0%	0.0%	1.61%	0.0%	0.77%	0.99%	2.07%	1.6%	0.78%	1.19%	1.13%	0.28%	5.05%	0.93%	1.36%	0.0%	0.81%	0.67%	3.30%	0.39%	1.75%	0.36%	0.53%	0.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	358	33	12	12	12	11	8	20	18	19	12	21	17	4	14	0	0	1	23	1	0	0	1	16	5	13	8	7	1	5	8	0	10	1	5	2	2	1	30	2	0	3	0					
