Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    район Сокол																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №3651									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31396	2452	2120	2304	2411	2774	2049	1991	1704	2391	2117	2458	2059	2036	2504	26									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25127	2000	1700	1900	2000	2000	1500	1500	1500	2000	1700	2000	1700	1600	2000	27									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11558	964	754	827	881	916	634	764	615	891	813	925	791	791	966	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	314	17	34	32	17	10	17	23	17	32	32	28	20	16	19	0									
6	Число погашенных избирательных бюллетеней	13255	1019	912	1041	1102	1074	849	713	868	1077	855	1047	889	793	1015	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	314	17	34	32	17	10	17	23	17	32	32	28	20	16	19	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11522	964	750	826	874	916	633	762	613	883	809	924	789	790	963	26									
9	Число недействительных избирательных бюллетеней	203	11	23	8	10	12	12	15	11	29	10	21	10	15	14	2									
10	Число действительных избирательных бюллетеней	11633	970	761	850	881	914	638	770	619	886	831	931	799	791	968	24									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	20	15	15	20	20	10	10	10	25	15	20	20	15	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	185	20	10	13	14	16	10	6	9	14	11	16	20	11	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	358	13	16	12	9	5	30	39	21	20	19	73	13	24	64	0									
14	Число погашенных неиспользованных открепительных удостоверений	45	0	5	2	6	4	0	4	1	11	4	4	0	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	4	3	4	5	4	2	1	0	5	4	3	1	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	512	39	36	27	35	41	35	37	23	39	45	41	44	28	42	0									
		4.33%	3.98%	4.59%	3.15%	3.93%	4.43%	5.38%	4.71%	3.65%	4.26%	5.35%	4.31%	5.44%	3.47%	4.28%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	186	15	9	16	13	17	12	12	7	16	20	20	6	11	12	0									
		1.57%	1.53%	1.15%	1.86%	1.46%	1.84%	1.85%	1.53%	1.11%	1.75%	2.38%	2.10%	0.74%	1.36%	1.22%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	324	20	17	28	26	18	17	18	17	38	23	23	26	31	21	1									
		2.74%	2.04%	2.17%	3.26%	2.92%	1.94%	2.62%	2.29%	2.70%	4.15%	2.73%	2.42%	3.21%	3.85%	2.14%	3.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3101	232	192	252	210	251	218	220	167	227	209	273	190	198	250	12									
		26.20%	23.65%	24.49%	29.37%	23.57%	27.11%	33.54%	28.03%	26.51%	24.81%	24.85%	28.68%	23.49%	24.57%	25.46%	46.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	220	20	15	11	23	18	8	19	15	15	12	12	17	11	23	1									
		1.86%	2.04%	1.91%	1.28%	2.58%	1.94%	1.23%	2.42%	2.38%	1.64%	1.43%	1.26%	2.10%	1.36%	2.34%	3.85%									
24	"6. Политическая партия ""Гражданская Платформа"""	49	3	6	5	2	5	1	1	2	6	0	2	4	3	8	1									
		0.41%	0.31%	0.77%	0.58%	0.22%	0.54%	0.15%	0.13%	0.32%	0.66%	0.00%	0.21%	0.49%	0.37%	0.81%	3.85%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1038	69	70	61	72	80	77	103	46	85	70	72	66	60	102	5									
		8.77%	7.03%	8.93%	7.11%	8.08%	8.64%	11.85%	13.12%	7.30%	9.29%	8.32%	7.56%	8.16%	7.44%	10.39%	19.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	410	32	23	8	25	27	18	28	29	31	37	32	37	33	50	0									
		3.46%	3.26%	2.93%	0.93%	2.81%	2.92%	2.77%	3.57%	4.60%	3.39%	4.40%	3.36%	4.57%	4.09%	5.09%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	662	76	31	48	55	74	32	41	31	58	41	38	50	52	35	0									
		5.59%	7.75%	3.95%	5.59%	6.17%	7.99%	4.92%	5.22%	4.92%	6.34%	4.88%	3.99%	6.18%	6.45%	3.56%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	3	1	1	3	4	2	2	1	4	0	1	1	4	0	0									
		0.23%	0.31%	0.13%	0.12%	0.34%	0.43%	0.31%	0.25%	0.16%	0.44%	0.00%	0.11%	0.12%	0.50%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2141	205	137	154	161	185	78	123	108	140	158	169	190	176	157	0									
		18.09%	20.90%	17.47%	17.95%	18.07%	19.98%	12.00%	15.67%	17.14%	15.30%	18.79%	17.75%	23.49%	21.84%	15.99%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1718	130	114	154	155	111	89	106	113	121	116	158	78	109	162	2									
		14.52%	13.25%	14.54%	17.95%	17.40%	11.99%	13.69%	13.50%	17.94%	13.22%	13.79%	16.60%	9.64%	13.52%	16.50%	7.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	53	4	3	4	7	6	0	5	5	5	3	6	3	1	1	0									
		0.45%	0.41%	0.38%	0.47%	0.79%	0.65%	0.00%	0.64%	0.79%	0.55%	0.36%	0.63%	0.37%	0.12%	0.10%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1192	122	107	81	94	77	51	55	55	101	97	84	87	74	105	2									
		10.07%	12.44%	13.65%	9.44%	10.55%	8.32%	7.85%	7.01%	8.73%	11.04%	11.53%	8.82%	10.75%	9.18%	10.69%	7.69%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
