Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Алатырская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27					
1	"Число избирателей, внесенных в список"	16213	812	550	544	706	398	612	907	328	1082	858	277	521	489	678	712	1043	660	683	750	36	1229	50	161	406	1003	235	483					
2	Число полученных избирательных бюллетеней	15515	780	516	513	676	380	587	860	314	1030	815	266	528	460	646	677	1018	633	648	717	36	1167	55	164	400	956	223	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11860	646	367	425	588	254	490	603	267	661	446	193	420	411	597	505	750	457	496	473	32	1024	50	139	349	699	173	345					
5	"Число избирательных бюллетеней, выданных вне помещения"	1250	28	72	41	31	111	12	99	36	30	44	53	61	17	20	63	143	47	36	102	1	37	0	6	27	74	33	26					
6	Число погашенных избирательных бюллетеней	2405	106	77	47	57	15	85	158	11	339	325	20	47	32	29	109	125	129	116	142	3	106	5	19	24	183	17	79					
7	Число избирательных бюллетеней в переносных ящиках	1250	28	72	41	31	111	12	99	36	30	44	53	61	17	20	63	143	47	36	102	1	37	0	6	27	74	33	26					
8	Число бюллетеней в стационарных ящиках для голосования	11859	646	367	425	588	254	490	603	267	661	446	193	420	411	597	505	750	457	496	473	32	1024	50	139	349	698	173	345					
9	Число недействительных избирательных бюллетеней	139	5	6	2	5	10	0	9	0	6	2	0	5	1	4	27	3	6	15	6	1	11	3	1	4	3	0	4					
10	Число действительных избирательных бюллетеней	12970	669	433	464	614	355	502	693	303	685	488	246	476	427	613	541	890	498	517	569	32	1050	47	144	372	769	206	367					
11	Число полученных открепительных  удостоверений	592	22	22	22	22	22	22	22	22	22	22	10	34	22	22	22	22	22	22	22	21	22	21	22	22	22	22	22					
12	Число выданных открепительных удостоверений	182	4	4	5	4	3	3	4	6	11	4	2	34	0	3	3	22	13	12	6	0	7	0	2	14	12	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	0	2	6	2	1	1	4	2	7	2	1	0	4	1	2	2	2	3	5	2	3	1	2	2	7	1	5					
14	Число неиспользованных открепительных удостоверений	410	18	18	17	18	19	19	18	16	11	18	8	0	22	19	19	0	9	10	16	21	15	21	20	8	10	21	19					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	191	14	4	13	10	2	2	21	4	7	2	6	7	5	10	5	12	5	9	4	0	23	0	5	1	9	2	9					
		1.46%	2.08%	0.91%	2.79%	1.62%	0.55%	0.40%	2.99%	1.32%	1.01%	0.41%	2.44%	1.46%	1.17%	1.62%	0.88%	1.34%	0.99%	1.69%	0.70%	0.00%	2.17%	0.00%	3.45%	0.27%	1.17%	0.97%	2.43%					
19	. Малышкин Олег Александрович	243	11	8	10	17	2	7	18	5	13	12	4	8	9	9	11	13	15	11	12	1	25	2	2	2	14	1	1					
		1.85%	1.63%	1.82%	2.15%	2.75%	0.55%	1.39%	2.56%	1.65%	1.88%	2.45%	1.63%	1.66%	2.10%	1.46%	1.94%	1.46%	2.98%	2.07%	2.09%	3.03%	2.36%	4.00%	1.38%	0.53%	1.81%	0.49%	0.27%					
20	. Миронов Сергей Михайлович	58	4	1	3	2	1	1	2	2	4	4	1	0	1	0	2	5	1	3	9	1	3	0	1	6	1	0	0					
		0.44%	0.59%	0.23%	0.64%	0.32%	0.27%	0.20%	0.28%	0.66%	0.58%	0.82%	0.41%	0.00%	0.23%	0.00%	0.35%	0.56%	0.20%	0.56%	1.57%	3.03%	0.28%	0.00%	0.69%	1.60%	0.13%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10074	497	379	384	469	321	426	468	229	497	360	173	380	305	512	413	719	389	351	387	22	845	33	111	308	616	178	302					
		76.85%	73.74%	86.33%	82.40%	75.77%	87.95%	84.86%	66.67%	75.58%	71.92%	73.47%	70.33%	79.00%	71.26%	82.98%	72.71%	80.52%	77.18%	65.98%	67.30%	66.67%	79.64%	66.00%	76.55%	81.91%	79.79%	86.41%	81.40%					
22	. Хакамада Ирина Муцуовна	138	6	3	13	8	6	7	15	0	6	1	5	1	3	3	6	7	1	6	6	0	11	0	1	2	12	5	4					
		1.05%	0.89%	0.68%	2.79%	1.29%	1.64%	1.39%	2.14%	0.00%	0.87%	0.20%	2.03%	0.21%	0.70%	0.49%	1.06%	0.78%	0.20%	1.13%	1.04%	0.00%	1.04%	0.00%	0.69%	0.53%	1.55%	2.43%	1.08%					
