Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Предгорная																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020					
1	"Число избирателей, внесенных в списки избирателей"	75057	2661	2905	1292	2818	2748	2856	2950	2857	2392	3032	611	1040	569	2819	2782	2808	1345	967	1876	1809	395	229	247	1659	2957	1198	857	2293	2131	2167	1436	844	246	251	531	582	1156	920	1774	3036	2194	1488	1786	1543					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65729	2356	2591	1149	2532	2456	2412	2451	2547	2088	2615	518	941	509	2535	2287	2500	1179	860	1675	1615	349	200	224	1432	2535	1030	735	2019	1843	1884	1251	752	246	173	473	503	1004	785	1588	2673	1929	1306	1610	1369					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32446	931	1327	505	1044	996	1372	1426	1493	1026	1299	401	720	100	1395	1099	1140	650	480	813	905	170	73	104	520	959	328	311	805	785	958	616	377	91	104	266	195	391	472	914	1581	1086	616	851	751					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3132	154	94	69	175	236	46	137	66	37	67	23	23	80	42	360	175	38	20	29	27	13	24	30	84	83	80	65	78	96	38	21	8	34	24	40	85	82	25	65	79	40	50	53	37					
6	Число погашенных избирательных бюллетеней	30151	1271	1170	575	1313	1224	994	888	988	1025	1249	94	198	329	1098	828	1185	491	360	833	683	166	103	90	828	1493	622	359	1136	962	888	614	367	121	45	167	223	531	288	609	1013	803	640	706	581					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3132	154	94	69	175	236	46	137	66	37	67	23	23	80	42	360	175	38	20	29	27	13	24	30	84	83	80	65	78	96	38	21	8	34	24	40	85	82	25	65	79	40	50	53	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32444	931	1327	505	1044	996	1372	1426	1493	1026	1299	401	720	100	1395	1099	1140	650	480	813	903	170	73	104	520	959	328	311	805	785	958	616	377	91	104	266	195	391	472	914	1581	1086	616	851	751					
9	Число недействительных избирательных бюллетеней	430	9	9	10	13	8	41	10	16	0	17	5	5	2	16	11	4	11	6	9	9	1	0	2	10	11	3	8	21	28	10	20	1	0	2	6	2	7	3	14	23	16	16	6	9					
10	Число действительных избирательных бюллетеней	35146	1076	1412	564	1206	1224	1377	1553	1543	1063	1349	419	738	178	1421	1448	1311	677	494	833	921	182	97	132	594	1031	405	368	862	853	986	617	384	125	126	300	278	466	494	965	1637	1110	650	898	779					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	560	15	15	15	15	25	15	15	15	15	15	7	10	7	15	15	15	25	10	15	15	5	5	5	10	15	10	10	15	15	15	10	10	5	5	10	10	11	10	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	201	5	9	7	15	18	5	10	15	1	7	0	5	0	13	10	1	16	2	3	7	0	0	1	0	4	1	0	1	3	1	2	0	0	0	1	0	1	2	6	13	4	2	8	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	130	2	4	5	4	4	3	10	10	4	6	0	0	3	6	2	4	3	3	4	3	2	3	2	0	2	2	0	5	3	1	3	0	1	2	0	1	5	5	1	4	2	2	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	359	10	6	8	0	7	10	5	0	14	8	7	5	7	2	5	14	9	8	12	8	5	5	4	10	11	9	10	14	12	14	8	10	5	5	9	10	10	8	9	2	11	13	7	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	544	20	34	18	25	33	11	27	21	7	12	7	9	3	32	32	17	33	3	14	21	4	4	6	8	3	4	2	9	11	6	0	0	0	1	5	2	6	2	23	17	16	8	14	14					
		1.53%	1.84%	2.39%	3.14%	2.05%	2.68%	0.78%	1.73%	1.35%	0.66%	0.88%	1.65%	1.21%	1.67%	2.23%	2.19%	1.29%	4.80%	0.60%	1.66%	2.26%	2.19%	4.12%	4.48%	1.32%	0.29%	0.98%	0.53%	1.02%	1.25%	0.60%	0.00%	0.00%	0.00%	0.78%	1.63%	0.71%	1.27%	0.40%	2.35%	1.02%	1.42%	1.20%	1.55%	1.78%					
19	2.Всероссийская политическая партия «Гражданская Сила»	157	1	10	5	3	8	6	4	7	7	10	0	2	2	6	3	11	2	2	4	3	0	0	0	3	2	1	1	2	2	0	2	4	1	0	0	3	0	0	7	9	6	3	14	1					
		0.44%	0.09%	0.70%	0.87%	0.25%	0.65%	0.42%	0.26%	0.45%	0.66%	0.73%	0.00%	0.27%	1.11%	0.42%	0.21%	0.84%	0.29%	0.40%	0.48%	0.32%	0.00%	0.00%	0.00%	0.50%	0.19%	0.25%	0.27%	0.23%	0.23%	0.00%	0.31%	1.04%	0.80%	0.00%	0.00%	1.07%	0.00%	0.00%	0.72%	0.54%	0.53%	0.45%	1.55%	0.13%					
20	3.Политическая партия «Демократическая партия России»	34	0	1	2	2	0	0	0	1	1	0	1	0	0	3	1	2	1	1	2	0	2	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	1	2	3	2					
		0.10%	0.00%	0.07%	0.35%	0.16%	0.00%	0.00%	0.00%	0.06%	0.09%	0.00%	0.24%	0.00%	0.00%	0.21%	0.07%	0.15%	0.15%	0.20%	0.24%	0.00%	1.09%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.80%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.09%	0.30%	0.33%	0.25%					
