Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
"Наименование Избирательной комиссии:    Ульяновск, Заволжская N1"																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №8049									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85045	2697	2614	2073	2332	2662	1193	2745	2680	2741	2638	2757	1942	1969	1992	2226	1751	2440	2384	2416	2917	2274	2519	2154	481	2439	1334	1625	2275	2250	2187	2182	2503	1994	2044	2750	2723	3089	741	312									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74487	2300	2200	1750	1950	2250	1000	2350	2300	2300	2200	2350	1650	1650	1700	1900	1450	2100	2000	2050	2500	1900	2100	1850	487	2100	1150	1350	1900	1900	1850	1850	2100	1700	1700	2350	2300	2550	800	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37378	1260	1293	943	994	1048	416	1074	1144	1180	1008	1358	921	725	906	938	591	1066	869	954	1081	1033	1279	988	330	884	770	620	980	1057	967	1050	1163	900	927	1209	1282	1246	612	312									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	851	9	8	11	27	25	11	40	26	16	21	21	14	12	17	32	9	36	21	23	24	15	12	13	143	22	29	3	12	10	9	9	9	7	4	6	8	16	121	0									
6	Число погашенных избирательных бюллетеней	36258	1031	899	796	929	1177	573	1236	1130	1104	1171	971	715	913	777	930	850	998	1110	1073	1395	852	809	849	14	1194	351	727	908	833	874	791	928	793	769	1135	1010	1288	67	2288									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	851	9	8	11	27	25	11	40	26	16	21	21	14	12	17	32	9	36	21	23	24	15	12	13	143	22	29	3	12	10	9	9	9	7	4	6	8	16	121	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37307	1260	1282	943	993	1048	416	1074	1141	1169	1008	1356	919	717	906	936	591	1063	869	951	1062	1033	1278	988	330	884	770	620	978	1057	967	1048	1163	900	927	1209	1282	1245	612	312									
9	Число недействительных избирательных бюллетеней	802	27	26	18	28	39	14	49	26	43	25	29	22	13	26	22	7	20	16	21	25	27	32	19	1	13	0	10	17	19	18	20	21	15	18	22	23	12	16	3									
10	Число действительных избирательных бюллетеней	37356	1242	1264	936	992	1034	413	1065	1141	1142	1004	1348	911	716	897	946	593	1079	874	953	1061	1021	1258	982	472	893	799	613	973	1048	958	1037	1151	892	913	1193	1267	1249	717	309									
