Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Свирская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11344	816	729	775	788	738	780	778	690	717	720	451	772	729	735	793	333									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9300	670	600	630	650	600	650	650	550	600	600	350	600	600	600	650	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4874	360	355	364	312	367	337	334	315	329	313	245	289	238	275	240	201									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	434	20	12	22	26	9	36	31	27	36	27	22	53	26	26	38	23									
6	Число погашенных избирательных бюллетеней	3992	290	233	244	312	224	277	285	208	235	260	83	258	336	299	372	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	434	20	12	22	26	9	36	31	27	36	27	22	53	26	26	38	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4874	360	355	364	312	367	337	334	315	329	313	245	289	238	275	240	201									
9	Число недействительных избирательных бюллетеней	138	12	9	10	8	13	10	9	10	10	10	8	6	7	8	5	3									
10	Число действительных избирательных бюллетеней	5170	368	358	376	330	363	363	356	332	355	330	259	336	257	293	273	221									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	431	25	20	30	25	30	25	25	25	25	25	25	25	25	25	25	51									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	399	25	20	30	25	30	25	17	8	18	25	25	25	25	25	25	51									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	170	10	6	17	4	13	16	10	10	15	9	17	10	10	8	13	2									
14	Число погашенных неиспользованных открепительных удостоверений	32	0	0	0	0	0	0	8	17	7	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	4	7	5	3	5	4	4	4	3	4	1	1	3	5	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	5	2	8	3	2	2	3	1	1	1	2	3	1	0	1	2									
		0.70%	1.32%	0.54%	2.07%	0.89%	0.53%	0.54%	0.82%	0.29%	0.27%	0.29%	0.75%	0.88%	0.38%	0.00%	0.36%	0.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	161	6	11	15	17	17	12	8	6	12	11	10	6	8	8	8	6									
		3.03%	1.58%	2.99%	3.89%	5.03%	4.52%	3.22%	2.19%	1.75%	3.29%	3.24%	3.75%	1.75%	3.03%	2.66%	2.88%	2.68%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	125	5	7	3	8	11	11	14	9	11	15	5	8	6	6	2	4									
		2.35%	1.32%	1.91%	0.78%	2.37%	2.93%	2.95%	3.84%	2.63%	3.01%	4.41%	1.87%	2.34%	2.27%	1.99%	0.72%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2689	203	202	207	175	193	166	172	167	181	162	130	181	113	142	153	142									
		50.66%	53.42%	55.04%	53.63%	51.78%	51.33%	44.50%	47.12%	48.83%	49.59%	47.65%	48.69%	52.92%	42.80%	47.18%	55.04%	63.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	4	0	2	4	2	3	1	2	3	4	1	0	5	3	1	1									
		0.68%	1.05%	0.00%	0.52%	1.18%	0.53%	0.80%	0.27%	0.58%	0.82%	1.18%	0.37%	0.00%	1.89%	0.99%	0.36%	0.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	0	2	0	0	1	1	1	1	1	1	0	0	1	0	0									
		0.19%	0.26%	0.00%	0.52%	0.00%	0.00%	0.27%	0.27%	0.29%	0.27%	0.29%	0.37%	0.00%	0.00%	0.33%	0.00%	0.00%									
