Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Ковровская городская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	116323	806	1468	1775	1820	1989	899	1768	1922	1886	2552	612	1618	1147	1164	1861	1956	1686	1548	1513	2279	1957	1821	1904	1779	1095	2772	2364	1973	2484	1955	2033	1799	2606	1642	2237	2006	2478	2222	1944	3026	2523	1840	2576	1350	1706	2258	1821	1914	2169	2207	2139	1777	2080	2269	1174	2050	2264	1469	1095	1092	982	621	1189	1137	255									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118600	850	1500	1800	1800	2000	900	1800	2000	1900	2600	600	1600	1200	1200	1900	2000	1700	1600	1550	2300	2000	1900	2000	1800	1100	2800	2400	2000	2500	2000	2100	1800	2600	1700	2300	2000	2500	2300	2000	3100	2600	1900	2500	1400	1700	2300	1850	1950	2200	2300	2200	1800	2100	2300	1200	2100	2300	1500	1100	1100	1000	650	1200	1150	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43733	463	371	572	1067	1180	237	526	696	612	642	207	534	422	385	662	594	578	446	595	1001	816	687	808	703	450	1223	874	801	1057	780	707	622	937	592	895	773	980	879	693	1180	792	673	1006	357	592	763	686	686	786	920	908	764	878	863	342	897	984	477	362	349	312	202	444	425	18									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	980	12	13	13	31	32	29	6	21	14	14	14	27	13	11	28	24	12	20	17	21	11	13	11	7	6	15	26	11	5	8	10	18	15	13	20	16	10	28	8	20	15	13	16	7	13	11	12	16	14	10	12	14	16	12	11	13	12	14	11	5	3	2	15	3	67									
6	Число погашенных избирательных бюллетеней	73887	375	1116	1215	702	788	634	1268	1283	1274	1944	379	1039	765	804	1210	1382	1110	1134	938	1278	1173	1200	1181	1090	644	1562	1500	1188	1438	1212	1383	1160	1648	1095	1385	1211	1510	1393	1299	1900	1793	1214	1478	1036	1095	1526	1152	1248	1400	1370	1280	1022	1206	1425	847	1190	1304	1009	727	746	685	446	741	722	415									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	980	12	13	13	31	32	29	6	21	14	14	14	27	13	11	28	24	12	20	17	21	11	13	11	7	6	15	26	11	5	8	10	18	15	13	20	16	10	28	8	20	15	13	16	7	13	11	12	16	14	10	12	14	16	12	11	13	12	14	11	5	3	2	15	3	67									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43721	463	371	572	1067	1180	237	526	696	612	642	207	534	422	385	662	594	578	446	595	1001	816	687	808	703	450	1223	874	801	1057	780	707	622	937	592	895	773	975	879	693	1179	790	673	1006	357	592	763	685	686	786	920	908	764	878	863	342	897	982	477	362	349	311	202	444	425	18									
9	Число недействительных избирательных бюллетеней	961	25	12	16	26	13	4	6	13	7	20	7	9	13	6	14	20	6	11	13	26	10	20	15	16	7	23	27	23	16	20	10	22	12	9	17	20	23	21	8	20	10	14	14	8	9	14	12	21	13	23	28	21	30	35	10	20	19	13	8	4	7	7	9	5	1									
10	Число действительных избирательных бюллетеней	43740	450	372	569	1072	1199	262	526	704	619	636	214	552	422	390	676	598	584	455	599	996	817	680	804	694	449	1215	873	789	1046	768	707	618	940	596	898	769	962	886	693	1179	795	672	1008	356	596	760	685	681	787	907	892	757	864	840	343	890	975	478	365	350	307	197	450	423	84									
