Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																											
																																																																											
Наименование Избирательной комиссии:    Минераловодская																																																																											
																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																											
																																																																											
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794					
1	"Число избирателей, внесенных в списки"	98315	795	740	2236	1658	1532	1151	2590	2745	2492	1341	2254	2478	1872	1312	2414	1113	1836	2095	2330	2259	2379	2686	1472	1582	1769	1185	1583	1941	1255	135	92	134	459	2048	2233	2284	1882	911	2572	982	690	1760	352	277	1122	769	2095	1035	1614	1632	2162	1279	2020	343	1972	2711	134	1426	1543	937	1411	1660	479	126	127	723	690	399					
2	"Число бюллетеней, полученных участковыми комиссиями"	94160	740	700	2100	1550	1440	1060	2430	2580	2340	1250	2120	2320	1770	1220	2260	2200	1730	1970	2180	2140	2200	2500	1380	1500	1680	1100	1500	1800	1170	150	100	200	900	1950	2100	2200	1800	880	2440	930	650	1670	340	260	1050	700	2000	980	1350	1540	2040	1210	1920	330	1870	2560	120	1350	1460	880	1340	1570	460	120	120	680	640	370					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45945	343	310	902	666	615	478	1035	1058	1194	603	1065	1227	910	619	1172	1083	750	1070	1135	1113	1036	1260	568	651	871	485	624	995	521	118	89	107	440	1134	1112	1162	880	434	1151	513	293	909	149	176	594	372	782	550	815	783	872	540	1038	185	857	893	87	619	786	425	666	736	231	93	91	325	406	173					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2431	34	18	54	62	40	30	74	57	36	15	47	40	66	30	33	30	100	24	29	25	21	10	24	47	41	43	38	16	33	0	0	0	19	34	33	27	32	15	64	4	11	95	29	8	54	9	124	45	50	31	109	20	16	7	76	65	3	53	64	31	49	75	8	0	0	19	27	8					
6	Число погашенных бюллетеней	45784	363	372	1144	822	785	552	1321	1465	1110	632	1008	1053	794	571	1055	1087	880	876	1016	1002	1143	1230	788	802	768	572	838	789	616	32	11	93	441	782	955	1011	888	431	1225	413	346	666	162	76	402	319	1094	385	485	726	1059	650	866	138	937	1602	30	678	610	424	625	759	221	27	29	336	207	189					
7	Число бюллетеней в переносных ящиках для голосования	2431	34	18	54	62	40	30	74	57	36	15	47	40	66	30	33	30	100	24	29	25	21	10	24	47	41	43	38	16	33	0	0	0	19	34	33	27	32	15	64	4	11	95	29	8	54	9	124	45	50	31	109	20	16	7	76	65	3	53	64	31	49	75	8	0	0	19	27	8					
8	Число бюллетеней в стационарных ящиках для голосования	45837	343	310	900	604	614	478	1035	1058	1194	603	1065	1227	910	619	1172	1083	750	1070	1135	1111	1036	1260	567	651	830	485	624	995	521	118	89	107	440	1134	1112	1162	880	435	1151	513	293	909	149	176	594	372	782	550	815	783	872	540	1038	185	857	893	87	619	786	425	666	736	231	93	91	325	406	173					
9	Число недействительных бюллетеней	657	5	5	21	10	6	0	17	22	10	18	25	11	8	7	13	11	21	9	21	8	8	7	5	9	0	9	8	6	4	7	0	1	6	5	13	19	24	14	21	9	5	7	4	7	0	16	20	20	11	2	3	0	12	7	15	15	1	19	8	8	7	8	20	1	0	7	11	0					
10	Число действительных бюллетеней	47611	372	323	933	656	648	508	1092	1093	1220	600	1087	1256	968	642	1192	1102	829	1085	1143	1128	1049	1263	586	689	871	519	654	1005	550	111	89	106	453	1163	1132	1170	888	436	1194	508	299	997	174	177	648	365	886	575	854	812	978	560	1042	185	918	943	89	653	842	448	708	803	219	92	91	337	422	181					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1058	5	5	15	10	15	10	20	20	20	15	20	20	15	15	20	20	15	20	20	20	20	20	15	15	15	10	10	15	10	0	0	0	5	15	15	15	15	5	15	5	5	10	5	5	10	5	10	5	293	10	15	10	15	5	15	20	5	10	10	5	10	10	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	525	2	2	0	1	0	4	3	3	7	1	10	7	3	6	6	4	10	5	10	9	8	14	3	1	0	1	4	9	2	0	0	0	1	11	1	13	2	1	3	0	0	6	0	2	3	1	8	2	287	7	3	2	6	0	4	1	0	5	9	2	4	5	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	181	1	0	0	1	1	5	3	0	7	3	5	10	6	1	7	4	5	2	6	2	5	3	3	4	5	5	0	3	4	5	0	6	1	0	1	2	2	2	2	1	1	3	1	2	3	3	1	0	8	4	3	1	5	0	0	0	7	2	3	3	1	4	1	0	0	1	0	1					
14	Число погашенных открепительных удостоверений	528	3	3	10	9	15	6	17	17	13	14	10	13	12	9	14	16	5	15	10	11	12	6	12	14	15	9	6	6	8	0	0	0	4	4	14	2	13	4	12	5	5	4	5	3	7	4	2	3	6	3	12	8	9	5	11	19	5	5	1	3	6	5	5	5	5	4	5	5					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	"1. ""ЕДИНЕНИЕ"""	829	6	1	16	8	10	10	29	9	25	5	22	18	17	8	23	12	15	18	22	24	20	22	9	13	11	11	6	17	11	4	4	3	9	15	27	18	14	11	19	9	7	14	4	6	11	11	28	11	13	11	8	12	18	4	18	5	0	21	8	20	14	5	6	1	1	12	7	2					
