Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Богучанская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32961	37	385	1455	522	47	208	451	1411	1566	133	1670	1164	848	1113	1028	1681	1213	724	1387	1135	361	2139	2077	196	591	2351	83	2349	1236	561	1370	494	945	30									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32650	38	380	1440	520	40	200	440	1410	1550	130	1660	1160	840	1110	990	1680	1220	720	1380	1130	350	2110	2080	190	580	2320	80	2260	1250	570	1360	480	950	32									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13444	30	202	520	261	22	99	192	503	574	51	655	452	301	444	455	710	466	304	578	411	128	979	639	112	319	1021	41	848	561	262	635	240	409	20									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	888	0	11	54	8	0	16	11	116	56	16	14	46	14	9	29	23	25	28	52	27	17	22	13	0	6	33	6	45	33	63	32	15	48	0									
6	Число погашенных избирательных бюллетеней	18318	8	167	866	251	18	85	237	791	920	63	991	662	525	657	506	947	729	388	750	692	205	1109	1428	78	255	1266	33	1367	656	245	693	225	493	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	888	0	11	54	8	0	16	11	116	56	16	14	46	14	9	29	23	25	28	52	27	17	22	13	0	6	33	6	45	33	63	32	15	48	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13443	30	202	520	261	22	99	192	503	574	51	655	452	301	444	455	710	466	304	578	411	128	979	639	112	319	1021	41	847	561	262	635	240	409	20									
9	Число недействительных избирательных бюллетеней	380	0	8	19	12	0	2	0	17	11	2	19	7	3	6	8	17	21	9	13	10	1	32	20	1	8	22	3	18	23	13	37	11	7	0									
10	Число действительных избирательных бюллетеней	13951	30	205	555	257	22	113	203	602	619	65	650	491	312	447	476	716	470	323	617	428	144	969	632	111	317	1032	44	874	571	312	630	244	450	20									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	0	9	30	10	2	5	10	30	35	3	35	25	20	25	20	40	30	15	30	25	10	65	45	5	10	50	2	70	25	10	30	10	19	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	143	0	0	3	10	0	0	1	5	5	0	7	8	8	7	6	18	6	0	0	9	0	1	5	0	1	1	0	12	13	9	2	2	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	0	2	4	3	2	3	1	1	3	1	8	4	7	3	9	8	2	2	2	2	1	8	1	1	4	5	1	3	0	0	2	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	607	0	9	27	0	2	5	9	25	30	3	28	17	12	18	14	22	24	15	30	16	10	64	40	5	9	49	2	58	12	1	28	8	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	1	0	1	1	0	0	0	1	2	0	6	3	1	3	3	4	1	1	2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	165	2	4	9	3	0	2	3	7	9	3	5	3	1	11	4	9	5	5	17	3	2	7	1	2	1	9	0	14	5	2	9	3	5	0									
		1.15%	6.67%	1.88%	1.57%	1.12%	0.00%	1.74%	1.48%	1.13%	1.43%	4.48%	0.75%	0.60%	0.32%	2.43%	0.83%	1.23%	1.02%	1.51%	2.70%	0.68%	1.38%	0.70%	0.15%	1.79%	0.31%	0.85%	0.00%	1.57%	0.84%	0.62%	1.35%	1.18%	1.09%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	493	3	11	14	15	1	6	15	26	19	0	33	20	5	16	17	31	17	7	18	16	8	26	24	5	13	35	2	23	14	15	26	4	8	0									
		3.44%	10.00%	5.16%	2.44%	5.58%	4.55%	5.22%	7.39%	4.20%	3.02%	0.00%	4.93%	4.02%	1.59%	3.53%	3.51%	4.23%	3.46%	2.11%	2.86%	3.65%	5.52%	2.60%	3.68%	4.46%	4.00%	3.32%	4.26%	2.58%	2.36%	4.62%	3.90%	1.57%	1.75%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	387	1	4	29	6	1	2	6	13	27	0	19	8	19	8	21	13	18	9	17	24	0	14	16	0	6	29	0	21	16	8	16	7	9	0									
		2.70%	3.33%	1.88%	5.05%	2.23%	4.55%	1.74%	2.96%	2.10%	4.29%	0.00%	2.84%	1.61%	6.03%	1.77%	4.34%	1.77%	3.67%	2.71%	2.70%	5.48%	0.00%	1.40%	2.45%	0.00%	1.85%	2.75%	0.00%	2.35%	2.69%	2.46%	2.40%	2.75%	1.97%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5690	16	79	228	107	11	72	99	285	261	18	162	148	83	123	165	190	97	135	277	202	61	553	184	53	156	447	26	311	226	164	315	137	279	20									
		39.70%	53.33%	37.09%	39.72%	39.78%	50.00%	62.61%	48.77%	46.04%	41.43%	26.87%	24.22%	29.72%	26.35%	27.15%	34.09%	25.92%	19.76%	40.66%	43.97%	46.12%	42.07%	55.24%	28.22%	47.32%	48.00%	42.41%	55.32%	34.87%	38.05%	50.46%	47.23%	53.73%	61.05%	100.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	111	0	4	1	3	0	0	1	4	1	1	8	6	3	5	7	4	13	1	5	3	2	3	4	0	3	5	0	10	1	3	9	0	1	0									
		0.77%	0.00%	1.88%	0.17%	1.12%	0.00%	0.00%	0.49%	0.65%	0.16%	1.49%	1.20%	1.20%	0.95%	1.10%	1.45%	0.55%	2.65%	0.30%	0.79%	0.68%	1.38%	0.30%	0.61%	0.00%	0.92%	0.47%	0.00%	1.12%	0.17%	0.92%	1.35%	0.00%	0.22%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	29	0	2	0	1	1	0	0	0	2	0	1	2	2	0	1	1	1	0	0	2	0	1	4	0	0	0	0	0	1	0	3	0	4	0									
