Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Лазовская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648					
1	"Число избирателей, внесенных в списки"	37697	2687	1989	676	661	1521	770	1022	431	888	102	1609	690	1610	2705	2468	486	409	262	507	127	870	545	526	57	260	67	316	183	719	102	552	49	145	306	434	485	66	110	257	140	117	298	223	171	512	1339	77	16	604	632	771	354	352	507	1200	1046	1382	152	135					
2	"Число бюллетеней, полученных участковыми комиссиями"	37600	2610	2045	665	630	1435	790	1080	445	885	120	1575	710	1600	2645	2660	465	395	250	495	118	815	530	515	70	265	70	305	170	710	105	550	50	140	310	425	485	65	110	265	145	140	305	230	170	522	1285	81	16	605	640	763	355	365	475	1200	1030	1420	150	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17594	1348	978	246	319	851	349	484	170	382	70	661	242	524	1321	1237	262	202	145	240	61	420	234	235	34	192	32	216	115	345	64	302	30	77	140	203	205	44	74	133	70	75	177	112	91	262	558	77	8	226	283	417	204	171	167	398	394	507	138	72					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1134	40	102	58	18	24	28	45	16	84	0	33	31	26	33	34	19	17	13	15	5	19	18	11	4	7	2	6	14	24	9	62	3	0	11	24	26	0	0	4	0	0	0	8	12	14	32	0	2	8	24	3	10	12	48	15	30	31	0	0					
6	Число погашенных бюллетеней	18868	1222	965	361	293	560	413	551	259	419	50	881	437	1050	1291	1389	184	176	92	240	52	376	278	269	32	66	36	83	41	341	32	186	17	63	159	198	254	21	36	128	75	65	128	110	67	246	695	4	6	371	333	343	141	182	256	787	606	882	12	58					
7	Число бюллетеней в переносных ящиках для голосования	1138	40	102	58	18	24	28	45	16	84	0	33	31	26	33	34	19	17	13	15	5	19	18	11	4	7	2	6	14	24	9	62	3	0	11	24	26	0	0	4	0	0	0	8	12	14	32	0	2	8	24	3	10	12	52	15	30	31	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	17505	1348	876	246	319	851	349	484	170	382	70	658	242	523	1320	1237	262	202	145	240	61	420	252	235	34	192	32	216	115	345	64	302	30	77	140	203	205	44	74	133	70	75	177	112	91	262	558	77	8	226	283	417	204	171	167	398	394	507	138	72					
9	Число недействительных бюллетеней	269	17	18	2	0	5	4	12	5	5	0	3	6	10	19	12	7	4	0	4	0	12	21	2	0	2	1	4	0	10	2	2	1	0	3	1	4	0	0	2	0	0	0	0	1	8	9	0	0	14	8	11	0	0	1	6	0	9	1	1					
10	Число действительных бюллетеней	18374	1371	960	302	337	870	373	517	181	461	70	688	267	539	1334	1259	274	215	158	251	66	427	249	244	38	197	33	218	129	359	71	362	32	77	148	226	227	44	74	135	70	75	177	120	102	268	581	77	10	220	299	409	214	183	218	407	424	529	137	71					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	399	15	15	10	10	26	10	10	5	10	3	10	10	10	15	15	5	5	3	5	3	10	7	6	3	3	3	7	3	10	3	7	3	3	5	5	5	3	3	3	3	3	3	3	3	5	10	3	2	5	5	6	13	5	5	10	10	10	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	111	12	5	0	0	25	1	3	1	2	0	2	2	4	12	8	1	0	1	0	0	2	0	0	0	0	0	4	0	2	1	4	0	0	0	0	0	0	0	1	0	0	2	0	2	0	3	0	0	0	0	1	7	0	0	0	1	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	6	3	0	0	9	1	1	0	3	2	0	3	1	7	2	2	0	0	1	0	3	2	0	1	2	0	0	0	1	0	4	1	0	0	0	3	2	0	1	0	0	0	0	1	6	3	0	2	1	1	1	0	0	2	0	1	1	0	0					
14	Число погашенных открепительных удостоверений	288	3	10	10	10	1	9	7	4	8	3	8	8	6	3	7	4	5	2	5	3	8	7	6	3	3	3	3	3	8	2	3	3	3	5	5	5	3	3	2	3	3	1	3	1	5	7	3	2	5	5	5	6	5	5	10	9	8	4	4					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	228	10	7	4	4	10	6	6	4	7	1	6	2	13	17	4	8	7	2	2	1	3	3	2	2	2	2	3	4	1	0	4	2	1	2	1	1	0	0	3	2	0	2	1	2	3	2	3	0	3	9	1	2	4	4	13	6	10	4	0					
		1.22%	0.72%	0.71%	1.31%	1.18%	1.14%	1.59%	1.13%	2.15%	1.50%	1.42%	0.86%	0.73%	2.36%	1.25%	0.31%	2.84%	3.19%	1.26%	0.78%	1.51%	0.68%	1.11%	0.81%	5.26%	1.00%	5.88%	1.35%	3.10%	0.27%	0.0%	1.09%	6.06%	1.29%	1.32%	0.44%	0.43%	0.0%	0.0%	2.18%	2.85%	0.0%	1.12%	0.83%	1.94%	1.08%	0.33%	3.89%	0.0%	1.28%	2.93%	0.23%	0.93%	2.18%	1.82%	3.14%	1.41%	1.85%	2.89%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	289	16	19	1	4	24	6	9	0	6	0	11	1	10	25	19	4	2	3	5	0	3	3	3	1	9	1	4	1	2	1	5	0	2	3	6	6	1	0	4	1	0	0	1	18	1	5	2	0	0	9	8	8	1	4	2	3	3	2	1					
