Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    район Хамовники																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №3627	УИК №3629	УИК №3630	УИК №3631									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58842	2859	2637	2043	2638	2051	1648	2565	2302	1709	2761	1961	2266	1870	2584	1760	1904	2082	2271	2349	2445	1949	2968	2762	2164	1997	1618	392	107	117	63									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41643	2000	1800	1500	1900	1400	1200	1800	1700	1200	1900	1300	1500	1220	1900	1300	1400	1500	1600	1600	1700	1400	2200	1800	1600	1300	1200	424	113	120	66									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22679	911	1184	728	915	974	546	919	875	557	900	701	1109	1103	961	598	786	840	801	903	886	731	962	1248	771	851	550	164	42	102	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	757	12	26	20	23	0	14	18	31	16	35	46	14	2	29	32	24	23	15	19	25	12	19	16	27	21	16	218	4	0	0									
6	Число погашенных избирательных бюллетеней	18207	1077	590	752	962	426	640	863	794	627	965	553	377	115	910	670	590	637	784	678	789	657	1219	536	802	428	634	42	67	18	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	757	12	26	20	23	0	14	18	31	16	35	46	14	2	29	32	24	23	15	19	25	12	19	16	27	21	16	218	4	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22640	909	1182	727	913	970	546	919	873	557	893	701	1109	1102	958	596	785	838	798	902	886	731	961	1246	770	851	548	164	42	102	61									
9	Число недействительных избирательных бюллетеней	355	13	18	11	14	21	12	10	13	11	15	7	19	22	14	7	13	12	8	10	9	13	19	14	12	12	17	5	0	1	3									
10	Число действительных избирательных бюллетеней	23042	908	1190	736	922	949	548	927	891	562	913	740	1104	1082	973	621	796	849	805	911	902	730	961	1248	785	860	547	377	46	101	58									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	412	20	35	25	15	30	10	10	20	10	10	10	15	50	10	10	10	20	10	10	10	10	20	10	10	12	10	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	314	17	28	20	11	30	3	9	11	7	7	6	15	32	8	7	6	15	9	6	9	8	17	10	9	10	4	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1924	59	42	28	29	164	13	25	8	6	80	93	18	18	31	5	24	97	67	126	140	92	34	393	60	165	21	76	2	6	2									
14	Число погашенных неиспользованных открепительных удостоверений	98	3	7	5	4	0	7	1	9	3	3	4	0	18	2	3	4	5	1	4	1	2	3	0	1	2	6	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	3	9	1	1	24	1	0	1	1	0	1	1	2	1	0	2	0	0	1	2	0	2	1	1	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	836	37	39	28	33	28	22	34	25	27	39	21	59	55	39	31	39	27	20	30	31	26	27	34	26	30	11	8	2	6	2									
		3.57%	4.02%	3.23%	3.75%	3.53%	2.89%	3.93%	3.63%	2.77%	4.71%	4.20%	2.81%	5.25%	4.98%	3.95%	4.94%	4.82%	3.14%	2.46%	3.26%	3.40%	3.50%	2.76%	2.69%	3.26%	3.44%	1.95%	2.09%	4.35%	5.88%	3.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	449	7	17	16	12	28	8	22	20	11	21	14	24	13	8	13	23	7	20	25	15	17	29	17	21	12	14	9	1	2	3									
		1.92%	0.76%	1.41%	2.14%	1.28%	2.89%	1.43%	2.35%	2.21%	1.92%	2.26%	1.87%	2.14%	1.18%	0.81%	2.07%	2.84%	0.81%	2.46%	2.71%	1.65%	2.29%	2.96%	1.35%	2.63%	1.38%	2.48%	2.36%	2.17%	1.96%	4.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	619	25	31	23	22	20	13	25	26	11	22	26	27	16	29	25	27	26	25	21	34	19	20	35	19	19	20	8	2	2	1									
		2.65%	2.71%	2.57%	3.08%	2.35%	2.06%	2.32%	2.67%	2.88%	1.92%	2.37%	3.48%	2.40%	1.45%	2.94%	3.98%	3.34%	3.02%	3.08%	2.28%	3.73%	2.56%	2.04%	2.77%	2.38%	2.18%	3.55%	2.09%	4.35%	1.96%	1.64%									
