Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Заинская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31269	1428	1456	1541	1419	1425	1419	1456	1447	1489	1545	1641	1513	1592	1599	1525	1691	1672	1706	1847	1858									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31549	1446	1461	1557	1430	1443	1428	1476	1457	1515	1561	1658	1528	1604	1612	1546	1706	1678	1719	1856	1868									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29470	1356	1384	1490	1374	1316	1338	1362	1374	1382	1437	1561	1446	1496	1502	1365	1597	1601	1630	1720	1739									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	234	13	5	4	3	3	3	0	19	21	3	5	2	9	15	39	38	7	5	28	12									
6	Число погашенных избирательных бюллетеней	1845	77	72	63	53	124	87	114	64	112	121	92	80	99	95	142	71	70	84	108	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	234	13	5	4	3	3	3	0	19	21	3	5	2	9	15	39	38	7	5	28	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29468	1356	1384	1490	1373	1315	1338	1362	1374	1382	1437	1561	1446	1496	1502	1365	1597	1601	1630	1720	1739									
9	Число недействительных избирательных бюллетеней	27	0	0	3	0	4	3	0	0	11	0	0	3	0	0	3	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	29675	1369	1389	1491	1376	1314	1338	1362	1393	1392	1440	1566	1445	1505	1517	1401	1635	1608	1635	1748	1751									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	223	13	4	10	9	17	11	15	8	25	10	11	12	6	10	18	13	7	10	8	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	59	1	4	0	2	4	8	5	3	5	0	0	3	1	2	4	3	6	2	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	277	12	21	15	16	8	14	10	17	0	15	14	13	19	15	7	12	18	15	17	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	0	1	0	0	1	5	0	1	1	1	2	2	0	2	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
