Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																													
Дата голосования: 04.12.2011																																																																																																													
																																																																																																													
"Наименование Избирательной комиссии:    Казань, Советская"																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в список избирателей"	219086	1372	2989	2757	2820	1323	2146	2676	1196	2174	2720	2718	2742	2593	1671	2348	2889	2296	2577	2437	2135	691	1813	816	2484	2778	2122	2297	2159	2589	2022	2668	2071	2437	2104	1636	2225	1896	1881	2335	1315	615	2765	2226	2502	1195	2336	2218	2204	2138	2323	2146	2357	2363	2069	2090	2329	1493	2678	2410	2506	2508	2783	2734	2790	2772	2733	2898	2820	2807	2830	2780	2651	2771	2745	2501	2550	2465	2543	2516	2352	3005	1988	2769	2320	2399	2688	2848	2596	2758	2238	2312	2137	2799	164	165	151	268	401	200	552	829	69					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	176800	1100	2400	2200	2000	1000	1700	2200	1000	1700	2300	2200	2200	2100	1200	1900	2300	1800	2100	2000	1700	500	1500	700	2000	2200	1700	1900	1700	2100	1600	2200	1700	2000	1700	1300	1800	1500	1500	1900	1000	500	2200	1800	2000	1000	1900	1800	1800	1700	1800	1800	1900	1900	1700	1700	1900	1100	2200	1900	2000	2000	2300	2200	2300	2200	2200	2300	2300	2300	2300	2300	2200	2300	2200	2000	2100	2000	2000	2100	1900	2300	1600	2300	1900	1900	2200	2300	2100	2200	1800	1800	1700	2200	164	165	151	268	407	194	552	830	69					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	123091	712	1748	1422	1660	733	1201	1478	654	1228	1722	1451	1691	1427	1036	1238	1539	1290	1608	1303	1215	410	903	435	1325	1577	1126	1228	1306	1510	1349	1785	1210	1379	1150	992	1217	1179	966	1204	574	403	1401	1159	1303	648	1398	1247	1239	1283	1335	993	1278	1160	1080	1154	1394	1047	1450	1277	1291	1251	1288	1495	1577	1705	1560	1606	1392	1572	1638	1566	1427	1605	1497	1363	1440	1358	1277	1403	1403	1681	1280	1680	1298	1307	1525	1469	1430	1533	1265	1284	1207	1558	164	158	127	190	296	186	480	829	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4858	70	28	38	46	7	84	43	21	41	35	28	25	51	53	71	83	22	69	13	70	10	118	50	49	79	26	34	27	92	75	8	18	92	36	30	26	51	53	36	119	11	201	56	25	190	11	35	51	42	55	189	62	114	91	48	20	16	50	48	129	158	54	54	28	26	7	12	25	28	31	19	72	34	21	36	14	38	51	53	26	28	13	18	28	13	22	38	11	12	7	33	57	60	0	4	24	78	105	8	72	0	69					
6	Число погашенных избирательных бюллетеней	48851	318	624	740	294	260	415	679	325	431	543	721	484	622	111	591	678	488	423	684	415	80	479	215	626	544	548	638	367	498	176	407	472	529	514	278	557	270	481	660	307	86	598	585	672	162	491	518	510	375	410	618	560	626	529	498	486	37	700	575	580	591	958	651	695	469	633	682	883	700	631	715	701	661	682	601	646	604	672	644	471	591	307	602	574	580	653	793	659	655	528	483	436	582	0	3	0	0	6	0	0	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4858	70	28	38	46	7	84	43	21	41	35	28	25	51	53	71	83	22	69	13	70	10	118	50	49	79	26	34	27	92	75	8	18	92	36	30	26	51	53	36	119	11	201	56	25	190	11	35	51	42	55	189	62	114	91	48	20	16	50	48	129	158	54	54	28	26	7	12	25	28	31	19	72	34	21	36	14	38	51	53	26	28	13	18	28	13	22	38	11	12	7	33	57	60	0	4	24	78	105	8	72	0	69					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	122889	712	1745	1399	1660	732	1201	1475	654	1228	1722	1451	1691	1427	1034	1234	1535	1290	1608	1301	1215	410	903	435	1325	1577	1126	1225	1306	1508	1349	1785	1208	1375	1145	992	1217	1177	966	1204	574	403	1400	1159	1296	648	1398	1245	1239	1234	1334	993	1278	1158	1079	1154	1394	1031	1447	1276	1291	1251	1285	1493	1577	1698	1557	1606	1392	1572	1637	1566	1427	1605	1496	1363	1440	1351	1277	1403	1403	1672	1280	1678	1293	1305	1525	1463	1430	1533	1262	1282	1202	1558	164	158	127	190	295	186	480	829	0					
9	Число недействительных избирательных бюллетеней	1661	0	61	35	3	13	10	12	22	5	17	18	31	6	23	9	21	19	16	8	10	5	4	2	0	19	18	20	52	14	17	66	7	0	3	9	23	12	25	9	3	10	16	19	28	14	23	15	4	80	16	0	70	4	9	10	8	18	9	19	8	9	30	2	27	26	61	9	23	7	32	4	25	5	25	18	20	45	22	0	10	38	26	0	5	31	23	5	8	2	31	22	1	8	0	1	0	0	2	0	31	0	0					
10	Число действительных избирательных бюллетеней	126086	782	1712	1402	1703	726	1275	1506	653	1264	1740	1461	1685	1472	1064	1296	1597	1293	1661	1306	1275	415	1017	483	1374	1637	1134	1239	1281	1586	1407	1727	1219	1467	1178	1013	1220	1216	994	1231	690	404	1585	1196	1293	824	1386	1265	1286	1196	1373	1182	1270	1268	1161	1192	1406	1029	1488	1305	1412	1400	1309	1545	1578	1698	1503	1609	1394	1593	1636	1581	1474	1634	1492	1381	1434	1344	1306	1456	1419	1662	1267	1696	1316	1287	1524	1496	1433	1543	1238	1293	1258	1610	164	161	151	268	398	194	521	829	69					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3765	20	50	50	40	25	30	40	20	30	50	40	40	40	30	30	50	30	40	70	40	20	30	20	30	40	40	40	40	50	40	50	40	40	40	30	40	30	30	40	20	20	50	30	40	20	30	30	30	30	30	40	30	40	30	40	30	20	45	40	50	50	50	50	50	50	50	50	60	50	50	60	50	60	50	40	40	40	40	40	40	75	40	60	40	40	50	60	50	60	40	40	30	60	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2684	15	43	41	39	20	18	36	10	20	50	34	31	23	26	24	37	21	26	63	32	18	20	8	13	37	33	22	18	19	29	34	26	33	25	29	37	20	24	24	12	6	30	26	33	20	24	22	29	17	21	34	16	30	21	38	20	9	40	36	19	23	29	31	27	24	44	31	45	36	48	56	35	21	41	40	33	24	34	33	26	70	30	43	29	24	31	44	33	25	25	15	22	31	0	0	0	0	0	0	0	0	0					
