Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
"Наименование Избирательной комиссии:    Казань, Советская"																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453					
1	"Число избирателей, внесенных в списки избирателей"	201005	2621	2604	1643	2616	2276	1405	1268	915	1711	2528	2553	2329	956	1550	1147	1315	2000	2591	2866	2715	2308	862	1689	799	2521	2753	2237	2133	1967	2144	2538	1627	2373	2446	2059	2331	2360	1781	2001	2393	1210	597	2112	2422	2026	1150	2416	2332	2243	2205	1973	2067	1868	1835	1980	1959	2135	1911	1469	2007	1413	1907	2192	1365	1594	2875	2850	2797	2659	2678	2313	2389	2624	2806	2635	2713	2531	2861	2859	2923	2840	2154	2764	2876	2281	2316	2195	2182	2083	2581	2818	2275	1048	239	147	250	440	66	560	800	123	135					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	190060	2400	2500	1300	2250	2100	1300	1200	1200	1500	2500	2300	2700	950	1500	1100	1100	1800	2400	2300	2600	2300	700	1600	700	2400	2500	2100	2000	1900	2000	2400	1600	2300	2400	2000	2200	2300	1700	1950	2300	1100	500	2000	2300	1900	1000	2200	2200	2100	2050	1800	1900	1700	1800	2000	1900	2000	1800	1250	1900	1500	1500	2100	1300	1500	2700	2800	2800	2600	2600	2700	2300	2500	2700	2400	2600	2400	2700	2700	2800	2700	1800	2700	2800	2100	2200	2100	2100	1900	2400	2600	2000	900	250	150	250	450	80	570	800	123	137					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	145752	1594	1556	1158	2115	1407	1008	842	875	1251	1868	1810	2260	687	1125	899	842	1188	2003	2037	2045	1518	653	1116	529	2034	1475	1679	1597	1705	1686	1828	1214	1696	1906	1489	1621	1872	1337	1678	1954	752	461	1455	1594	1164	580	1884	1954	1623	1964	1396	1269	1420	1241	1334	1576	1371	1606	1155	1397	1354	1321	1526	965	1158	2021	2379	1841	1812	1862	2269	1625	2104	1813	1904	1762	1803	1936	2213	1931	1811	1728	2222	2153	1649	1796	1598	1246	1199	2071	2318	1798	807	239	147	160	350	51	457	0	0	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	7760	102	52	46	52	64	33	60	40	40	128	66	69	34	36	20	109	57	75	50	58	314	20	139	44	137	122	52	47	51	57	85	55	77	68	48	51	45	46	53	48	101	23	190	20	61	143	104	89	86	67	49	128	75	58	74	95	62	60	26	75	59	19	45	163	71	49	85	51	50	71	44	49	39	80	72	162	53	58	26	63	90	67	94	99	26	56	31	67	35	35	83	31	45	0	0	90	90	15	103	800	123	135					
6	Число погашенных избирательных бюллетеней	36548	704	892	96	83	629	259	298	285	209	504	424	371	229	339	181	149	555	322	213	497	468	27	345	127	229	903	369	356	144	257	487	331	527	426	463	528	383	317	219	298	247	16	355	686	675	277	212	157	391	19	355	503	205	501	592	229	567	134	69	428	87	160	529	172	271	630	336	908	738	667	387	626	357	807	424	676	544	706	461	806	799	5	384	548	425	348	471	787	666	294	199	171	48	11	3	0	10	14	10	0	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7760	102	52	46	52	64	33	60	40	40	128	66	69	34	36	20	109	57	75	50	58	314	20	139	44	137	122	52	47	51	57	85	55	77	68	48	51	45	46	53	48	101	23	190	20	61	143	104	89	86	67	49	128	75	58	74	95	62	60	26	75	59	19	45	163	71	49	85	51	50	71	44	49	39	80	72	162	53	58	26	63	90	67	94	99	26	56	31	67	35	35	83	31	45	0	0	90	90	15	103	800	123	135					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	145637	1594	1556	1158	2115	1405	1008	842	875	1251	1868	1810	2260	687	1122	899	841	1188	2003	2037	2045	1518	653	1116	529	2034	1470	1679	1597	1705	1686	1828	1214	1696	1906	1489	1617	1872	1337	1623	1954	752	461	1452	1590	1164	579	1884	1954	1623	1964	1396	1269	1420	1241	1334	1575	1371	1606	1155	1397	1354	1314	1526	965	1158	2021	2379	1841	1808	1862	2269	1625	2104	1812	1904	1762	1800	1936	2213	1931	1811	1728	2221	2144	1649	1796	1598	1246	1199	2070	2318	1788	807	239	147	160	350	51	457	0	0	0					
9	Число недействительных избирательных бюллетеней	1437	20	18	16	14	7	6	12	13	7	5	15	32	13	4	5	5	17	6	26	23	15	9	72	8	2	18	14	0	8	5	0	4	5	23	14	19	10	0	9	16	20	3	17	8	15	17	17	29	12	17	6	24	10	7	15	0	22	0	20	2	11	219	13	3	17	11	10	11	13	14	8	25	8	22	0	14	22	5	9	30	9	3	24	15	9	14	19	15	7	19	0	1	4	37	5	0	1	0	14	0	0	0					
10	Число действительных избирательных бюллетеней	151960	1676	1590	1188	2153	1462	1035	890	902	1284	1991	1861	2297	708	1154	914	945	1228	2072	2061	2080	1817	664	1183	565	2169	1574	1717	1644	1748	1738	1913	1265	1768	1951	1523	1649	1907	1383	1667	1986	833	481	1625	1602	1210	705	1971	2014	1697	2014	1439	1373	1485	1292	1393	1670	1411	1666	1161	1470	1402	1114	1558	1125	1212	2059	2454	1881	1845	1919	2305	1649	2135	1870	1976	1910	1831	1989	2230	1964	1892	1792	2291	2228	1666	1838	1610	1298	1227	2086	2401	1818	848	202	142	250	439	66	546	800	123	135					
