Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Заларинская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371					
1	"Число избирателей, внесенных в списки избирателей"	21503	1416	1404	1487	1615	1349	738	195	407	135	164	332	94	162	97	609	557	800	242	138	102	179	387	219	66	127	506	84	300	191	484	457	188	551	222	85	798	522	244	1593	1585	135	431	106					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20487	1400	1350	1370	1470	1250	704	195	410	135	164	335	96	155	99	601	552	798	238	139	102	182	385	215	63	126	510	85	300	180	460	440	176	550	212	86	760	490	230	1400	1400	134	430	110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13208	1032	691	750	863	663	361	124	287	100	92	209	82	104	82	406	254	462	178	135	102	163	296	178	54	97	330	65	251	73	333	358	154	303	157	65	483	380	157	998	821	105	318	92					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1500	15	33	38	52	33	335	31	49	3	16	45	1	13	12	28	121	36	20	2	0	0	26	9	2	16	47	2	27	70	34	11	8	118	20	0	18	52	18	40	51	15	30	3					
6	Число погашенных избирательных бюллетеней	5779	353	626	582	555	554	8	40	74	32	56	81	13	38	5	167	177	300	40	2	0	19	63	28	7	13	133	18	22	37	93	71	14	129	35	21	259	58	55	362	528	14	82	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1500	15	33	38	52	33	335	31	49	3	16	45	1	13	12	28	121	36	20	2	0	0	26	9	2	16	47	2	27	70	34	11	8	118	20	0	18	52	18	40	51	15	30	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13159	1032	691	701	863	663	361	124	287	100	92	209	82	104	82	406	254	462	178	135	102	163	296	178	54	97	330	65	251	73	333	358	154	303	157	65	483	380	157	998	821	105	318	92					
9	Число недействительных избирательных бюллетеней	180	4	4	5	9	4	23	0	5	0	1	2	1	0	0	6	5	7	0	0	0	3	2	3	0	0	10	0	1	2	4	11	0	12	2	0	18	8	1	10	7	1	8	1					
10	Число действительных избирательных бюллетеней	14479	1043	720	734	906	692	673	155	331	103	107	252	82	117	94	428	370	491	198	137	102	160	320	184	56	113	367	67	277	141	363	358	162	409	175	65	483	424	174	1028	865	119	340	94					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	387	13	16	29	30	12	5	5	5	5	5	5	0	5	5	5	5	10	5	5	5	5	10	5	5	5	15	17	5	5	5	5	5	25	15	5	7	5	5	20	10	8	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	271	9	15	27	26	12	4	3	5	0	0	4	0	1	0	5	1	8	2	0	0	0	10	1	0	5	15	14	5	0	0	0	2	25	9	0	2	5	0	20	10	5	15	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	143	5	10	11	15	10	9	2	6	1	1	2	2	3	3	6	2	5	1	1	0	3	0	1	0	4	3	3	2	1	1	1	4	1	5	0	0	2	1	6	6	1	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	116	4	1	2	4	0	1	2	0	5	5	1	0	4	5	0	4	2	3	5	5	5	0	4	5	0	0	3	0	5	5	5	3	0	6	5	5	0	5	0	0	3	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
18	1.Политическая партия «Аграрная партия России»	1210	50	45	55	91	41	22	24	11	7	4	52	16	31	8	83	47	51	14	4	4	41	56	23	0	0	48	4	4	15	21	24	7	38	20	2	63	38	15	41	30	13	24	23					
		8.25%	4.78%	6.22%	7.44%	9.95%	5.89%	3.16%	15.48%	3.27%	6.80%	3.70%	20.47%	19.28%	26.50%	8.51%	19.12%	12.53%	10.24%	7.07%	2.92%	3.92%	25.15%	17.39%	12.30%	0.00%	0.00%	12.73%	5.97%	1.44%	10.49%	5.72%	6.50%	4.32%	9.03%	11.30%	3.08%	12.57%	8.80%	8.57%	3.95%	3.44%	10.83%	6.90%	24.21%					
19	2.Всероссийская политическая партия «Гражданская Сила»	39	2	1	0	6	1	3	0	2	1	0	0	2	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	3	2	1	0	0	0	6	2	1	0	0					
		0.27%	0.19%	0.14%	0.00%	0.66%	0.14%	0.43%	0.00%	0.60%	0.97%	0.00%	0.00%	2.41%	0.00%	0.00%	0.00%	0.27%	0.20%	0.00%	0.73%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.27%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.71%	1.13%	1.54%	0.00%	0.00%	0.00%	0.58%	0.23%	0.83%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	1	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.09%	0.10%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.20%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1178	119	94	99	78	50	44	4	13	2	9	5	9	7	6	16	32	68	18	5	6	9	16	3	3	14	19	2	41	8	22	38	10	55	9	0	40	24	4	78	51	14	25	9					
		8.04%	11.37%	12.98%	13.40%	8.52%	7.18%	6.32%	2.58%	3.87%	1.94%	8.33%	1.97%	10.84%	5.98%	6.38%	3.69%	8.53%	13.65%	9.09%	3.65%	5.88%	5.52%	4.97%	1.60%	5.36%	12.39%	5.04%	2.99%	14.75%	5.59%	5.99%	10.30%	6.17%	13.06%	5.08%	0.00%	7.98%	5.56%	2.29%	7.51%	5.85%	11.67%	7.18%	9.47%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	63	14	8	5	3	4	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	3	2	0	3	0	0	3	0	1	3	2	1	1	0					
		0.43%	1.34%	1.10%	0.68%	0.33%	0.57%	0.43%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	1.08%	0.00%	0.82%	0.54%	0.00%	0.71%	0.00%	0.00%	0.60%	0.00%	0.57%	0.29%	0.23%	0.83%	0.29%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	32	2	3	1	4	2	3	0	0	0	1	0	0	1	0	0	2	1	1	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	1	0					
		0.22%	0.19%	0.41%	0.14%	0.44%	0.29%	0.43%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.85%	0.00%	0.00%	0.53%	0.20%	0.51%	0.73%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.56%	0.00%	0.00%	0.23%	0.00%	0.19%	0.00%	0.00%	0.29%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1415	96	67	76	70	81	72	12	20	6	6	28	6	11	21	38	49	57	40	27	8	17	10	23	7	13	38	11	38	24	43	25	19	50	34	3	29	24	19	90	76	8	22	1					
		9.65%	9.17%	9.25%	10.28%	7.65%	11.64%	10.34%	7.74%	5.95%	5.83%	5.56%	11.02%	7.23%	9.40%	22.34%	8.76%	13.07%	11.45%	20.20%	19.71%	7.84%	10.43%	3.11%	12.30%	12.50%	11.50%	10.08%	16.42%	13.67%	16.78%	11.72%	6.78%	11.73%	11.88%	19.21%	4.62%	5.79%	5.56%	10.86%	8.67%	8.72%	6.67%	6.32%	1.05%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	936	64	37	69	71	46	87	9	12	3	3	12	12	1	0	8	20	19	17	12	3	4	16	25	3	12	20	5	30	10	21	21	7	24	5	5	10	13	19	78	79	7	11	6					
		6.39%	6.11%	5.11%	9.34%	7.76%	6.61%	12.50%	5.81%	3.57%	2.91%	2.78%	4.72%	14.46%	0.85%	0.00%	1.84%	5.33%	3.82%	8.59%	8.76%	2.94%	2.45%	4.97%	13.37%	5.36%	10.62%	5.31%	7.46%	10.79%	6.99%	5.72%	5.69%	4.32%	5.70%	2.82%	7.69%	1.99%	3.01%	10.86%	7.51%	9.06%	5.83%	3.16%	6.32%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	109	8	5	14	9	3	3	0	2	0	2	1	0	1	1	4	6	10	0	1	0	0	0	1	0	0	1	1	1	3	3	4	0	2	4	0	2	3	0	4	5	0	5	0					
		0.74%	0.76%	0.69%	1.89%	0.98%	0.43%	0.43%	0.00%	0.60%	0.00%	1.85%	0.39%	0.00%	0.85%	1.06%	0.92%	1.60%	2.01%	0.00%	0.73%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.27%	1.49%	0.36%	2.10%	0.82%	1.08%	0.00%	0.48%	2.26%	0.00%	0.40%	0.69%	0.00%	0.39%	0.57%	0.00%	1.44%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9429	681	459	414	571	459	431	106	270	84	81	149	36	65	58	276	210	279	108	84	81	88	218	108	43	74	232	44	159	81	248	243	118	233	100	54	335	319	115	720	618	74	248	55					
		64.32%	65.04%	63.40%	56.02%	62.40%	65.95%	61.93%	68.39%	80.36%	81.55%	75.00%	58.66%	43.37%	55.56%	61.70%	63.59%	56.00%	56.02%	54.55%	61.31%	79.41%	53.99%	67.70%	57.75%	76.79%	65.49%	61.54%	65.67%	57.19%	56.64%	67.57%	65.85%	72.84%	55.34%	56.50%	83.08%	66.87%	73.84%	65.71%	69.36%	70.87%	61.67%	71.26%	57.89%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	55	6	1	1	3	5	2	0	0	0	1	3	1	0	0	1	3	4	0	1	0	0	2	0	0	0	4	0	0	0	0	0	1	1	0	0	1	2	1	6	2	0	3	0					
		0.38%	0.57%	0.14%	0.14%	0.33%	0.72%	0.29%	0.00%	0.00%	0.00%	0.93%	1.18%	1.20%	0.00%	0.00%	0.23%	0.80%	0.80%	0.00%	0.73%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.24%	0.00%	0.00%	0.20%	0.46%	0.57%	0.58%	0.23%	0.00%	0.86%	0.00%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
