Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Лысьвенская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	62999	1477	1431	1830	1077	1106	1138	1561	1049	1901	2264	1916	2170	2156	2296	2348	1465	1564	2477	1089	2073	1596	2083	1950	2076	1912	1425	1936	1309	2401	2027	353	613	832	208	375	311	642	453	226	1506	744	234	222	292	287	1013	498	460	627									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56450	1300	1300	1600	950	1000	1000	1400	950	1700	2000	1700	1900	1900	2100	2100	1350	1400	2200	950	1900	1400	1800	1800	1900	1700	1300	1800	1200	2100	1800	300	550	750	200	350	300	600	400	200	1400	650	200	200	300	250	900	450	400	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	9									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19406	458	472	543	241	230	260	460	262	530	777	616	642	657	923	862	467	594	846	358	720	601	744	513	583	551	509	692	420	712	468	53	190	204	60	118	90	211	130	62	435	199	65	92	72	69	249	138	118	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	862	20	4	9	3	2	7	3	7	17	20	7	15	14	12	13	15	8	8	12	27	10	14	16	48	9	7	10	3	69	18	36	11	23	33	13	22	34	32	20	24	10	11	16	24	17	37	29	35	8									
6	Число погашенных избирательных бюллетеней	36154	822	824	1048	706	768	733	937	681	1153	1203	1077	1243	1229	1165	1225	868	798	1346	580	1153	789	1042	1271	1269	1140	784	1098	779	1319	1314	211	349	523	107	219	188	355	217	118	941	441	124	92	204	164	614	283	247	393									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	892	20	4	9	3	2	7	3	7	17	20	7	15	14	12	13	15	8	8	12	27	10	14	16	48	9	7	10	3	69	18	36	11	23	33	13	22	34	53	20	24	10	11	16	24	17	37	29	35	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19392	458	472	543	241	230	260	460	262	530	777	613	642	657	923	862	467	594	846	358	718	600	744	513	583	548	509	688	420	712	467	53	190	204	60	118	90	211	130	62	435	199	65	92	72	69	249	138	118	140									
9	Число недействительных избирательных бюллетеней	729	14	25	16	7	5	18	16	13	19	28	16	24	9	35	24	19	26	46	19	30	34	22	10	22	14	14	20	19	23	29	1	8	2	6	5	3	12	11	6	10	20	4	4	1	0	8	5	3	4									
10	Число действительных избирательных бюллетеней	19555	464	451	536	237	227	249	447	256	528	769	604	633	662	900	851	463	576	808	351	715	576	736	519	609	543	502	678	404	758	456	88	193	225	87	126	109	233	172	76	449	189	72	104	95	86	278	162	150	153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1800	40	40	40	40	40	40	40	40	40	50	40	50	50	50	50	40	40	50	40	50	40	50	40	50	40	40	40	40	50	50	20	20	30	20	20	20	30	30	20	30	30	20	30	30	20	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	314	6	6	4	6	2	2	5	4	10	13	12	9	15	16	11	3	6	17	2	8	8	8	3	13	9	10	8	1	10	10	3	2	0	0	7	1	6	0	0	7	2	0	10	16	9	2	2	9	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	261	31	14	18	3	3	4	8	3	8	2	8	3	5	5	6	4	7	22	1	5	13	7	5	6	3	6	2	2	6	3	2	9	3	4	1	1	2	1	0	6	8	1	2	2	2	1	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	1486	34	34	36	34	38	38	35	36	30	37	28	41	35	34	39	37	34	33	38	42	32	42	37	37	31	30	32	39	40	40	17	18	30	20	13	19	24	30	20	23	28	20	20	14	11	28	28	21	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	1	1	0	0	0	1	3	0	1	2	1	2	4	5	3	3	2	2	0	3	4	1	3	2	2	2	2	0	6	2	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	268	12	3	3	3	0	2	7	5	5	13	10	13	5	12	8	5	3	7	7	12	10	17	9	4	15	11	4	3	6	6	6	7	3	0	3	2	5	1	1	8	2	0	4	0	0	0	0	3	3									
