Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Ижемская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390					
1	"Число избирателей, внесенных в список"	14597	240	545	271	310	420	807	698	999	222	2844	130	465	495	511	214	313	214	427	1144	1245	92	580	467	230	615	99					
2	Число полученных избирательных бюллетеней	14730	270	590	290	320	450	800	700	1000	220	2800	145	470	510	500	210	300	210	400	1120	1250	100	600	480	245	640	110					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8457	203	353	187	207	235	424	387	494	197	1468	105	281	306	263	165	173	145	259	617	740	44	274	298	176	361	95					
5	"Число избирательных бюллетеней, выданных вне помещения"	525	0	16	10	10	16	20	17	50	5	107	0	22	31	54	5	23	4	17	13	35	9	10	18	13	16	4					
6	Число погашенных избирательных бюллетеней	5748	67	221	93	103	199	356	296	456	18	1225	40	167	173	183	40	104	61	124	490	475	47	316	164	56	263	11					
7	Число избирательных бюллетеней в переносных ящиках	525	0	16	10	10	16	20	17	50	5	107	0	22	31	54	5	23	4	17	13	35	9	10	18	13	16	4					
8	Число бюллетеней в стационарных ящиках для голосования	8457	203	353	187	207	235	424	387	494	197	1468	105	281	306	263	165	173	145	259	617	740	44	274	298	176	361	95					
9	Число недействительных избирательных бюллетеней	132	0	4	2	0	5	14	4	15	0	24	0	3	5	1	0	2	5	1	3	16	1	13	3	4	6	1					
10	Число действительных избирательных бюллетеней	8850	203	365	195	217	246	430	400	529	202	1551	105	300	332	316	170	194	144	275	627	759	52	271	313	185	371	98					
11	Число полученных открепительных  удостоверений	290	10	30	10	10	10	15	10	10	5	30	5	10	10	10	5	10	5	5	20	20	5	10	10	5	15	5					
12	Число выданных открепительных удостоверений	63	3	2	0	3	0	2	0	5	1	16	4	0	1	2	2	0	2	0	4	6	1	1	5	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	0	2	0	2	0	2	0	1	0	12	0	5	4	0	1	1	1	5	9	10	0	0	0	0	1	0					
14	Число неиспользованных открепительных удостоверений	227	7	28	10	7	10	13	10	5	4	14	1	10	9	8	3	10	3	5	16	14	4	9	5	3	14	5					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	177	1	5	0	3	0	11	11	2	1	39	3	12	12	5	5	22	0	4	6	17	1	6	1	1	6	3					
		1.97%	0.49%	1.36%	0.00%	1.38%	0.00%	2.48%	2.72%	0.37%	0.50%	2.48%	2.86%	3.96%	3.56%	1.58%	2.94%	11.22%	0.00%	1.45%	0.95%	2.19%	1.89%	2.11%	0.32%	0.53%	1.59%	3.03%					
19	. Малышкин Олег Александрович	304	2	7	0	23	5	13	13	18	10	49	12	12	18	12	7	3	2	17	22	16	0	10	12	8	9	4					
		3.38%	0.99%	1.90%	0.00%	10.60%	1.99%	2.93%	3.22%	3.31%	4.95%	3.11%	11.43%	3.96%	5.34%	3.79%	4.12%	1.53%	1.34%	6.16%	3.49%	2.06%	0.00%	3.52%	3.80%	4.23%	2.39%	4.04%					
20	. Миронов Сергей Михайлович	78	1	3	4	5	1	2	4	2	3	14	3	5	3	4	0	1	1	5	7	4	0	0	4	1	1	0					
		0.87%	0.49%	0.81%	2.03%	2.30%	0.40%	0.45%	0.99%	0.37%	1.49%	0.89%	2.86%	1.65%	0.89%	1.26%	0.00%	0.51%	0.67%	1.81%	1.11%	0.52%	0.00%	0.00%	1.27%	0.53%	0.27%	0.00%					
21	. Путин Владимир Владимирович	6485	156	287	137	155	185	308	302	378	131	1161	69	201	182	170	139	131	119	208	515	630	44	207	217	129	258	66					
		72.20%	76.85%	77.78%	69.54%	71.43%	73.71%	69.37%	74.75%	69.49%	64.85%	73.71%	65.71%	66.34%	54.01%	53.63%	81.76%	66.84%	79.87%	75.36%	81.75%	81.29%	83.02%	72.89%	68.67%	68.25%	68.44%	66.67%					
22	. Хакамада Ирина Муцуовна	149	7	8	5	6	4	7	4	12	1	32	2	5	4	7	0	8	0	1	8	10	0	2	4	4	6	2					
