Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Темкинская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693					
1	"Число избирателей, внесенных в список избирателей"	4810	214	315	257	272	298	280	426	626	248	1874					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4820	230	330	260	280	310	280	450	640	260	1780					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2054	128	122	133	137	112	139	162	183	99	839					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	961	55	99	58	66	99	78	121	222	52	111					
6	Число погашенных избирательных бюллетеней	1805	47	109	69	77	99	63	167	235	109	830					
7	Число избирательных бюллетеней в переносных ящиках для голосования	961	55	99	58	66	99	78	121	222	52	111					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2054	128	122	133	137	112	139	162	183	99	839					
9	Число недействительных избирательных бюллетеней	45	3	5	0	1	1	2	3	9	2	19					
10	Число действительных избирательных бюллетеней	2970	180	216	191	202	210	215	280	396	149	931					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	435	45	20	20	30	50	60	50	20	40	100					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	233	42	18	2	10	36	18	50	0	15	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	4	3	4	5	3	2	10	5	3	17					
14	Число погашенных неиспользованных открепительных удостоверений	202	3	2	18	20	14	42	0	20	25	58					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	1	1	0	8					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	361	16	23	24	18	19	16	41	45	18	141					
		11.97%	8.74%	10.41%	12.57%	8.87%	9.00%	7.37%	14.49%	11.11%	11.92%	14.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	430	28	32	23	41	38	21	37	52	23	135					
		14.26%	15.30%	14.48%	12.04%	20.20%	18.01%	9.68%	13.07%	12.84%	15.23%	14.21%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	0	0	4	1	1	1	3	4	0	9					
		0.76%	0.00%	0.00%	2.09%	0.49%	0.47%	0.46%	1.06%	0.99%	0.00%	0.95%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	572	34	27	34	42	26	28	54	80	17	230					
		18.97%	18.58%	12.22%	17.80%	20.69%	12.32%	12.90%	19.08%	19.75%	11.26%	24.21%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	41	0	5	4	2	0	3	1	8	1	17					
		1.36%	0.00%	2.26%	2.09%	0.99%	0.00%	1.38%	0.35%	1.98%	0.66%	1.79%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1521	102	126	101	97	125	144	144	202	88	392					
		50.45%	55.74%	57.01%	52.88%	47.78%	59.24%	66.36%	50.88%	49.88%	58.28%	41.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	22	0	3	1	1	1	2	0	5	2	7					
		0.73%	0.00%	1.36%	0.52%	0.49%	0.47%	0.92%	0.00%	1.23%	1.32%	0.74%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
