Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Шаройская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312					
1	"Число избирателей, внесенных в списки"	1367	258	151	245	149	180	151	121	55	57					
2	"Число бюллетеней, полученных участковыми комиссиями"	1350	255	150	243	147	178	149	120	51	57					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1261	237	145	224	140	178	128	111	47	51					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	89	18	5	19	7	0	21	9	4	6					
7	Число бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	1260	236	145	224	140	178	128	111	47	51					
9	Число недействительных бюллетеней	18	3	3	7	2	3	0	0	0	0					
10	Число действительных бюллетеней	1242	233	142	217	138	175	128	111	47	51					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	10	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	50	10	5	5	5	5	5	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	25	9	2	5	1	3	0	5	0	0					
		1.98%	3.81%	1.37%	2.23%	0.71%	1.68%	0.0%	4.50%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	394	99	34	20	60	92	36	25	10	18					
		31.26%	41.94%	23.44%	8.92%	42.85%	51.68%	28.12%	22.52%	21.27%	35.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	12	0	0	0	1	0	11	0	0	0					
		0.95%	0.0%	0.0%	0.0%	0.71%	0.0%	8.59%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	8	1	4	1	0	0	0	0	2	0					
		0.63%	0.42%	2.75%	0.44%	0.0%	0.0%	0.0%	0.0%	4.25%	0.0%					
22	"5. ""За Русь Святую"""	5	2	0	3	0	0	0	0	0	0					
		0.39%	0.84%	0.0%	1.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	1	1	0	0	0	0	0	0	0	0					
		0.07%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	19	0	0	1	0	4	14	0	0	0					
		1.50%	0.0%	0.0%	0.44%	0.0%	2.24%	10.93%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	0	1	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1	1	0	0	0	0	0	0	0	0					
		0.07%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	9	3	3	1	0	2	0	0	0	0					
		0.71%	1.27%	2.06%	0.44%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	179	20	27	63	20	27	0	12	6	4					
		14.20%	8.47%	18.62%	28.12%	14.28%	15.16%	0.0%	10.81%	12.76%	7.84%					
30	"13. ""Демократическая партия России"""	11	2	4	5	0	0	0	0	0	0					
		0.87%	0.84%	2.75%	2.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	1	1	0	6	0	0	0	0	0					
		0.63%	0.42%	0.68%	0.0%	4.28%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	2	0	5	0	2	0	0	0	0					
		0.71%	0.84%	0.0%	2.23%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4	1	0	3	0	0	0	0	0	0					
		0.31%	0.42%	0.0%	1.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	0	0	7	1	4	0	2	0	0					
		1.11%	0.0%	0.0%	3.12%	0.71%	2.24%	0.0%	1.80%	0.0%	0.0%					
35	"18. ""ЛДПР"""	6	2	0	2	0	1	1	0	0	0					
		0.47%	0.84%	0.0%	0.89%	0.0%	0.56%	0.78%	0.0%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	9	2	0	5	0	0	0	2	0	0					
		0.71%	0.84%	0.0%	2.23%	0.0%	0.0%	0.0%	1.80%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	412	21	57	61	49	36	66	64	29	29					
		32.69%	8.89%	39.31%	27.23%	35.0%	20.22%	51.56%	57.65%	61.70%	56.86%					
38	"21. ""Российская Конституционно-демократическая партия"""	7	0	2	4	0	1	0	0	0	0					
		0.55%	0.0%	1.37%	1.78%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	3	3	0	0	0	0	0	0	0	0					
		0.23%	1.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	44	18	3	22	0	1	0	0	0	0					
		3.49%	7.62%	2.06%	9.82%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%					
																
41	Против всех	61	45	5	8	0	2	0	1	0	0					
		4.84%	19.06%	3.44%	3.57%	0.0%	1.12%	0.0%	0.90%	0.0%	0.0%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
