Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Черемховская городская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761					
1	"Число избирателей, внесенных в список избирателей"	41633	659	712	1443	966	603	1004	1142	1384	885	837	1261	1123	776	797	1115	1192	650	1120	828	689	1234	1511	446	1402	693	1063	1289	264	614	681	732	201	1341	324	771	1102	1307	1328	987	203	244	1090	1102	1490	438	323	157	110					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37690	600	640	1270	870	520	890	1040	1240	780	770	1160	1010	690	740	1030	1100	560	1030	710	610	1120	1340	400	1250	620	950	1160	240	550	590	670	180	1210	290	690	1010	1170	1190	900	190	210	1000	980	1340	400	280	300	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18239	224	287	430	390	183	370	458	612	415	418	552	526	392	388	518	581	350	529	424	372	614	792	208	536	187	448	606	143	262	257	219	120	556	118	363	522	645	682	446	102	139	437	442	656	182	132	0	6					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2531	52	58	79	45	54	26	63	76	57	19	47	35	24	21	41	62	44	60	52	41	39	38	22	50	84	60	39	16	38	47	113	28	81	38	30	62	47	40	108	15	22	140	46	84	22	10	157	99					
6	Число погашенных избирательных бюллетеней	16920	324	295	761	435	283	494	519	552	308	333	561	449	274	331	471	457	166	441	234	197	467	510	170	664	349	442	515	81	250	286	338	32	573	134	297	426	478	468	346	73	49	423	492	600	196	138	143	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2531	52	58	79	45	54	26	63	76	57	19	47	35	24	21	41	62	44	60	52	41	39	38	22	50	84	60	39	16	38	47	113	28	81	38	30	62	47	40	108	15	22	140	46	84	22	10	157	99					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18201	223	287	430	390	183	370	458	612	415	418	552	491	392	388	518	581	350	528	424	372	614	792	208	536	187	448	606	143	262	257	219	120	556	118	363	521	645	682	446	102	139	437	442	656	182	132	0	6					
9	Число недействительных избирательных бюллетеней	282	4	2	5	5	3	4	7	7	6	4	11	7	8	7	5	9	3	13	6	3	10	10	4	10	1	4	6	1	9	2	0	1	10	1	4	5	11	21	6	5	1	12	9	10	7	0	3	0					
10	Число действительных избирательных бюллетеней	20450	271	343	504	430	234	392	514	681	466	433	588	519	408	402	554	634	391	575	470	410	643	820	226	576	270	504	639	158	291	302	332	147	627	155	389	578	681	701	548	112	160	565	479	730	197	142	154	105					
