Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Красноармейская городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056					
1	"Число избирателей, внесенных в список избирателей"	21395	2764	2907	2824	2837	2811	2822	1543	2887					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19500	2600	2600	2600	2600	2600	2600	1300	2600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9855	1344	1388	1428	1446	1511	1048	579	1111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	241	30	35	29	28	24	27	23	45					
6	Число погашенных избирательных бюллетеней	9406	1232	1177	1142	1126	1065	1525	698	1441					
7	Число избирательных бюллетеней в переносных ящиках для голосования	241	30	35	29	28	24	27	23	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9843	1339	1386	1427	1444	1511	1048	579	1109					
9	Число недействительных избирательных бюллетеней	342	38	54	44	47	53	33	26	47					
10	Число действительных избирательных бюллетеней	9742	1331	1367	1412	1425	1482	1042	576	1107					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	130	21	13	15	25	24	14	10	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	6	4	14	7	9	3	3	14					
14	Число погашенных неиспользованных открепительных удостоверений	270	29	37	35	25	26	36	40	42					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	4	0	1	3	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	4	0	0	1	0	0	0	0	3					
18	"Число избирательных бюллетеней, не учтенных при получении"	6	6	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1751	258	226	259	292	284	156	95	181					
		17.36%	18.85%	15.90%	17.79%	19.84%	18.50%	14.51%	15.78%	15.68%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1348	198	185	184	158	181	187	101	154					
		13.37%	14.46%	13.02%	12.64%	10.73%	11.79%	17.40%	16.78%	13.34%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	131	17	22	19	18	17	12	12	14					
		1.30%	1.24%	1.55%	1.30%	1.22%	1.11%	1.12%	1.99%	1.21%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3138	429	433	474	482	516	335	139	330					
		31.12%	31.34%	30.47%	32.55%	32.74%	33.62%	31.16%	23.09%	28.60%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	815	101	118	133	136	137	82	39	69					
		8.08%	7.38%	8.30%	9.13%	9.24%	8.93%	7.63%	6.48%	5.98%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2460	313	368	329	323	329	263	186	349					
		24.40%	22.86%	25.90%	22.60%	21.94%	21.43%	24.47%	30.90%	30.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	99	15	15	14	16	18	7	4	10					
		0.98%	1.10%	1.06%	0.96%	1.09%	1.17%	0.65%	0.66%	0.87%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
