Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Красноармейская городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030					
1	"Число избирателей, внесенных в списки избирателей"	21284	2813	2842	2860	2847	2939	2717	1659	2607					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20944	2765	2800	2810	2810	2900	2710	1649	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10253	1487	1378	1520	1481	1506	1109	614	1158					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	269	30	33	44	26	18	23	37	58					
6	Число погашенных избирательных бюллетеней	10422	1248	1389	1246	1303	1376	1578	998	1284					
7	Число избирательных бюллетеней в переносных ящиках для голосования	269	30	33	44	26	18	23	37	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10249	1485	1378	1520	1479	1506	1109	614	1158					
9	Число недействительных избирательных бюллетеней	134	19	17	23	16	14	20	8	17					
10	Число действительных избирательных бюллетеней	10384	1496	1394	1541	1489	1510	1112	643	1199					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	574	74	75	75	75	75	75	50	75					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	130	23	23	15	12	10	16	11	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	185	30	7	33	7	10	4	7	87					
14	Число погашенных неиспользованных открепительных удостоверений	444	51	52	60	63	65	59	39	55					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	1	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	413	70	49	67	63	60	32	32	40					
		3.93%	4.62%	3.47%	4.28%	4.19%	3.94%	2.83%	4.92%	3.29%					
19	2.Всероссийская политическая партия «Гражданская Сила»	185	22	26	32	28	32	20	12	13					
		1.76%	1.45%	1.84%	2.05%	1.86%	2.10%	1.77%	1.84%	1.07%					
20	3.Политическая партия «Демократическая партия России»	14	5	0	1	3	1	0	1	3					
		0.13%	0.33%	0.00%	0.06%	0.20%	0.07%	0.00%	0.15%	0.25%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1886	293	237	274	338	331	154	65	194					
		17.93%	19.34%	16.80%	17.52%	22.46%	21.72%	13.60%	9.98%	15.95%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	167	26	25	23	26	25	15	13	14					
		1.59%	1.72%	1.77%	1.47%	1.73%	1.64%	1.33%	1.99%	1.15%					
23	6.Политическая партия «Партия социальной справедливости»	40	4	4	8	11	5	4	2	2					
		0.38%	0.26%	0.28%	0.51%	0.73%	0.33%	0.35%	0.31%	0.16%					
24	7.Политическая партия «Либерально-демократическая партия России»	943	147	129	137	105	141	140	65	79					
		8.97%	9.70%	9.14%	8.76%	6.98%	9.25%	12.37%	9.98%	6.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	814	127	132	136	125	105	65	39	85					
		7.74%	8.38%	9.36%	8.70%	8.31%	6.89%	5.74%	5.99%	6.99%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	177	25	20	18	22	47	15	9	21					
		1.68%	1.65%	1.42%	1.15%	1.46%	3.08%	1.33%	1.38%	1.73%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5331	734	708	772	676	687	639	391	724					
		50.68%	48.45%	50.18%	49.36%	44.92%	45.08%	56.45%	60.06%	59.54%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	414	43	64	73	92	76	28	14	24					
		3.94%	2.84%	4.54%	4.67%	6.11%	4.99%	2.47%	2.15%	1.97%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
