Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Немская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6857	1146	379	387	493	166	248	409	1589	1455	332	253									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7000	1160	390	390	520	175	270	425	1600	1460	335	275									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2938	460	184	166	266	71	105	136	717	600	109	124									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	593	130	22	44	19	22	33	87	40	113	61	22									
6	Число погашенных избирательных бюллетеней	3469	570	184	180	235	82	132	202	843	747	165	129									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	593	130	22	44	19	22	33	87	40	113	61	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2938	460	184	166	266	71	105	136	717	600	109	124									
9	Число недействительных избирательных бюллетеней	80	10	7	5	7	3	4	1	21	14	1	7									
10	Число действительных избирательных бюллетеней	3451	580	199	205	278	90	134	222	736	699	169	139									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	233	23	20	20	20	10	20	20	30	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	107	10	9	4	20	6	9	13	8	16	1	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	4	5	4	3	1	0	1	2	7	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	126	13	11	16	0	4	11	7	22	14	19	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	1	0	1	0	0	1	0	9	4	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	3	0	0	1	0	3	4	11	5	2	1									
		0.85%	0.51%	0.00%	0.00%	0.35%	0.00%	2.17%	1.79%	1.45%	0.70%	1.18%	0.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	105	16	4	8	6	0	5	7	26	20	8	5									
		2.97%	2.71%	1.94%	3.81%	2.11%	0.00%	3.62%	3.14%	3.43%	2.81%	4.71%	3.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	103	15	6	5	3	3	4	4	31	26	4	2									
		2.92%	2.54%	2.91%	2.38%	1.05%	3.23%	2.90%	1.79%	4.10%	3.65%	2.35%	1.37%									
