Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Беринговская территориальная избирательная комиссия											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №17	УИК №18	УИК №19	УИК №20					
1	"Число избирателей, внесенных в списки избирателей"	2179	1388	193	326	272					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2084	1254	220	330	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1692	1042	164	246	240					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	69	47	8	7	7					
6	Число погашенных избирательных бюллетеней	323	165	48	77	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	69	47	8	7	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1692	1042	164	246	240					
9	Число недействительных избирательных бюллетеней	21	8	2	4	7					
10	Число действительных избирательных бюллетеней	1740	1081	170	249	240					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	60	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	11	7	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	5	4	0	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	139	53	26	30	30					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	30	24	0	4	2					
		1.70%	2.20%	0.00%	1.58%	0.81%					
19	2.Всероссийская политическая партия «Гражданская Сила»	13	12	0	1	0					
		0.74%	1.10%	0.00%	0.40%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	2	0	0	0					
		0.11%	0.18%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	73	60	3	9	1					
		4.15%	5.51%	1.74%	3.56%	0.40%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3	2	0	1	0					
		0.17%	0.18%	0.00%	0.40%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	4	3	1	0	0					
		0.23%	0.28%	0.58%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	170	129	11	13	17					
		9.65%	11.85%	6.40%	5.14%	6.88%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	68	56	2	6	4					
		3.86%	5.14%	1.16%	2.37%	1.62%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	16	14	1	1	0					
		0.91%	1.29%	0.58%	0.40%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1354	772	152	214	216					
		76.89%	70.89%	88.37%	84.58%	87.45%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	7	7	0	0	0					
		0.40%	0.64%	0.00%	0.00%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
