Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Гатчинская западная																																																													
																																																													
Сводная таблица итогов голосования  по федеральному округу																																																													
																																																													
		Сумма	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435					
1	"Число избирателей, внесенных в списки"	58301	1413	1382	961	416	396	421	391	525	494	524	1476	1623	476	469	668	1799	816	2246	2108	2301	1106	1321	187	366	161	313	1919	1053	798	1062	383	164	1189	1331	843	1975	446	844	2195	2210	897	967	269	2001	1103	1471	1806	1531	595	1514	2150	1794	822	610					
2	"Число бюллетеней, полученных участковыми комиссиями"	58600	1400	1400	1000	400	400	400	400	500	500	500	1500	1600	400	500	700	1800	700	2200	2100	2300	1100	1300	200	400	200	300	2000	1100	800	1000	400	200	1300	1400	900	2000	400	800	2200	2200	900	1000	300	2000	1100	1600	1800	1500	600	1500	2200	1800	900	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22313	667	506	395	192	188	192	143	193	151	163	669	689	227	164	242	824	521	788	689	895	294	437	84	139	63	164	650	312	301	531	237	103	423	434	319	736	162	371	759	787	267	347	80	816	363	638	535	627	205	611	832	559	203	426					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2826	27	45	50	50	25	31	38	31	44	34	27	23	87	61	44	2	0	80	100	88	131	95	17	40	11	24	23	82	16	0	0	0	149	138	11	155	30	9	57	21	74	30	49	32	38	16	109	45	46	120	122	151	98	0					
6	Число погашенных бюллетеней	33461	706	849	555	158	187	177	219	276	305	303	804	888	86	275	414	974	179	1332	1311	1317	675	768	99	221	126	112	1327	706	483	469	163	97	728	828	570	1109	208	420	1384	1392	559	623	171	1152	699	946	1156	828	349	769	1246	1090	599	74					
7	Число бюллетеней в переносных ящиках для голосования	2826	27	45	50	50	25	31	38	31	44	34	27	23	87	61	44	2	0	80	100	88	131	95	17	40	11	24	23	82	16	0	0	0	149	138	11	155	30	9	57	21	74	30	49	32	38	16	109	45	46	120	122	151	98	0					
8	Число бюллетеней в стационарных ящиках для голосования	22306	667	506	395	192	188	192	143	193	151	163	668	689	227	164	242	824	521	788	689	894	294	437	84	139	63	164	650	312	301	531	235	103	423	434	319	735	162	371	759	787	267	347	80	816	363	637	535	627	205	611	832	559	203	425					
9	Число недействительных бюллетеней	313	15	13	6	2	2	4	1	1	0	1	4	5	10	0	3	8	2	12	28	12	2	4	1	2	1	3	7	6	2	3	0	0	8	4	3	18	5	6	4	17	4	9	1	7	6	8	5	14	6	1	6	10	5	6					
10	Число действительных бюллетеней	24819	679	538	439	240	211	219	180	223	195	196	691	707	304	225	283	818	519	856	761	970	423	528	100	177	73	185	666	388	315	528	235	103	564	568	327	872	187	374	812	791	337	368	128	841	395	645	639	658	245	730	948	700	296	419					
