Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Кондинская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113					
1	"Число избирателей, внесенных в список избирателей"	23965	174	232	1152	388	1130	1200	385	399	1317	1036	2705	2403	565	1145	1157	2078	799	604	504	119	1070	1306	833	344	472	448					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26297	200	250	1300	380	1350	1470	390	400	1470	1010	2800	2697	630	1300	1500	2100	930	665	530	125	1065	1400	940	345	550	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	25	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14836	121	169	732	269	759	736	229	208	788	602	1504	1430	368	832	854	1200	529	361	355	83	643	763	491	211	272	327					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	989	14	12	57	21	113	111	25	14	26	47	44	125	14	48	43	46	22	14	30	5	20	63	16	13	36	10					
6	Число погашенных избирательных бюллетеней	10447	65	69	511	90	478	608	136	178	656	361	1252	1142	248	420	603	854	379	290	145	37	402	574	433	121	232	163					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1014	14	12	57	21	113	126	25	14	26	47	44	125	14	48	43	46	22	14	30	5	20	63	16	13	46	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14836	121	169	732	269	759	736	229	208	788	602	1504	1430	368	832	854	1200	529	361	355	83	643	763	491	211	272	327					
9	Число недействительных избирательных бюллетеней	338	1	10	17	1	24	20	4	6	14	7	30	42	5	20	30	22	5	8	7	3	13	17	8	8	5	11					
10	Число действительных избирательных бюллетеней	15512	134	171	772	289	848	842	250	216	800	642	1518	1513	377	860	867	1224	546	367	378	85	650	809	499	216	313	326					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	895	6	7	30	12	45	50	15	20	30	30	70	70	30	30	30	100	20	10	30	10	50	70	50	20	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	376	0	0	13	2	45	50	2	1	20	23	38	19	5	15	13	14	15	10	8	5	17	13	9	19	16	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	191	1	7	4	1	6	33	5	4	10	8	17	14	10	3	6	5	4	7	9	3	4	2	9	6	7	6					
14	Число погашенных неиспользованных открепительных удостоверений	519	6	7	17	10	0	0	13	19	10	7	32	51	25	15	17	86	5	0	22	5	33	57	41	1	14	26					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	2	0	10	6	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2019	10	17	118	50	145	123	32	26	133	95	242	209	51	93	113	154	50	48	35	13	58	94	45	14	26	25					
		12.74%	7.41%	9.39%	14.96%	17.24%	16.63%	14.27%	12.60%	11.71%	16.34%	14.64%	15.63%	13.44%	13.35%	10.57%	12.60%	12.36%	9.07%	12.80%	9.09%	14.77%	8.75%	11.38%	8.88%	6.25%	8.18%	7.42%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4457	37	45	163	71	227	245	69	58	243	207	411	473	150	245	211	306	203	129	117	37	196	242	135	69	87	81					
		28.12%	27.41%	24.86%	20.66%	24.48%	26.03%	28.42%	27.17%	26.13%	29.85%	31.90%	26.55%	30.42%	39.27%	27.84%	23.52%	24.56%	36.84%	34.40%	30.39%	42.05%	29.56%	29.30%	26.63%	30.80%	27.36%	24.04%					
