Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Магаданская																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  159	УИК  160	УИК  161	УИК  163	УИК  164	УИК  165	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  177	УИК  179	УИК  180	УИК  181					
1	"Число избирателей, внесенных в списки"	86204	2368	2162	2324	1824	1985	2014	709	2282	2652	2078	2807	1692	2685	2961	2648	2853	2134	1623	1015	1189	2336	2483	1991	1295	2629	2392	720	1633	2490	2480	2549	2687	2761	2430	316	315	649	1198	442	1379	2183	1818	380	1609	2367	127	32	7	27	83	28	26	23	27	3	40	27	30	24	20	28	71	11	15	18					
2	"Число бюллетеней, полученных участковыми комиссиями"	85444	2350	1918	2330	1820	1970	1990	710	2305	2638	2070	2810	1694	2620	2920	2618	2879	2144	1615	957	1179	2328	2504	2000	1290	2530	2376	716	1629	2469	2470	2545	2680	2766	2225	310	310	640	1189	428	1400	2165	1798	434	1600	2365	200	32	7	27	83	28	26	23	27	3	40	27	30	24	20	28	71	11	15	18					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	7	27	83	28	26	23	26	3	40	27	30	24	20	28	59	2	15	17					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	40933	1221	1143	1100	824	976	1052	318	1123	1307	906	1352	833	1251	1437	1321	1364	1168	783	351	405	993	1235	980	449	1468	1096	329	844	1268	1169	1159	1104	1241	1169	237	148	263	591	166	647	1113	897	141	788	1082	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1010	8	28	38	15	16	38	18	21	47	13	37	14	11	19	42	16	8	13	39	9	14	26	20	11	7	20	1	9	11	19	13	17	9	32	0	15	49	13	46	11	9	14	173	13	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	42982	1121	747	1192	981	977	900	374	1161	1284	1151	1421	847	1358	1464	1255	1499	968	819	567	765	1321	1243	1000	830	1055	1260	386	776	1190	1282	1373	1559	1516	1024	73	147	328	585	215	742	1043	887	120	799	1277	77	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	9	0	1					
7	Число бюллетеней в переносных ящиках для голосования	1527	8	28	38	15	16	38	18	21	47	13	37	14	11	19	42	16	8	13	39	9	14	26	20	11	7	20	1	9	11	19	13	17	9	32	0	15	49	13	46	11	9	14	173	13	6	2	32	7	27	83	28	26	23	26	3	40	27	30	24	20	28	59	2	15	17					
8	Число бюллетеней в стационарных ящиках для голосования	40863	1218	1141	1100	823	976	1052	318	1122	1305	906	1352	833	1235	1436	1321	1335	1165	783	351	405	993	1235	979	449	1462	1096	329	844	1267	1169	1159	1102	1241	1168	237	148	263	591	166	646	1113	897	141	788	1082	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
9	Число недействительных бюллетеней	335	7	10	5	4	5	4	5	2	4	8	7	11	7	7	10	7	17	5	5	4	3	5	4	6	32	13	10	4	10	16	5	13	7	8	4	3	2	5	2	7	8	7	5	1	7	7	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1					
10	Число действительных бюллетеней	42055	1219	1159	1133	834	987	1086	331	1141	1348	911	1382	836	1239	1448	1353	1344	1156	791	385	410	1004	1256	995	454	1437	1103	320	849	1268	1172	1167	1106	1243	1192	233	160	310	599	210	650	1114	904	309	800	1081	116	32	7	27	81	28	26	23	26	3	40	27	29	24	20	28	56	2	15	16					
