Выборы Президента Российской Федерации																																																																																																																																																														
Дата голосования: 02.03.2008																																																																																																																																																														
																																																																																																																																																														
Наименование Избирательной комиссии:    Кировская N 3																																																																																																																																																														
																																																																																																																																																														
Сводная таблица результатов выборов																																																																																																																																																														
																																																																																																																																																														
	Число участковых избирательных комиссий	151																																																																																																																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	151																																																																																																																																																												
																																																																																																																																																														
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №497	УИК №498	УИК №499	УИК №500	УИК №502	УИК №503	УИК №504	УИК №505	УИК №507	УИК №508	УИК №509	УИК №510	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №518	УИК №520	УИК №521	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1915	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922					
1	"Число избирателей, включенных в списки избирателей"	143434	1657	1052	1377	1882	1424	2075	1095	1699	1845	2078	1278	1556	2602	1459	1643	1896	1786	1555	1357	2168	1705	1876	2434	1753	2638	1535	2271	1366	1396	2568	1617	1944	1020	1511	1547	1699	1457	1677	1644	1446	1683	1637	1495	1388	2132	1775	1574	1257	1913	2028	1721	2348	1313	2627	1559	1861	1852	1909	1374	1923	2440	1931	1745	1840	2088	2000	2523	2738	2459	2687	1780	2143	2045	2181	681	195	502	2005	2001	2503	10	10	11	10	11	11	11	11	7	11	11	10	10	10	10	10	11	9	12	11	11	10	11	9	14	14	11	11	11	11	12	11	11	11	11	11	11	11	11	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	10	12	63	70	19	11	11	11	30	32	25	23	32	25					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	132940	1600	1000	1300	1800	1200	2000	1000	1500	1500	2000	1000	1200	2500	1300	1500	1800	1700	1500	1200	1800	1600	1600	2000	1700	2500	1300	2000	1300	1300	2300	1400	1700	900	1300	1500	1500	1300	1400	1500	1300	1500	1500	1300	1200	2000	1700	1500	1200	1800	1800	1700	2000	1300	2500	1500	1700	1800	1800	1300	1800	2400	1800	1700	1750	2000	2000	2400	2600	2400	2600	1700	2000	2000	2100	600	200	500	2000	2000	2500	10	10	11	10	11	11	11	11	7	11	11	10	10	10	10	10	11	9	12	11	11	10	11	9	14	14	11	11	11	11	12	11	11	11	11	11	11	11	11	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	10	12	63	70	19	11	11	11	30	32	25	23	32	25					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	98520	1127	587	1251	1641	1189	1763	930	673	1450	1766	700	740	1246	678	861	1459	1450	1321	1093	1009	1406	973	1423	1490	1293	897	1563	1124	1052	1245	1190	1610	821	1138	896	845	731	959	851	1080	986	901	790	1092	1471	1416	1141	945	1050	1650	1059	1364	1120	1310	1118	1075	1012	1224	832	1197	1316	1585	1466	1661	1948	1672	2052	2038	1618	2038	1202	1121	1025	1140	447	90	388	2000	1998	2500	10	7	11	10	11	11	11	11	7	11	11	10	10	10	10	10	11	9	12	11	11	10	11	9	14	14	11	11	10	11	12	11	11	11	11	11	11	11	11	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	11	10	12	43	67	17	11	11	10	19	32	24	17	31	25					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1822	61	6	6	50	11	6	13	11	10	18	9	81	18	11	14	30	5	19	13	49	19	36	26	32	28	14	18	95	11	26	12	22	39	23	23	24	21	19	17	5	28	23	23	18	69	13	7	11	10	17	19	24	35	30	25	26	15	18	10	27	26	23	6	13	26	15	93	27	33	25	16	13	28	16	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	32598	412	407	43	109	0	231	57	816	40	216	291	379	1236	611	625	311	245	160	94	742	175	591	551	178	1179	389	419	81	237	1029	198	68	40	139	581	631	548	422	632	215	486	576	487	90	460	271	352	244	740	133	622	612	145	1160	357	599	773	558	458	576	1058	192	228	76	26	313	255	535	749	537	482	866	947	944	153	47	112	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	2	0	0	1	11	0	1	6	1	0					
