Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Советская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  185	УИК  186	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156	УИК  1157	УИК  1158	УИК  2592					
1	"Число избирателей, внесенных в списки"	5545	204	124	1747	162	610	422	165	635	373	263	511	161	168					
2	"Число бюллетеней, полученных участковыми комиссиями"	5457	202	121	1694	156	597	423	161	632	375	266	511	158	161					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3915	165	68	1340	129	501	293	145	320	219	186	359	103	87					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	977	10	25	171	14	96	99	16	219	99	38	83	33	74					
6	Число погашенных бюллетеней	565	27	28	183	13	0	31	0	93	57	42	69	22	0					
7	Число бюллетеней в переносных ящиках для голосования	977	10	25	171	14	96	99	16	219	99	38	83	33	74					
8	Число бюллетеней в стационарных ящиках для голосования	3915	165	68	1340	129	501	293	145	320	219	186	359	103	87					
9	Число недействительных бюллетеней	7	0	0	0	0	0	0	1	0	0	0	4	2	0					
10	Число действительных бюллетеней	4885	175	93	1511	143	597	392	160	539	318	224	438	134	161					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	10	15	23	15	20	15	12	20	15	20	15	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	0	0	10	0	0	0	0	2	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	1	0	0	2	0	1	1	1	0	0	2	0	1					
14	Число погашенных открепительных удостоверений	188	10	15	13	15	20	15	12	18	15	20	15	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	5	1	0	2	0	0	0	0	0	1	0	0	1	0					
		0.10%	0.57%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.73%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	10	1	1	2	0	0	0	0	6	0	0	0	0	0					
		0.20%	0.57%	1.07%	0.13%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	7	0	0	2	0	0	0	0	0	1	0	0	4	0					
		0.14%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	2.94%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3	1	0	2	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.57%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	4	0	0	2	0	0	0	0	0	0	0	0	2	0					
		0.08%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.47%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	1	2	0	0	0	0	0	1	0	0	0	0					
		0.08%	0.0%	1.07%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	3	0	0	1	0	0	0	0	0	1	0	0	1	0					
		0.06%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.73%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	99	5	0	2	0	5	33	1	0	7	30	3	7	6					
		2.02%	2.85%	0.0%	0.13%	0.0%	0.83%	8.41%	0.62%	0.0%	2.20%	13.39%	0.67%	5.14%	3.72%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	0	0	0	0	0	1	0	0	1	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.73%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%					
30	"13. ""Демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	27	0	0	15	0	0	0	0	0	3	0	3	6	0					
		0.55%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.67%	4.41%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	62	4	0	3	0	18	7	2	5	14	0	1	8	0					
		1.26%	2.28%	0.0%	0.19%	0.0%	3.01%	1.78%	1.24%	0.92%	4.40%	0.0%	0.22%	5.88%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2	0	0	0	0	0	0	0	0	1	0	0	1	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.73%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	4190	152	76	1328	116	570	329	152	436	278	164	361	76	152					
