Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
"Наименование Избирательной комиссии:    Ростов-на-Дону, Пролетарская"																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489					
1	"Число избирателей, внесенных в список избирателей"	93167	1298	1045	1551	1848	1959	1256	2036	2026	1600	247	1843	1774	2135	2176	2246	2045	703	198	2225	1760	511	1937	2019	2171	2446	1691	2389	1204	2420	1989	1841	1441	1792	1659	2468	1470	2241	2150	2115	1637	1958	2242	2157	2107	1831	2077	2190	2075	889	1573	2118	2388					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	88876	1250	1000	1450	1750	1850	1150	2150	1900	1500	247	1700	1650	2050	2050	2150	1950	670	198	2100	1650	511	1850	1950	2100	2300	1550	2300	1100	2400	1850	1750	1400	1650	1600	2300	1400	2150	2050	2000	1600	1850	2150	2050	2100	1750	2000	2100	2000	850	1450	2100	2250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49475	512	516	861	934	1216	603	988	1039	1216	189	847	814	1388	1344	1175	1233	515	198	953	919	294	847	886	1244	1487	969	1856	848	2025	987	1118	610	716	427	882	567	1147	1037	682	386	1333	1251	1327	1252	971	1084	1052	1173	410	808	1197	1142					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4978	245	41	56	49	145	16	50	95	49	58	111	53	127	85	99	134	149	0	63	59	217	107	164	160	78	81	191	23	189	29	97	139	97	262	209	224	212	22	69	167	22	21	52	85	39	44	47	19	63	56	62	47					
6	Число погашенных избирательных бюллетеней	34419	493	443	533	767	489	531	1110	766	235	0	742	783	535	621	876	583	6	0	1084	672	0	896	900	696	735	500	253	229	186	834	535	651	837	911	1209	609	791	991	1249	1047	495	878	671	763	738	872	1001	808	377	586	841	1061					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4978	245	41	56	49	145	16	50	95	49	58	111	53	127	85	99	134	149	0	63	59	217	107	164	160	78	81	191	23	189	29	97	139	97	262	209	224	212	22	69	167	22	21	52	85	39	44	47	19	63	56	62	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49443	511	516	861	934	1216	603	988	1039	1216	189	847	814	1388	1344	1175	1233	515	198	952	917	294	846	886	1244	1487	969	1856	848	2023	987	1118	610	714	427	882	567	1134	1037	681	386	1333	1251	1327	1248	969	1083	1050	1173	410	808	1197	1142					
9	Число недействительных избирательных бюллетеней	793	8	8	11	0	14	9	19	17	22	40	19	5	8	10	10	13	156	3	26	2	1	10	24	12	2	9	4	9	9	17	13	11	10	2	14	6	11	14	5	3	16	16	10	18	43	42	8	16	3	12	9	14					
10	Число действительных избирательных бюллетеней	53628	748	549	906	983	1347	610	1019	1117	1243	207	939	862	1507	1419	1264	1354	508	195	989	974	510	943	1026	1392	1563	1041	2043	862	2203	999	1202	738	801	687	1077	785	1335	1045	745	550	1339	1256	1369	1315	965	1085	1089	1176	470	852	1250	1175					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2180	40	30	30	30	45	30	45	45	50	0	45	35	45	55	50	48	0	0	70	32	0	55	45	55	65	40	45	35	45	55	45	35	45	30	55	45	50	55	45	35	50	65	75	45	50	45	45	45	30	35	45	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2083	37	28	24	30	40	30	45	40	50	0	45	35	45	55	50	46	0	0	70	32	0	55	44	55	65	38	45	35	38	55	45	35	41	29	55	42	50	55	28	35	50	65	75	42	44	43	45	42	18	35	32	45					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1459	19	19	45	3	37	13	59	26	24	163	24	62	18	16	22	11	273	56	18	13	0	15	17	8	17	40	11	63	11	27	9	12	14	10	9	10	5	16	23	15	10	17	26	36	11	11	18	6	9	24	18	20					
