Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
"Наименование Избирательной комиссии:    Ростов-на-Дону, Пролетарская"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №2617					
1	"Число избирателей, внесенных в списки избирателей"	93968	1331	1189	1529	1824	2064	221	2205	2061	1730	1272	1347	1188	2373	2225	2211	1875	1064	1070	1384	1845	476	2058	2080	2269	1598	1821	2369	1288	2380	1793	1913	1425	1763	1626	2435	1469	2315	1876	2061	1662	1949	2170	2198	2273	1861	2203	2515	2430	886	1578	2247	2443	530					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	84481	1200	1050	1350	1650	1900	221	2000	1850	1500	1150	1200	1050	2150	2000	2000	1700	950	900	1150	1650	480	1850	1850	2050	1400	1550	2150	1100	2150	1600	1700	1300	1600	1450	2200	1350	2050	1700	1900	1500	1750	2000	2000	2050	1650	2000	2300	2200	800	1500	2050	2100	530					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	63124	779	631	917	1303	1216	134	1783	1541	1333	933	914	622	1673	1609	1392	1279	627	712	799	1117	294	1325	1209	1711	1239	1297	1891	965	1809	1122	1367	837	1318	719	1596	930	1373	1186	1206	517	1627	1870	1332	1723	1110	1287	1586	2054	536	1216	1439	1744	375					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5791	166	48	62	114	166	87	63	81	67	36	43	118	284	267	95	92	119	44	57	87	182	127	195	217	64	178	148	47	192	35	72	115	53	113	232	247	207	22	229	235	76	47	46	66	30	56	49	21	31	116	31	61	155					
6	Число погашенных избирательных бюллетеней	15566	255	371	371	233	518	0	154	228	100	181	243	310	193	124	513	329	204	144	294	446	4	398	446	122	97	75	111	88	149	443	261	348	229	618	372	173	470	492	465	748	47	83	622	261	510	657	665	125	233	168	580	295	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5791	166	48	62	114	166	87	63	81	67	36	43	118	284	267	95	92	119	44	57	87	182	127	195	217	64	178	148	47	192	35	72	115	53	113	232	247	207	22	229	235	76	47	46	66	30	56	49	21	31	116	31	61	155					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62964	779	631	917	1303	1213	134	1783	1540	1333	933	914	620	1673	1609	1386	1278	627	701	799	1116	294	1323	1208	1711	1239	1297	1889	965	1809	1122	1367	837	1318	719	1595	930	1371	1183	1206	516	1627	1870	1332	1719	1109	1287	1586	1946	536	1216	1439	1744	365					
9	Число недействительных избирательных бюллетеней	301	4	1	1	4	8	2	6	8	0	6	11	0	3	7	10	11	3	6	10	1	0	13	6	2	0	11	5	8	3	5	8	3	3	1	4	3	5	4	7	3	8	9	2	16	17	11	10	8	4	9	7	0	4					
10	Число действительных избирательных бюллетеней	68454	941	678	978	1413	1371	219	1840	1613	1400	963	946	738	1954	1869	1471	1359	743	739	846	1202	476	1437	1397	1926	1303	1464	2032	1004	1998	1152	1431	949	1368	831	1823	1174	1573	1201	1428	748	1695	1908	1376	1769	1122	1332	1625	1959	563	1323	1463	1805	516					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2543	30	30	30	50	60	0	80	60	50	30	50	30	50	70	65	50	30	30	30	50	10	50	50	50	50	50	70	30	50	60	40	30	50	60	50	30	50	70	50	40	51	60	70	60	70	50	82	60	30	50	65	80	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2059	23	12	26	41	47	0	70	50	40	27	35	30	49	62	59	41	16	30	23	48	2	46	39	46	28	36	54	25	44	44	34	29	35	49	44	29	42	65	26	36	38	51	70	43	50	39	69	42	13	47	54	61	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1260	20	17	36	15	30	0	60	25	79	12	13	13	22	12	29	15	5	103	73	14	0	17	13	5	16	32	19	44	13	21	21	12	2	17	9	8	11	13	2	17	10	11	23	22	10	13	16	8	1	4	18	18	221					
14	Число погашенных неиспользованных открепительных удостоверений	484	7	18	4	9	13	0	10	10	10	3	15	0	1	8	6	9	14	0	7	2	8	4	11	4	22	14	16	5	6	16	6	1	15	11	6	1	8	5	24	4	13	9	0	17	20	11	13	18	17	3	11	19	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	117	0	3	1	3	2	0	3	4	2	1	2	1	2	4	4	4	0	0	3	2	0	1	2	3	2	5	4	1	5	1	1	1	7	5	4	3	4	2	1	2	0	3	4	0	0	2	2	3	1	3	4	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	1.Политическая партия «Аграрная партия России»	773	13	11	16	10	40	1	18	29	19	7	4	4	15	10	13	21	9	13	10	13	1	22	10	14	13	11	15	10	12	16	22	12	22	7	17	9	23	12	12	5	9	3	9	18	32	23	30	23	4	20	30	24	7					
		1.12%	1.38%	1.62%	1.63%	0.71%	2.90%	0.45%	0.98%	1.79%	1.36%	0.72%	0.42%	0.54%	0.77%	0.53%	0.88%	1.53%	1.21%	1.74%	1.17%	1.08%	0.21%	1.52%	0.71%	0.73%	0.99%	0.75%	0.74%	0.99%	0.60%	1.38%	1.53%	1.26%	1.60%	0.84%	0.93%	0.76%	1.46%	0.99%	0.84%	0.67%	0.53%	0.16%	0.65%	1.01%	2.81%	1.71%	1.83%	1.17%	0.71%	1.50%	2.04%	1.33%	1.35%					
19	2.Всероссийская политическая партия «Гражданская Сила»	635	12	10	14	10	24	0	8	21	12	11	14	7	14	7	20	18	15	11	12	10	0	12	12	12	9	21	24	16	0	7	19	9	10	8	11	3	15	12	12	4	16	6	21	7	13	18	20	20	1	9	10	25	3					
		0.92%	1.27%	1.47%	1.43%	0.71%	1.74%	0.00%	0.43%	1.30%	0.86%	1.14%	1.46%	0.95%	0.72%	0.37%	1.35%	1.31%	2.01%	1.48%	1.40%	0.83%	0.00%	0.83%	0.86%	0.62%	0.69%	1.42%	1.18%	1.58%	0.00%	0.61%	1.32%	0.95%	0.73%	0.96%	0.60%	0.25%	0.95%	0.99%	0.84%	0.53%	0.94%	0.31%	1.52%	0.39%	1.14%	1.34%	1.22%	1.02%	0.18%	0.68%	0.68%	1.39%	0.58%					
20	3.Политическая партия «Демократическая партия России»	71	2	0	1	1	0	0	1	1	1	1	0	1	0	1	5	1	1	0	0	0	0	4	2	0	0	11	0	0	0	4	1	2	1	2	0	0	3	2	0	0	3	1	2	2	3	3	1	2	1	0	2	1	1					
		0.10%	0.21%	0.00%	0.10%	0.07%	0.00%	0.00%	0.05%	0.06%	0.07%	0.10%	0.00%	0.14%	0.00%	0.05%	0.34%	0.07%	0.13%	0.00%	0.00%	0.00%	0.00%	0.28%	0.14%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.35%	0.07%	0.21%	0.07%	0.24%	0.00%	0.00%	0.19%	0.17%	0.00%	0.00%	0.18%	0.05%	0.15%	0.11%	0.26%	0.22%	0.06%	0.10%	0.18%	0.00%	0.14%	0.06%	0.19%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6717	116	79	137	146	154	13	131	207	131	104	83	69	127	151	137	88	59	65	94	99	7	142	127	121	70	97	153	93	120	111	107	97	158	102	152	100	174	150	118	98	199	206	148	213	192	224	213	203	70	119	198	196	49					
		9.77%	12.28%	11.63%	13.99%	10.30%	11.17%	5.88%	7.10%	12.77%	9.36%	10.73%	8.67%	9.35%	6.49%	8.05%	9.25%	6.42%	7.91%	8.72%	10.98%	8.23%	1.47%	9.79%	9.05%	6.28%	5.37%	6.58%	7.51%	9.19%	5.99%	9.59%	7.44%	10.19%	11.52%	12.26%	8.32%	8.50%	11.03%	12.45%	8.22%	13.05%	11.69%	10.75%	10.74%	11.93%	16.86%	16.68%	13.03%	10.32%	12.35%	8.93%	13.47%	10.86%	9.42%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	606	14	11	17	26	28	0	12	18	18	12	10	5	8	10	18	20	5	14	17	10	0	16	7	13	8	21	11	4	5	7	18	5	5	4	22	4	12	20	10	5	18	6	9	14	9	17	14	11	2	4	4	27	1					
		0.88%	1.48%	1.62%	1.74%	1.83%	2.03%	0.00%	0.65%	1.11%	1.29%	1.24%	1.04%	0.68%	0.41%	0.53%	1.22%	1.46%	0.67%	1.88%	1.99%	0.83%	0.00%	1.10%	0.50%	0.67%	0.61%	1.42%	0.54%	0.40%	0.25%	0.61%	1.25%	0.53%	0.36%	0.48%	1.20%	0.34%	0.76%	1.66%	0.70%	0.67%	1.06%	0.31%	0.65%	0.78%	0.79%	1.27%	0.86%	0.56%	0.35%	0.30%	0.27%	1.50%	0.19%					
23	6.Политическая партия «Партия социальной справедливости»	142	3	1	2	2	5	0	0	5	4	0	1	0	2	2	4	4	0	1	3	0	0	4	2	1	1	3	0	1	0	6	5	6	1	4	0	7	7	6	5	2	4	3	5	2	3	7	2	7	0	0	7	2	0					
		0.21%	0.32%	0.15%	0.20%	0.14%	0.36%	0.00%	0.00%	0.31%	0.29%	0.00%	0.10%	0.00%	0.10%	0.11%	0.27%	0.29%	0.00%	0.13%	0.35%	0.00%	0.00%	0.28%	0.14%	0.05%	0.08%	0.20%	0.00%	0.10%	0.00%	0.52%	0.35%	0.63%	0.07%	0.48%	0.00%	0.59%	0.44%	0.50%	0.35%	0.27%	0.23%	0.16%	0.36%	0.11%	0.26%	0.52%	0.12%	0.36%	0.00%	0.00%	0.48%	0.11%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2977	45	87	38	67	71	3	107	64	62	43	47	37	55	40	62	71	39	56	44	40	4	79	77	55	39	37	54	35	55	33	74	45	49	44	93	45	109	70	79	42	39	37	70	45	73	58	79	105	35	45	79	86	30					
		4.33%	4.76%	12.81%	3.88%	4.73%	5.15%	1.36%	5.80%	3.95%	4.43%	4.44%	4.91%	5.01%	2.81%	2.13%	4.19%	5.18%	5.23%	7.52%	5.14%	3.33%	0.84%	5.45%	5.49%	2.85%	2.99%	2.51%	2.65%	3.46%	2.75%	2.85%	5.14%	4.73%	3.57%	5.29%	5.09%	3.82%	6.91%	5.81%	5.51%	5.59%	2.29%	1.93%	5.08%	2.52%	6.41%	4.32%	4.83%	5.34%	6.17%	3.38%	5.37%	4.76%	5.77%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3658	52	37	60	46	64	0	78	103	63	55	34	52	26	14	119	93	28	63	67	64	7	122	104	56	40	89	22	48	27	75	79	36	74	72	104	72	121	74	86	51	41	75	110	118	106	186	161	136	36	51	54	76	31					
		5.32%	5.50%	5.45%	6.13%	3.25%	4.64%	0.00%	4.23%	6.35%	4.50%	5.68%	3.55%	7.05%	1.33%	0.75%	8.04%	6.79%	3.75%	8.46%	7.83%	5.32%	1.47%	8.41%	7.41%	2.90%	3.07%	6.03%	1.08%	4.74%	1.35%	6.48%	5.49%	3.78%	5.40%	8.65%	5.69%	6.12%	7.67%	6.14%	5.99%	6.79%	2.41%	3.91%	7.98%	6.61%	9.31%	13.85%	9.85%	6.91%	6.35%	3.83%	3.67%	4.21%	5.96%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	375	6	3	5	4	11	1	10	9	9	7	2	3	7	8	12	5	2	5	4	6	0	9	6	6	4	15	7	4	3	7	19	9	12	5	7	8	13	7	9	1	1	2	8	6	3	6	17	12	5	16	11	13	5					
		0.55%	0.63%	0.44%	0.51%	0.28%	0.80%	0.45%	0.54%	0.56%	0.64%	0.72%	0.21%	0.41%	0.36%	0.43%	0.81%	0.36%	0.27%	0.67%	0.47%	0.50%	0.00%	0.62%	0.43%	0.31%	0.31%	1.02%	0.34%	0.40%	0.15%	0.61%	1.32%	0.95%	0.88%	0.60%	0.38%	0.68%	0.82%	0.58%	0.63%	0.13%	0.06%	0.10%	0.58%	0.34%	0.26%	0.45%	1.04%	0.61%	0.88%	1.20%	0.75%	0.72%	0.96%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	51074	660	426	650	1062	924	199	1451	1099	1051	696	724	534	1650	1612	1039	990	567	493	570	942	455	994	1011	1619	1105	1127	1706	769	1771	868	1048	719	1006	561	1394	912	1072	827	1073	529	1352	1565	964	1301	646	745	1037	1398	400	1036	1037	1304	384					
		74.28%	69.84%	62.74%	66.39%	74.95%	67.01%	90.05%	78.60%	67.80%	75.07%	71.83%	75.65%	72.36%	84.31%	85.93%	70.16%	72.26%	76.01%	66.17%	66.59%	78.30%	95.59%	68.55%	72.06%	83.97%	84.80%	76.41%	83.75%	75.99%	88.51%	75.02%	72.83%	75.53%	73.38%	67.43%	76.30%	77.49%	67.93%	68.63%	74.77%	70.44%	79.39%	81.64%	69.96%	72.89%	56.72%	55.47%	63.43%	71.07%	70.55%	77.78%	70.54%	72.24%	73.85%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1426	18	13	38	39	50	2	24	57	30	27	27	26	50	14	42	48	18	18	25	18	2	33	39	29	14	32	40	24	5	18	39	9	30	22	23	14	24	21	24	11	13	4	30	43	42	45	51	42	9	23	31	51	5					
		2.07%	1.90%	1.91%	3.88%	2.75%	3.63%	0.90%	1.30%	3.52%	2.14%	2.79%	2.82%	3.52%	2.55%	0.75%	2.84%	3.50%	2.41%	2.42%	2.92%	1.50%	0.42%	2.28%	2.78%	1.50%	1.07%	2.17%	1.96%	2.37%	0.25%	1.56%	2.71%	0.95%	2.19%	2.64%	1.26%	1.19%	1.52%	1.74%	1.67%	1.46%	0.76%	0.21%	2.18%	2.41%	3.69%	3.35%	3.12%	2.14%	1.59%	1.73%	2.11%	2.83%	0.96%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
