Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Назаровская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701					
1	"Число избирателей, внесенных в список избирателей"	16576	199	307	211	148	569	299	306	137	102	62	195	89	103	642	545	149	132	1094	176	361	140	134	1026	225	87	64	167	100	31	171	165	729	107	91	92	127	717	72	143	177	1336	301	169	720	131	77	68	1370	185	180	235	309	186	186	256	138	249	89					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13467	160	250	180	120	450	250	240	110	80	60	160	80	90	510	440	140	100	880	140	270	110	100	850	180	80	60	140	90	27	140	140	590	90	80	80	100	570	60	120	140	1100	240	140	550	100	60	60	1100	150	150	200	250	150	150	220	110	200	80					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9283	122	179	148	91	342	153	194	92	53	25	107	75	66	340	202	104	85	561	96	217	84	68	608	121	68	50	114	80	21	98	98	354	55	73	64	69	327	51	81	84	646	151	92	380	59	52	56	746	106	141	126	212	114	120	161	99	140	62					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	627	9	8	12	12	20	11	16	2	3	0	7	0	1	27	50	14	8	22	10	15	5	11	41	13	5	4	10	3	0	24	16	19	8	1	0	5	27	0	2	11	44	10	10	42	13	0	0	11	3	4	10	0	1	10	5	4	8	0					
6	Число погашенных избирательных бюллетеней	3557	29	63	20	17	88	86	30	16	24	35	46	5	23	143	188	22	7	297	34	38	21	21	201	46	7	6	16	7	6	18	26	217	27	6	16	26	216	9	37	45	410	79	38	128	28	8	4	343	41	5	64	38	35	20	54	7	52	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	627	9	8	12	12	20	11	16	2	3	0	7	0	1	27	50	14	8	22	10	15	5	11	41	13	5	4	10	3	0	24	16	19	8	1	0	5	27	0	2	11	44	10	10	42	13	0	0	11	3	4	10	0	1	10	5	4	8	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9279	122	179	148	91	342	153	194	92	53	25	107	75	66	340	202	104	85	557	96	217	84	68	608	121	68	50	114	80	21	98	98	354	55	73	64	69	327	51	81	84	646	151	92	380	59	52	56	746	106	141	126	212	114	120	161	99	140	62					
9	Число недействительных избирательных бюллетеней	164	0	4	7	2	15	1	1	1	0	0	0	3	2	6	9	4	0	4	1	3	1	3	13	2	0	0	5	2	0	1	3	7	2	0	0	0	1	0	0	0	10	4	2	5	4	2	1	16	3	1	4	1	2	3	2	0	1	0					
10	Число действительных избирательных бюллетеней	9742	131	183	153	101	347	163	209	93	56	25	114	72	65	361	243	114	93	575	105	229	88	76	636	132	73	54	119	81	21	121	111	366	61	74	64	74	353	51	83	95	680	157	100	417	68	50	55	741	106	144	132	211	113	127	164	103	147	62					
