Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Березовская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №401	УИК №402	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №442					
1	"Число избирателей, внесенных в списки"	12923	811	150	939	1874	1806	325	222	232	110	164	96	216	468	88	75	371	81	131	130	207	141	217	293	115	101	404	186	142	148	413	206	226	173	249	176	285	104	128	313	407					
2	"Число бюллетеней, полученных участковыми комиссиями"	12552	800	152	870	1710	1730	325	205	240	123	177	102	220	450	94	78	360	86	142	142	200	156	210	265	119	108	350	185	141	146	390	190	220	200	240	175	290	107	144	320	390					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8959	582	129	588	1237	1237	252	124	166	65	130	77	155	278	83	61	308	70	100	70	102	95	165	225	110	73	280	155	119	96	268	152	159	103	194	142	174	71	76	186	302					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1118	61	10	52	74	62	24	27	28	23	6	10	13	101	0	6	18	6	24	39	45	19	25	16	0	13	15	10	8	10	56	24	5	35	26	18	61	26	24	64	34					
6	Число погашенных бюллетеней	2475	157	13	230	399	431	49	54	46	35	41	15	52	71	11	11	34	10	18	33	53	42	20	24	9	22	55	20	14	40	66	14	56	62	20	15	55	10	44	70	54					
7	Число бюллетеней в переносных ящиках для голосования	1118	61	10	52	74	62	24	27	28	23	6	10	13	101	0	6	18	6	24	39	45	19	25	16	0	13	15	10	8	10	56	24	5	35	26	18	61	26	24	64	34					
8	Число бюллетеней в стационарных ящиках для голосования	8958	582	129	588	1237	1237	252	124	166	65	130	77	155	278	83	61	308	70	100	70	102	95	165	225	109	73	280	155	119	96	268	152	159	103	194	142	174	71	76	186	302					
9	Число недействительных бюллетеней	157	16	1	12	10	17	2	1	3	1	3	1	7	4	4	0	0	1	6	5	3	0	0	0	4	2	5	0	5	1	5	2	9	10	3	1	2	0	2	4	5					
10	Число действительных бюллетеней	9919	627	138	628	1301	1282	274	150	191	87	133	86	161	375	79	67	326	75	118	104	144	114	190	241	105	84	290	165	122	105	319	174	155	128	217	159	233	97	98	246	331					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	204	16	2	12	19	27	4	1	4	0	3	2	3	4	0	1	8	2	5	1	0	1	4	6	0	2	12	1	2	0	7	4	1	1	9	2	10	2	2	17	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	201	16	2	12	19	26	4	1	4	0	3	2	3	4	0	1	8	2	5	0	0	1	4	6	0	2	12	1	2	0	7	4	0	1	9	2	10	2	2	17	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	10	1	5	21	7	1	0	1	1	0	1	0	1	0	0	0	1	2	0	2	1	0	2	0	1	2	2	0	2	2	0	2	2	3	0	4	0	3	2	2					
14	Число погашенных открепительных удостоверений	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	15	0	0	0	0	3	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	226	15	6	18	21	19	7	5	7	3	3	1	5	5	3	1	5	1	3	4	6	2	3	9	4	3	8	1	1	1	7	2	4	8	6	6	4	2	4	5	8					
		2.24%	2.33%	4.31%	2.81%	1.60%	1.46%	2.53%	3.31%	3.60%	3.40%	2.20%	1.14%	2.97%	1.31%	3.61%	1.49%	1.53%	1.31%	2.41%	3.66%	4.08%	1.75%	1.57%	3.73%	3.66%	3.48%	2.71%	0.60%	0.78%	0.94%	2.16%	1.13%	2.43%	5.79%	2.72%	3.75%	1.70%	2.06%	4.0%	2.0%	2.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	197	13	2	9	28	69	1	1	3	3	3	0	1	5	0	0	6	1	1	1	4	1	1	2	0	1	6	4	2	3	3	2	0	1	0	0	1	3	2	2	12					
		1.95%	2.02%	1.43%	1.40%	2.13%	5.31%	0.36%	0.66%	1.54%	3.40%	2.20%	0.0%	0.59%	1.31%	0.0%	0.0%	1.84%	1.31%	0.80%	0.91%	2.72%	0.87%	0.52%	0.82%	0.0%	1.16%	2.03%	2.42%	1.57%	2.83%	0.92%	1.13%	0.0%	0.72%	0.0%	0.0%	0.42%	3.09%	2.0%	0.8%	3.57%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	240	17	6	18	32	19	6	3	6	5	1	0	6	2	0	2	6	0	2	3	4	4	5	5	5	9	3	4	4	3	9	10	1	6	2	8	3	3	3	4	11					
		2.38%	2.64%	4.31%	2.81%	2.44%	1.46%	2.17%	1.98%	3.09%	5.68%	0.73%	0.0%	3.57%	0.52%	0.0%	2.98%	1.84%	0.0%	1.61%	2.75%	2.72%	3.50%	2.63%	2.07%	4.58%	10.46%	1.01%	2.42%	3.14%	2.83%	2.77%	5.68%	0.60%	4.34%	0.90%	5.0%	1.27%	3.09%	3.0%	1.6%	3.27%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	123	6	0	9	19	46	2	2	2	0	1	1	1	5	0	0	2	0	1	1	0	3	0	1	1	0	6	3	1	1	1	0	0	2	0	2	1	1	1	1	0					
		1.22%	0.93%	0.0%	1.40%	1.44%	3.54%	0.72%	1.32%	1.03%	0.0%	0.73%	1.14%	0.59%	1.31%	0.0%	0.0%	0.61%	0.0%	0.80%	0.91%	0.0%	2.63%	0.0%	0.41%	0.91%	0.0%	2.03%	1.81%	0.78%	0.94%	0.30%	0.0%	0.0%	1.44%	0.0%	1.25%	0.42%	1.03%	1.0%	0.4%	0.0%					
22	"5. ""За Русь Святую"""	69	4	1	4	13	4	0	0	3	0	3	0	0	2	0	1	1	2	0	0	0	1	0	2	1	0	7	1	2	0	3	2	1	1	4	1	2	0	2	0	1					
		0.68%	0.62%	0.71%	0.62%	0.99%	0.30%	0.0%	0.0%	1.54%	0.0%	2.20%	0.0%	0.0%	0.52%	0.0%	1.49%	0.30%	2.63%	0.0%	0.0%	0.0%	0.87%	0.0%	0.82%	0.91%	0.0%	2.37%	0.60%	1.57%	0.0%	0.92%	1.13%	0.60%	0.72%	1.81%	0.62%	0.85%	0.0%	2.0%	0.0%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	79	3	0	3	10	8	3	3	0	0	2	1	2	4	1	2	1	0	0	1	1	4	1	0	1	0	4	0	2	2	1	1	1	2	4	2	2	1	0	3	3					
		0.78%	0.46%	0.0%	0.46%	0.76%	0.61%	1.08%	1.98%	0.0%	0.0%	1.47%	1.14%	1.19%	1.05%	1.20%	2.98%	0.30%	0.0%	0.0%	0.91%	0.68%	3.50%	0.52%	0.0%	0.91%	0.0%	1.35%	0.0%	1.57%	1.88%	0.30%	0.56%	0.60%	1.44%	1.81%	1.25%	0.85%	1.03%	0.0%	1.2%	0.89%					
24	"7. ""Новый курс - Автомобильная Россия"""	106	4	2	16	27	20	3	1	4	2	0	0	0	1	0	2	5	1	0	0	0	1	1	2	0	0	1	0	0	0	0	1	1	1	2	0	1	0	1	2	4					
		1.05%	0.62%	1.43%	2.5%	2.05%	1.53%	1.08%	0.66%	2.06%	2.27%	0.0%	0.0%	0.0%	0.26%	0.0%	2.98%	1.53%	1.31%	0.0%	0.0%	0.0%	0.87%	0.52%	0.82%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.56%	0.60%	0.72%	0.90%	0.0%	0.42%	0.0%	1.0%	0.8%	1.19%					
25	"8. ""Народно-республиканская партия России"""	20	0	0	1	0	0	0	0	1	2	0	1	0	0	0	1	3	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0					
		0.19%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.51%	2.27%	0.0%	1.14%	0.0%	0.0%	0.0%	1.49%	0.92%	0.0%	0.0%	0.0%	0.68%	1.75%	0.0%	0.0%	0.0%	1.16%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	1.44%	1.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
