Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Усть-Удинская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666					
1	"Число избирателей, внесенных в список избирателей"	11650	767	212	618	224	537	2068	2019	184	420	870	655	328	322	860	192	257	99	546	201	271					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11518	750	220	650	220	550	2000	2000	186	430	850	650	300	300	800	197	265	110	550	220	270					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4862	332	107	226	135	244	647	781	59	194	329	373	188	157	368	90	130	51	220	108	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	737	89	17	35	11	21	134	80	26	24	71	44	12	14	52	7	37	6	28	9	20					
6	Число погашенных избирательных бюллетеней	5919	329	96	389	74	285	1219	1139	101	212	450	233	100	129	380	100	98	53	302	103	127					
7	Число избирательных бюллетеней в переносных ящиках для голосования	737	89	17	35	11	21	134	80	26	24	71	44	12	14	52	7	37	6	28	9	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4862	332	107	226	135	244	647	781	59	194	329	373	188	157	368	90	130	51	220	108	123					
9	Число недействительных избирательных бюллетеней	68	2	1	2	0	6	11	12	0	3	5	5	2	4	3	2	1	0	5	1	3					
10	Число действительных избирательных бюллетеней	5531	419	123	259	146	259	770	849	85	215	395	412	198	167	417	95	166	57	243	116	140					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	20	5	35	5	47	30	45	5	34	15	22	3	5	10	3	3	3	15	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	276	20	5	35	0	35	20	44	3	27	10	22	0	5	8	3	3	0	11	20	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	3	1	0	1	0	5	6	2	1	34	3	1	0	0	1	1	1	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	54	0	0	0	5	12	10	1	2	7	5	0	3	0	2	0	0	3	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	679	48	12	45	14	32	115	124	11	22	37	52	12	24	48	7	25	2	34	8	7					
		12.13%	11.40%	9.68%	17.24%	9.59%	12.08%	14.72%	14.40%	12.94%	10.09%	9.25%	12.47%	6.00%	14.04%	11.43%	7.22%	14.97%	3.51%	13.71%	6.84%	4.90%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1028	69	15	50	40	71	125	152	9	59	83	72	33	29	64	13	52	5	50	23	14					
		18.36%	16.39%	12.10%	19.16%	27.40%	26.79%	16.01%	17.65%	10.59%	27.06%	20.75%	17.27%	16.50%	16.96%	15.24%	13.40%	31.14%	8.77%	20.16%	19.66%	9.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	2	1	3	1	3	3	11	0	4	3	4	0	0	3	2	2	0	0	1	0					
		0.77%	0.48%	0.81%	1.15%	0.68%	1.13%	0.38%	1.28%	0.00%	1.83%	0.75%	0.96%	0.00%	0.00%	0.71%	2.06%	1.20%	0.00%	0.00%	0.85%	0.00%					
