Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Газимуро-Заводская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529					
1	"Число избирателей, внесенных в списки"	6602	89	369	68	86	182	237	1698	405	771	632	70	434	102	305	156	396	90	159	147	206					
2	"Число бюллетеней, полученных участковыми комиссиями"	6676	89	368	71	86	174	234	1698	405	764	634	68	434	101	303	161	391	114	158	157	266					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3518	77	194	61	68	111	142	715	193	288	285	65	239	62	158	107	246	56	101	147	203					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	411	4	27	4	2	9	31	43	42	87	54	2	33	6	29	8	10	8	9	0	3					
6	Число погашенных бюллетеней	2747	8	147	6	16	54	61	940	170	389	295	1	162	33	116	46	135	50	48	10	60					
7	Число бюллетеней в переносных ящиках для голосования	411	4	27	4	2	9	31	43	42	87	54	2	33	6	29	8	10	8	9	0	3					
8	Число бюллетеней в стационарных ящиках для голосования	3518	77	194	61	68	111	142	715	193	288	285	65	239	62	158	107	246	56	101	147	203					
9	Число недействительных бюллетеней	67	2	4	0	1	6	0	8	9	2	12	2	3	3	2	1	8	0	0	0	4					
10	Число действительных бюллетеней	3862	79	217	65	69	114	173	750	226	373	327	65	269	65	185	114	248	64	110	147	202					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	79	2	2	2	2	2	2	25	2	10	5	2	7	2	2	2	2	2	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	0	1	0	0	1	0	12	0	10	1	0	3	0	1	0	1	0	0	0	0					
