Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Фрунзенская №23 																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637					
1	"Число избирателей, внесенных в списки"	149869	2510	2297	2795	3023	2390	2758	2625	2788	2507	2446	2744	2583	2743	2642	2710	2735	2756	2800	2549	2217	2044	2762	2648	2426	2542	2529	2485	2375	2402	2528	2491	1011	2363	1057	2039	2244	2313	2212	2944	2894	2513	2499	2352	2244	2317	2160	2263	2158	2093	2083	2025	2524	2512	2681	2375	2385	2201	2032	2124	2478	2466	2457					
2	"Число бюллетеней, полученных участковыми комиссиями"	140500	2200	2100	2500	3000	2150	2500	2500	2550	2500	2450	2500	2500	2500	2500	2500	2500	2500	2550	2500	2050	2000	2500	2500	2200	2500	2500	2250	2150	2200	2500	2500	1000	2150	1000	2000	2050	2100	2000	2650	2600	2500	2500	2150	2050	2100	2000	2050	2150	2000	2000	2000	2500	2500	2500	2150	2200	2000	2000	2000	2250	2250	2250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	62694	846	806	885	1016	778	851	1053	1152	1064	1033	1126	978	1196	1116	1132	1211	1131	1203	1076	910	932	1139	1108	1003	1070	1005	1077	1038	995	1085	1053	413	962	468	847	1032	835	1069	1294	1333	1150	1079	1001	931	1100	964	975	1034	886	936	785	1165	1045	1187	1086	1080	919	846	888	1102	1147	1067					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1042	10	19	10	14	24	9	13	20	20	21	27	14	24	17	25	22	19	6	20	18	8	14	13	17	26	14	29	14	12	18	33	10	19	2	12	19	6	17	13	25	15	15	8	21	20	21	7	10	19	4	29	16	9	15	22	22	20	31	18	11	13	23					
6	Число погашенных бюллетеней	76764	1344	1275	1605	1970	1348	1640	1434	1378	1416	1396	1347	1508	1280	1367	1343	1267	1350	1341	1404	1122	1060	1347	1379	1180	1404	1481	1144	1098	1193	1397	1414	577	1169	530	1141	999	1259	914	1343	1242	1335	1406	1141	1098	980	1015	1068	1106	1095	1060	1186	1319	1446	1298	1042	1098	1061	1123	1094	1137	1090	1160					
7	Число бюллетеней в переносных ящиках для голосования	1042	10	19	10	14	24	9	13	20	20	21	27	14	24	17	25	22	19	6	20	18	8	14	13	17	26	14	29	14	12	18	33	10	19	2	12	19	6	17	13	25	15	15	8	21	20	21	7	10	19	4	29	16	9	15	22	22	20	31	18	11	13	23					
8	Число бюллетеней в стационарных ящиках для голосования	62633	846	806	885	1016	776	851	1053	1152	1064	1022	1124	978	1196	1116	1132	1210	1131	1201	1076	910	932	1139	1108	1002	1070	1005	1071	1038	995	1066	1052	413	961	468	847	1032	835	1069	1294	1332	1150	1077	1001	931	1100	964	975	1034	886	932	785	1165	1045	1187	1083	1076	919	846	888	1101	1147	1067					
9	Число недействительных бюллетеней	352	7	2	3	5	6	7	6	6	8	5	8	2	7	6	5	7	3	4	6	6	4	10	2	3	0	2	4	0	12	7	6	2	9	0	7	14	8	0	8	9	4	4	9	10	6	2	7	8	9	8	1	9	6	6	4	8	2	8	6	1	7	11					
10	Число действительных бюллетеней	63323	849	823	892	1025	794	853	1060	1166	1076	1038	1143	990	1213	1127	1152	1225	1147	1203	1090	922	936	1143	1119	1016	1096	1017	1096	1052	995	1077	1079	421	971	470	852	1037	833	1086	1299	1348	1161	1088	1000	942	1114	983	975	1036	896	928	813	1172	1048	1196	1101	1090	937	869	900	1111	1153	1079					
