Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Тяжинская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19773	356	169	624	127	364	85	309	69	556	78	185	83	351	201	73	203	136	517	30	218	352	703	315	198	355	58	172	406	43	574	235	195	1798	932	1455	1025	1313	1133	1660	944	465	708									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19727	353	172	623	127	362	86	310	73	559	79	185	82	355	199	74	204	137	527	31	215	353	706	318	204	361	59	173	411	43	579	235	198	1750	944	1450	1040	1300	1100	1600	957	470	723									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17345	333	164	592	127	326	83	272	68	531	70	126	29	228	130	65	125	113	398	29	212	303	653	292	175	318	54	156	351	41	507	218	180	1623	871	1293	900	1203	1024	1494	603	409	656									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	874	13	0	0	0	31	0	13	0	11	0	7	17	8	15	3	14	21	78	0	2	19	22	1	12	31	3	7	37	2	42	11	10	103	30	44	63	44	55	33	57	9	6									
6	Число погашенных избирательных бюллетеней	1508	7	8	31	0	5	3	25	5	17	9	52	36	119	54	6	65	3	51	2	1	31	31	25	17	12	2	10	23	0	30	6	8	24	43	113	77	53	21	73	297	52	61									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	874	13	0	0	0	31	0	13	0	11	0	7	17	8	15	3	14	21	78	0	2	19	22	1	12	31	3	7	37	2	42	11	10	103	30	44	63	44	55	33	57	9	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17345	333	164	592	127	326	83	272	68	531	70	126	29	228	130	65	125	113	398	29	212	303	653	292	175	318	54	156	351	41	507	218	180	1623	871	1293	900	1203	1024	1494	603	409	656									
9	Число недействительных избирательных бюллетеней	94	0	3	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	11	8	2	4	0	0	6	0	0	0	0	0	5	7	0	8	7	0	17	11	0	0									
10	Число действительных избирательных бюллетеней	18125	346	161	592	127	357	83	284	68	542	70	133	46	233	145	68	139	133	476	29	214	311	667	291	183	349	57	157	388	43	549	229	190	1721	894	1337	955	1240	1079	1510	649	418	662									
