Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Ахтынская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787					
1	"Число избирателей, внесенных в списки"	16302	1224	1466	1095	1054	1705	233	197	348	270	936	767	588	269	442	1475	72	493	331	75	764	199	859	1250	190					
2	"Число бюллетеней, полученных участковыми комиссиями"	15435	1100	1305	1050	1000	1690	225	196	325	240	900	760	585	261	430	1300	72	480	310	75	750	160	800	1250	171					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14813	1089	1262	1043	970	1638	223	172	288	229	818	759	578	209	426	1228	72	472	299	72	743	160	772	1155	136					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	307	0	34	0	22	46	0	15	0	0	32	0	0	0	0	70	0	0	11	1	0	0	0	76	0					
6	Число погашенных бюллетеней	315	11	9	7	8	6	2	9	37	11	50	1	7	52	4	2	0	8	0	2	7	0	28	19	35					
7	Число бюллетеней в переносных ящиках для голосования	307	0	34	0	22	46	0	15	0	0	32	0	0	0	0	70	0	0	11	1	0	0	0	76	0					
8	Число бюллетеней в стационарных ящиках для голосования	14813	1089	1262	1043	970	1638	223	172	288	229	818	759	578	209	426	1228	72	472	299	72	743	160	772	1155	136					
9	Число недействительных бюллетеней	37	0	4	1	2	0	0	0	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	1					
10	Число действительных бюллетеней	15083	1089	1292	1042	990	1684	223	187	265	229	850	757	578	209	426	1298	72	472	310	73	743	160	772	1227	135					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	5	6	5	4	15	2	4	4	5	3	3	10	1	2	5	0	1	5	2	3	5	3	5	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	31	0	2	2	0	7	0	0	0	5	0	3	6	0	0	0	0	1	0	0	0	3	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	69	5	5	3	4	7	2	4	4	0	3	0	4	1	2	5	0	0	5	2	3	2	3	3	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	965	59	110	120	0	371	0	23	0	26	0	50	0	0	85	66	0	33	0	0	3	2	0	16	1					
		6.38%	5.41%	8.48%	11.50%	0.0%	22.03%	0.0%	12.29%	0.0%	11.35%	0.0%	6.58%	0.0%	0.0%	19.95%	5.08%	0.0%	6.99%	0.0%	0.0%	0.40%	1.25%	0.0%	1.29%	0.73%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	494	0	13	72	10	4	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	313	0	0					
		3.26%	0.0%	1.00%	6.90%	1.00%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	39.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	40.54%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
