Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Няндомская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24080	1640	1090	1534	1731	1892	1529	1519	1333	1353	1052	1431	1048	485	567	315	290	155	700	691	258	134	136	69	702	1192	547	420	91	176									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22245	1500	1000	1400	1600	1800	1400	1300	1200	1200	1000	1300	1000	450	550	300	250	150	650	650	250	120	120	65	700	1100	550	400	90	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8058	538	315	454	622	761	662	620	446	451	387	410	384	195	120	92	82	65	240	148	82	50	35	29	191	365	113	91	35	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	971	29	17	19	45	32	15	63	21	31	21	46	62	44	76	9	33	22	58	130	30	8	14	4	25	44	34	31	5	3									
6	Число погашенных избирательных бюллетеней	13216	933	668	927	933	1007	723	617	733	718	592	844	554	211	354	199	135	63	352	372	138	62	71	32	484	691	403	278	50	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	971	29	17	19	45	32	15	63	21	31	21	46	62	44	76	9	33	22	58	130	30	8	14	4	25	44	34	31	5	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8052	536	315	454	622	759	662	619	446	451	387	409	384	195	120	92	82	65	240	148	82	50	35	29	191	365	113	91	35	75									
9	Число недействительных избирательных бюллетеней	178	12	10	10	13	22	11	13	6	10	7	3	10	7	5	8	1	3	3	2	0	2	0	0	9	7	0	2	1	1									
10	Число действительных избирательных бюллетеней	8845	553	322	463	654	769	666	669	461	472	401	452	436	232	191	93	114	84	295	276	112	56	49	33	207	402	147	120	39	77									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	274	15	15	15	15	15	15	15	15	15	15	15	14	5	5	5	5	5	5	5	5	5	5	5	10	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	95	8	2	8	14	12	6	9	1	5	3	1	8	1	3	1	0	0	5	0	2	0	0	0	2	2	0	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	7	5	2	3	6	1	6	2	3	5	7	4	3	6	0	5	2	5	8	1	1	5	3	1	3	0	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	179	7	13	7	1	3	9	6	14	10	12	14	6	4	2	4	5	5	0	5	3	5	5	5	8	8	5	5	5	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	1	1	1	2	3	1	1	0	0	1	3	2	1	2	1	0	0	0	0	0	0	0	0	2	0	1	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	163	14	6	11	13	14	16	6	8	11	7	13	16	0	1	1	2	2	1	4	0	1	0	2	3	5	2	3	0	1									
		1.81%	2.48%	1.81%	2.33%	1.95%	1.77%	2.36%	0.88%	1.71%	2.28%	1.72%	2.86%	3.59%	0.00%	0.51%	0.99%	1.74%	2.30%	0.34%	1.44%	0.00%	1.72%	0.00%	6.06%	1.39%	1.22%	1.36%	2.46%	0.00%	1.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	189	19	9	9	12	13	21	21	7	11	9	4	15	7	5	1	1	2	2	2	3	2	0	1	4	4	0	3	0	2									
		2.09%	3.36%	2.71%	1.90%	1.80%	1.64%	3.10%	3.08%	1.50%	2.28%	2.21%	0.88%	3.36%	2.93%	2.55%	0.99%	0.87%	2.30%	0.67%	0.72%	2.68%	3.45%	0.00%	3.03%	1.85%	0.98%	0.00%	2.46%	0.00%	2.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	293	23	11	8	20	33	35	28	16	17	10	11	14	6	4	4	1	0	8	3	7	3	3	2	3	7	6	9	0	1									
