Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Кировградская городская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986					
1	"Число избирателей, внесенных в списки избирателей"	25225	2583	2597	2211	2023	2367	2053	1702	1973	1546	2280	1560	1138	1192					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24400	2550	2600	2200	1950	2250	2050	1650	1750	1500	2150	1500	1100	1150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14408	1602	1638	1282	1162	1408	1291	973	1071	826	1208	806	515	626					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1092	63	33	44	95	163	43	38	171	76	69	115	58	124					
6	Число погашенных избирательных бюллетеней	8900	885	929	874	693	679	716	639	508	598	873	579	527	400					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1092	63	33	44	95	163	43	38	171	76	69	115	58	124					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14408	1602	1638	1282	1162	1408	1291	973	1071	826	1208	806	515	626					
9	Число недействительных избирательных бюллетеней	152	23	12	17	9	15	12	18	11	11	9	11	0	4					
10	Число действительных избирательных бюллетеней	15348	1642	1659	1309	1248	1556	1322	993	1231	891	1268	910	573	746					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	283	28	25	25	25	25	25	30	30	20	20	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	260	28	24	25	16	25	21	21	30	20	20	10	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	200	9	7	6	3	92	5	11	12	5	21	6	4	19					
14	Число погашенных неиспользованных открепительных удостоверений	23	0	1	0	9	0	4	9	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	1	1	1	3	0	1	2	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	239	32	20	19	13	20	29	15	19	7	34	10	10	11					
		1.54%	1.92%	1.20%	1.43%	1.03%	1.27%	2.17%	1.48%	1.53%	0.78%	2.66%	1.09%	1.75%	1.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	271	51	33	19	15	27	34	16	37	7	16	8	0	8					
		1.75%	3.06%	1.97%	1.43%	1.19%	1.72%	2.55%	1.58%	2.98%	0.78%	1.25%	0.87%	0.00%	1.07%					
20	3.Политическая партия «Демократическая партия России»	7	0	0	1	0	2	1	1	0	1	0	1	0	0					
		0.05%	0.00%	0.00%	0.08%	0.00%	0.13%	0.07%	0.10%	0.00%	0.11%	0.00%	0.11%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1160	109	99	78	45	123	92	75	80	55	89	161	84	70					
		7.48%	6.55%	5.92%	5.88%	3.58%	7.83%	6.90%	7.42%	6.44%	6.10%	6.97%	17.48%	14.66%	9.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	218	23	42	18	20	22	18	11	11	6	28	6	4	9					
		1.41%	1.38%	2.51%	1.36%	1.59%	1.40%	1.35%	1.09%	0.89%	0.67%	2.19%	0.65%	0.70%	1.20%					
23	6.Политическая партия «Партия социальной справедливости»	37	1	11	3	3	2	4	3	2	1	3	2	1	1					
		0.24%	0.06%	0.66%	0.23%	0.24%	0.13%	0.30%	0.30%	0.16%	0.11%	0.23%	0.22%	0.17%	0.13%					
24	7.Политическая партия «Либерально-демократическая партия России»	1847	196	184	172	151	210	174	103	133	112	158	120	66	68					
		11.92%	11.77%	11.01%	12.97%	12.01%	13.37%	13.04%	10.19%	10.71%	12.42%	12.37%	13.03%	11.52%	9.07%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1353	172	121	103	105	132	139	97	94	78	100	98	61	53					
		8.73%	10.33%	7.24%	7.77%	8.35%	8.40%	10.42%	9.59%	7.57%	8.65%	7.83%	10.64%	10.65%	7.07%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	90	9	15	3	6	7	8	8	5	5	6	8	3	7					
		0.58%	0.54%	0.90%	0.23%	0.48%	0.45%	0.60%	0.79%	0.40%	0.55%	0.47%	0.87%	0.52%	0.93%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9996	1035	1112	886	874	987	812	658	844	612	826	495	341	514					
		64.49%	62.16%	66.55%	66.82%	69.53%	62.83%	60.87%	65.08%	67.95%	67.85%	64.68%	53.75%	59.51%	68.53%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	130	14	22	7	16	24	11	6	6	7	8	1	3	5					
		0.84%	0.84%	1.32%	0.53%	1.27%	1.53%	0.82%	0.59%	0.48%	0.78%	0.63%	0.11%	0.52%	0.67%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
