Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
"Наименование Избирательной комиссии:    Ростов-на-Дону, Октябрьская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1492	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №2490	УИК №2512	УИК №2513					
1	"Число избирателей, внесенных в список избирателей"	112939	2156	1978	2060	1726	2401	2319	2511	2411	2044	2193	2924	2103	2171	2059	2046	1778	1310	1860	2432	2095	2498	1972	2223	1905	3336	2182	2599	2148	2115	1704	2469	2210	2086	1679	2306	2511	3106	2334	2330	2435	2327	1891	2052	2628	1982	2713	2646	2878	2698	1722	677					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	104800	2000	1700	1900	1700	2300	2200	2200	2400	1900	2100	2500	1900	2000	2000	1800	1600	1100	1700	2300	1900	2400	1800	2000	1700	2900	2100	2200	2000	2000	1500	2300	2100	1900	1600	2200	2300	2800	2100	2200	2300	2100	1800	1900	2500	1900	2600	2500	2700	2600	1600	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65280	1493	1225	1365	826	1549	1296	960	1575	986	1320	2055	1794	1284	1432	1091	966	804	1162	1304	1189	1119	992	1196	1136	1594	1770	1514	1110	906	867	1394	996	807	670	916	1138	1335	1670	1377	1702	1158	1346	1213	1565	1579	1702	1805	1919	1939	887	282					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5405	10	129	133	133	143	47	124	51	73	44	16	31	68	48	180	103	19	83	33	281	141	81	293	52	290	105	40	107	56	65	36	157	65	39	93	42	560	25	132	135	140	22	23	41	187	49	25	17	72	171	395					
6	Число погашенных избирательных бюллетеней	34115	497	346	402	741	608	857	1116	774	841	736	429	75	648	520	529	531	277	455	963	430	1140	727	511	512	1016	225	646	783	1038	568	870	947	1028	891	1191	1120	905	405	691	463	802	432	664	894	134	849	670	764	589	542	323					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5404	10	129	133	133	143	47	124	51	73	44	16	31	68	48	180	103	19	83	33	281	141	81	293	52	290	105	40	107	56	65	36	156	65	39	93	42	560	25	132	135	140	22	23	41	187	49	25	17	72	171	395					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65060	1493	1225	1365	826	1549	1296	959	1575	986	1301	2004	1754	1279	1432	1091	964	803	1162	1304	1189	1119	990	1196	1116	1594	1770	1513	1109	876	867	1394	996	803	670	916	1120	1334	1670	1377	1702	1158	1324	1213	1565	1579	1700	1805	1919	1939	887	282					
9	Число недействительных избирательных бюллетеней	797	15	0	1	76	23	20	15	4	14	15	31	19	14	10	26	19	14	8	8	10	16	13	42	16	28	30	23	11	0	11	18	16	3	8	0	27	11	11	30	11	7	10	12	22	9	0	2	15	31	21	1					
10	Число действительных избирательных бюллетеней	69667	1488	1354	1497	883	1669	1323	1068	1622	1045	1330	1989	1766	1333	1470	1245	1048	808	1237	1329	1460	1244	1058	1447	1152	1856	1845	1530	1205	932	921	1412	1136	865	701	1009	1135	1883	1684	1479	1826	1291	1336	1224	1584	1757	1749	1828	1921	1980	1037	676					
