Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Борисоглебская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59496	1938	1755	1739	1747	430	1912	1455	1086	1206	2134	935	1010	2086	1586	995	789	1087	1755	1015	1427	1339	980	1869	1567	1817	2222	1955	2206	1532	1507	1446	399	185	1600	1669	474	1017	728	480	908	455	335	663	756	250	857	297	266	856	774									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54990	1800	1600	1600	1600	400	1800	1300	1000	1100	2000	800	900	1900	1400	850	700	1000	1600	800	1400	1200	800	1700	1400	1700	2000	1900	2000	1500	1400	1300	400	180	1500	1600	500	900	650	400	850	450	350	650	800	260	900	300	300	850	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22275	699	633	487	481	218	497	686	403	428	653	290	319	673	473	340	374	462	600	707	555	399	353	868	606	666	657	606	701	369	478	602	155	63	462	595	229	430	371	244	333	273	215	324	360	191	494	179	185	399	490									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3685	134	40	107	61	85	157	165	63	21	106	58	98	68	37	98	22	32	68	11	41	22	32	19	17	72	68	86	48	153	24	34	90	40	32	83	51	107	82	81	138	66	58	119	172	47	165	36	69	136	66									
6	Число погашенных избирательных бюллетеней	29030	967	927	1006	1058	97	1146	449	534	651	1241	452	483	1159	890	412	304	506	932	82	804	779	415	813	777	962	1275	1208	1251	978	898	664	155	77	1006	922	220	363	197	75	379	111	77	207	268	22	241	85	46	315	144									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3685	134	40	107	61	85	157	165	63	21	106	58	98	68	37	98	22	32	68	11	41	22	32	19	17	72	68	86	48	153	24	34	90	40	32	83	51	107	82	81	138	66	58	119	172	47	165	36	69	136	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22274	699	633	487	481	218	497	686	403	428	653	290	319	673	473	340	374	462	600	707	555	399	353	868	606	666	657	606	700	369	478	602	155	63	462	595	229	430	371	244	333	273	215	324	360	191	494	179	185	399	490									
9	Число недействительных избирательных бюллетеней	672	61	18	10	7	5	16	18	4	7	14	7	6	16	13	15	8	8	21	25	12	6	6	28	17	19	6	9	21	17	14	17	25	0	14	12	11	15	12	3	7	7	2	13	18	5	15	9	5	26	22									
10	Число действительных избирательных бюллетеней	25287	772	655	584	535	298	638	833	462	442	745	341	411	725	497	423	388	486	647	693	584	415	379	859	606	719	719	683	727	505	488	619	220	103	480	666	269	522	441	322	464	332	271	430	514	233	644	206	249	509	534									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	522	12	6	7	5	2	5	9	5	3	5	5	3	8	2	5	5	11	5	23	5	5	5	7	5	5	10	6	5	5	5	5	5	5	5	5	2	20	25	10	7	11	21	20	22	17	20	20	41	42	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	504	12	6	7	5	0	4	9	5	2	5	3	2	8	1	5	1	10	5	23	5	4	5	7	5	5	10	6	5	5	5	5	2	5	5	5	1	20	25	10	7	11	21	20	22	17	20	20	41	42	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	272	5	2	5	2	6	7	9	3	3	2	1	11	12	50	10	4	1	3	4	4	11	6	7	3	6	6	8	6	1	1	10	11	2	3	2	7	1	5	2	5	2	0	3	5	0	6	4	1	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	18	0	0	0	0	2	1	0	0	1	0	2	1	0	1	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	276	4	2	2	2	0	6	4	0	5	4	6	2	3	9	1	1	4	1	9	1	7	2	4	3	0	3	4	3	0	4	3	2	0	4	3	0	5	3	9	3	2	2	8	28	1	19	14	9	24	41									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1041	31	26	17	14	8	16	28	18	24	37	16	32	44	34	9	24	22	42	33	25	18	34	46	35	18	31	31	18	8	35	22	8	3	13	26	12	6	11	4	10	29	5	14	63	5	13	2	1	8	12									
		4.01%	3.72%	3.86%	2.86%	2.58%	2.64%	2.45%	3.29%	3.86%	5.35%	4.87%	4.60%	7.67%	5.94%	6.67%	2.05%	6.06%	4.45%	6.29%	4.60%	4.19%	4.28%	8.83%	5.19%	5.62%	2.44%	4.28%	4.48%	2.41%	1.53%	6.97%	3.46%	3.27%	2.91%	2.63%	3.83%	4.29%	1.12%	2.43%	1.23%	2.12%	8.55%	1.83%	3.16%	11.84%	2.10%	1.97%	0.93%	0.39%	1.50%	2.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	865	32	24	20	13	6	22	19	12	12	26	11	13	26	14	11	11	9	23	24	29	13	12	28	27	17	31	24	29	15	14	19	14	2	20	20	18	24	14	10	19	16	8	13	11	4	15	15	25	9	22									
		3.33%	3.84%	3.57%	3.37%	2.40%	1.98%	3.36%	2.23%	2.58%	2.67%	3.43%	3.16%	3.12%	3.51%	2.75%	2.51%	2.78%	1.82%	3.44%	3.34%	4.87%	3.09%	3.12%	3.16%	4.33%	2.30%	4.28%	3.47%	3.88%	2.87%	2.79%	2.99%	5.71%	1.94%	4.05%	2.95%	6.43%	4.47%	3.09%	3.08%	4.03%	4.72%	2.93%	2.93%	2.07%	1.68%	2.28%	6.98%	9.84%	1.68%	3.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	505	12	13	7	8	6	10	12	8	7	13	5	7	23	8	7	8	12	18	5	17	9	6	36	18	17	15	11	12	15	15	12	2	0	12	13	3	12	3	6	5	4	1	15	11	4	17	5	2	7	11									
		1.95%	1.44%	1.93%	1.18%	1.48%	1.98%	1.53%	1.41%	1.72%	1.56%	1.71%	1.44%	1.68%	3.10%	1.57%	1.60%	2.02%	2.43%	2.69%	0.70%	2.85%	2.14%	1.56%	4.06%	2.89%	2.30%	2.07%	1.59%	1.60%	2.87%	2.99%	1.89%	0.82%	0.00%	2.43%	1.92%	1.07%	2.23%	0.66%	1.85%	1.06%	1.18%	0.37%	3.39%	2.07%	1.68%	2.58%	2.33%	0.79%	1.31%	1.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11546	368	259	284	225	149	327	380	199	176	315	152	205	304	206	175	190	248	232	331	252	172	135	350	239	344	285	332	301	222	197	259	71	48	192	284	122	242	210	189	254	176	120	209	221	156	404	88	169	288	290									
		44.48%	44.18%	38.48%	47.81%	41.51%	49.17%	50.00%	44.65%	42.70%	39.20%	41.50%	43.68%	49.16%	41.03%	40.39%	39.95%	47.98%	50.20%	34.73%	46.10%	42.28%	40.86%	35.06%	39.46%	38.36%	46.61%	39.31%	47.98%	40.24%	42.53%	39.24%	40.72%	28.98%	46.60%	38.87%	41.89%	43.57%	45.07%	46.36%	58.15%	53.93%	51.92%	43.96%	47.18%	41.54%	65.55%	61.31%	40.93%	66.54%	53.83%	52.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	191	4	10	8	6	2	5	7	4	4	7	1	2	4	5	3	2	2	12	11	2	3	1	6	4	4	7	5	6	1	4	3	3	0	3	5	1	7	0	0	2	1	1	8	2	0	1	3	0	7	2									
		0.74%	0.48%	1.49%	1.35%	1.11%	0.66%	0.76%	0.82%	0.86%	0.89%	0.92%	0.29%	0.48%	0.54%	0.98%	0.68%	0.51%	0.40%	1.80%	1.53%	0.34%	0.71%	0.26%	0.68%	0.64%	0.54%	0.97%	0.72%	0.80%	0.19%	0.80%	0.47%	1.22%	0.00%	0.61%	0.74%	0.36%	1.30%	0.00%	0.00%	0.42%	0.29%	0.37%	1.81%	0.38%	0.00%	0.15%	1.40%	0.00%	1.31%	0.36%									
24	"6. Политическая партия ""Гражданская Платформа"""	44	2	0	3	1	0	3	0	0	1	2	0	1	0	2	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	6	0	0	0	1	1	1	0	1	0	2	3	0	1	1	1	0	1	4									
		0.17%	0.24%	0.00%	0.51%	0.18%	0.00%	0.46%	0.00%	0.00%	0.22%	0.26%	0.00%	0.24%	0.00%	0.39%	0.23%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.11%	0.00%	0.14%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	2.45%	0.00%	0.00%	0.00%	0.36%	0.19%	0.22%	0.00%	0.21%	0.00%	0.73%	0.68%	0.00%	0.42%	0.15%	0.47%	0.00%	0.19%	0.72%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3604	100	92	65	61	42	76	83	61	67	105	56	43	85	86	93	41	55	85	149	89	63	52	139	72	108	107	99	121	75	58	82	44	10	64	88	29	78	59	46	72	52	48	66	94	23	78	33	33	86	91									
		13.88%	12.00%	13.67%	10.94%	11.25%	13.86%	11.62%	9.75%	13.09%	14.92%	13.83%	16.09%	10.31%	11.47%	16.86%	21.23%	10.35%	11.13%	12.72%	20.75%	14.93%	14.96%	13.51%	15.67%	11.56%	14.63%	14.76%	14.31%	16.18%	14.37%	11.55%	12.89%	17.96%	9.71%	12.96%	12.98%	10.36%	14.53%	13.02%	14.15%	15.29%	15.34%	17.58%	14.90%	17.67%	9.66%	11.84%	15.35%	12.99%	16.07%	16.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	155	6	3	6	6	1	7	8	5	2	1	1	2	5	2	6	2	0	8	6	4	3	2	5	5	0	7	6	7	0	3	3	7	0	3	6	1	2	1	2	1	1	0	2	0	1	2	0	0	3	1									
		0.60%	0.72%	0.45%	1.01%	1.11%	0.33%	1.07%	0.94%	1.07%	0.45%	0.13%	0.29%	0.48%	0.67%	0.39%	1.37%	0.51%	0.00%	1.20%	0.84%	0.67%	0.71%	0.52%	0.56%	0.80%	0.00%	0.97%	0.87%	0.94%	0.00%	0.60%	0.47%	2.86%	0.00%	0.61%	0.88%	0.36%	0.37%	0.22%	0.62%	0.21%	0.29%	0.00%	0.45%	0.00%	0.42%	0.30%	0.00%	0.00%	0.56%	0.18%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	167	4	4	6	4	2	6	4	7	4	5	2	2	9	0	0	4	3	10	4	5	4	6	2	2	3	1	4	6	1	8	7	4	0	4	5	2	1	2	3	3	3	4	1	1	1	1	0	1	1	1									
		0.64%	0.48%	0.59%	1.01%	0.74%	0.66%	0.92%	0.47%	1.50%	0.89%	0.66%	0.57%	0.48%	1.21%	0.00%	0.00%	1.01%	0.61%	1.50%	0.56%	0.84%	0.95%	1.56%	0.23%	0.32%	0.41%	0.14%	0.58%	0.80%	0.19%	1.59%	1.10%	1.63%	0.00%	0.81%	0.74%	0.71%	0.19%	0.44%	0.92%	0.64%	0.88%	1.47%	0.23%	0.19%	0.42%	0.15%	0.00%	0.39%	0.19%	0.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	51	0	2	1	2	0	0	1	2	0	1	1	2	2	1	3	2	0	1	5	0	0	1	2	0	3	1	0	2	1	1	0	7	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1									
		0.20%	0.00%	0.30%	0.17%	0.37%	0.00%	0.00%	0.12%	0.43%	0.00%	0.13%	0.29%	0.48%	0.27%	0.20%	0.68%	0.51%	0.00%	0.15%	0.70%	0.00%	0.00%	0.26%	0.23%	0.00%	0.41%	0.14%	0.00%	0.27%	0.19%	0.20%	0.00%	2.86%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.21%	0.00%	0.37%	0.00%	0.19%	0.00%	0.15%	0.00%	0.00%	0.19%	0.18%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	204	7	9	3	6	1	1	12	7	4	6	5	4	8	3	2	7	9	13	4	4	2	3	6	3	7	10	4	1	5	5	6	2	0	1	6	5	2	1	0	2	4	1	1	0	2	3	2	0	3	2									
		0.79%	0.84%	1.34%	0.51%	1.11%	0.33%	0.15%	1.41%	1.50%	0.89%	0.79%	1.44%	0.96%	1.08%	0.59%	0.46%	1.77%	1.82%	1.95%	0.56%	0.67%	0.48%	0.78%	0.68%	0.48%	0.95%	1.38%	0.58%	0.13%	0.96%	0.99%	0.94%	0.82%	0.00%	0.20%	0.88%	1.79%	0.37%	0.22%	0.00%	0.42%	1.18%	0.37%	0.23%	0.00%	0.84%	0.46%	0.93%	0.00%	0.56%	0.36%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5200	164	168	134	159	60	132	191	92	107	164	74	86	162	110	85	69	90	150	83	121	84	82	160	134	152	178	135	184	122	96	144	30	33	130	167	49	118	112	54	64	30	68	80	91	32	80	41	6	70	73									
		20.03%	19.69%	24.96%	22.56%	29.34%	19.80%	20.18%	22.44%	19.74%	23.83%	21.61%	21.26%	20.62%	21.86%	21.57%	19.41%	17.42%	18.22%	22.46%	11.56%	20.30%	19.95%	21.30%	18.04%	21.51%	20.60%	24.55%	19.51%	24.60%	23.37%	19.12%	22.64%	12.24%	32.04%	26.32%	24.63%	17.50%	21.97%	24.72%	16.62%	13.59%	8.85%	24.91%	18.06%	17.11%	13.45%	12.14%	19.07%	2.36%	13.08%	13.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	155	3	2	4	6	0	1	5	3	3	4	2	2	4	3	4	3	2	0	8	1	3	4	7	6	8	5	3	4	4	4	9	2	0	2	4	6	4	2	2	2	0	1	3	1	0	4	3	0	1	1									
		0.60%	0.36%	0.30%	0.67%	1.11%	0.00%	0.15%	0.59%	0.64%	0.67%	0.53%	0.57%	0.48%	0.54%	0.59%	0.91%	0.76%	0.40%	0.00%	1.11%	0.17%	0.71%	1.04%	0.79%	0.96%	1.08%	0.69%	0.43%	0.53%	0.77%	0.80%	1.42%	0.82%	0.00%	0.40%	0.59%	2.14%	0.74%	0.44%	0.62%	0.42%	0.00%	0.37%	0.68%	0.19%	0.00%	0.61%	1.40%	0.00%	0.19%	0.18%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1559	39	43	26	24	21	32	83	44	31	59	15	10	49	23	24	25	34	53	30	33	41	41	71	61	37	41	28	36	36	48	53	20	7	36	42	19	25	25	6	28	16	11	15	18	4	24	13	12	24	23									
		6.01%	4.68%	6.39%	4.38%	4.43%	6.93%	4.89%	9.75%	9.44%	6.90%	7.77%	4.31%	2.40%	6.61%	4.51%	5.48%	6.31%	6.88%	7.93%	4.18%	5.54%	9.74%	10.65%	8.00%	9.79%	5.01%	5.66%	4.05%	4.81%	6.90%	9.56%	8.33%	8.16%	6.80%	7.29%	6.19%	6.79%	4.66%	5.52%	1.85%	5.94%	4.72%	4.03%	3.39%	3.38%	1.68%	3.64%	6.05%	4.72%	4.49%	4.14%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
