Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Эльбрусская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338					
1	"Число избирателей, внесенных в списки"	18171	898	959	1007	498	315	1340	176	689	1484	1028	1466	732	1751	1617	1539	343	347	1378	604					
2	"Число бюллетеней, полученных участковыми комиссиями"	18356	899	901	980	444	299	1283	160	694	1491	1668	1484	672	1598	1627	1506	343	339	1384	584					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	5	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13605	842	812	957	355	227	696	134	416	1450	1019	975	466	1337	1115	1083	269	244	861	347					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	490	0	20	5	25	34	75	25	27	15	7	18	7	11	13	17	21	6	104	60					
6	Число погашенных бюллетеней	4256	57	69	18	64	38	512	1	250	26	640	491	199	250	497	406	53	89	419	177					
7	Число бюллетеней в переносных ящиках для голосования	490	0	20	5	25	34	75	25	27	15	7	18	7	11	13	17	21	6	104	60					
8	Число бюллетеней в стационарных ящиках для голосования	13442	832	812	957	347	227	696	134	417	1435	1021	994	461	1290	1034	1066	269	242	861	347					
9	Число недействительных бюллетеней	246	0	0	0	0	17	25	0	0	13	8	19	28	22	37	22	0	0	39	16					
10	Число действительных бюллетеней	13686	832	832	962	372	244	746	159	444	1437	1020	993	440	1279	1010	1061	290	248	926	391					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	109	5	5	5	3	3	6	2	3	8	8	8	8	8	8	8	3	5	9	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	0	4	2	1	0	3	0	0	0	2	8	2	1	3	2	0	0	0	2					
