Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Алькеевская																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК  713	УИК  714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760					
1	"Число избирателей, внесенных в списки"	15232	284	317	670	889	863	667	530	109	402	249	313	409	243	135	194	321	170	189	587	264	102	233	253	87	185	448	484	242	254	459	242	83	219	327	103	177	317	250	192	191	222	610	344	233	284	52	593	241					
2	"Число бюллетеней, полученных участковыми комиссиями"	16005	286	332	667	946	926	688	550	115	430	266	336	430	256	143	194	338	171	198	649	282	106	235	270	91	190	470	497	242	271	508	257	84	233	334	109	182	337	261	197	202	240	645	365	244	291	56	629	256					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14295	267	307	609	805	814	640	480	109	393	244	309	402	215	116	185	297	167	182	578	254	102	203	219	82	182	345	462	216	239	435	218	79	207	321	103	176	313	244	184	191	190	558	330	191	280	49	566	237					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	727	12	7	25	33	18	25	13	0	9	5	4	4	25	16	9	20	3	7	9	7	0	28	34	5	3	103	19	26	13	24	24	4	12	6	0	1	4	6	8	0	32	43	13	39	0	3	23	3					
6	Число погашенных бюллетеней	983	7	18	33	108	94	23	57	6	28	17	23	24	16	11	0	21	1	9	62	21	4	4	17	4	5	22	16	0	19	49	15	1	14	7	6	5	20	11	5	11	18	44	22	14	11	4	40	16					
7	Число бюллетеней в переносных ящиках для голосования	727	12	7	25	33	18	25	13	0	9	5	4	4	25	16	9	20	3	7	9	7	0	28	34	5	3	103	19	26	13	24	24	4	12	6	0	1	4	6	8	0	32	43	13	39	0	3	23	3					
8	Число бюллетеней в стационарных ящиках для голосования	14293	267	307	609	805	814	640	480	109	393	244	309	402	215	116	185	295	167	182	578	254	102	203	219	82	182	345	462	216	239	435	218	79	207	321	103	176	313	244	184	191	190	558	330	191	280	49	566	237					
9	Число недействительных бюллетеней	28	0	0	3	0	8	0	0	0	4	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3					
10	Число действительных бюллетеней	14992	279	314	631	838	824	665	493	109	398	249	313	406	240	132	194	315	167	189	587	259	102	230	253	87	185	447	481	242	252	459	242	83	219	327	103	177	317	250	192	191	222	601	341	229	280	52	589	237					
