Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    Видяевская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №302	УИК №303	УИК №304					
1	"Число избирателей, внесенных в список избирателей"	3914	1291	1175	1448					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4025	1340	1340	1345					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2468	817	730	921					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	27	13	7	7					
6	Число погашенных избирательных бюллетеней	1530	510	603	417					
7	Число избирательных бюллетеней в переносных ящиках для голосования	27	13	7	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2468	817	730	921					
9	Число недействительных избирательных бюллетеней	58	10	22	26					
10	Число действительных избирательных бюллетеней	2437	820	715	902					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	152	52	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	107	44	40	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	29	29	31					
14	Число погашенных неиспользованных открепительных удостоверений	45	8	10	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	3	2					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	346	102	107	137					
		13.87%	12.29%	14.52%	14.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	406	139	118	149					
		16.27%	16.75%	16.01%	16.06%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	34	14	7	13					
		1.36%	1.69%	0.95%	1.40%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	459	141	142	176					
		18.40%	16.99%	19.27%	18.97%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	9	5	16					
		1.20%	1.08%	0.68%	1.72%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1147	409	331	407					
		45.97%	49.28%	44.91%	43.86%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	15	6	5	4					
		0.60%	0.72%	0.68%	0.43%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
