Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва										
Дата голосования: 02.12.2007										
										
Наименование Избирательной комиссии:    Видяевская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №302	УИК №303	УИК №304					
1	"Число избирателей, внесенных в списки избирателей"	4458	1440	1468	1550					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4260	1440	1400	1420					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2737	921	896	920					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	12	1	7	4					
6	Число погашенных избирательных бюллетеней	1511	518	497	496					
7	Число избирательных бюллетеней в переносных ящиках для голосования	12	1	7	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2737	921	896	920					
9	Число недействительных избирательных бюллетеней	36	13	13	10					
10	Число действительных избирательных бюллетеней	2713	909	890	914					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	106	36	35	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	21	7	5	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	19	3	5	11					
14	Число погашенных неиспользованных открепительных удостоверений	85	29	30	26					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	22	16	6					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0					
										
18	1.Политическая партия «Аграрная партия России»	54	13	18	23					
		1.96%	1.41%	1.99%	2.49%					
19	2.Всероссийская политическая партия «Гражданская Сила»	19	5	4	10					
		0.69%	0.54%	0.44%	1.08%					
20	3.Политическая партия «Демократическая партия России»	3	0	2	1					
		0.11%	0.00%	0.22%	0.11%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	176	63	51	62					
		6.40%	6.83%	5.65%	6.71%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	1	1	2					
		0.15%	0.11%	0.11%	0.22%					
23	6.Политическая партия «Партия социальной справедливости»	6	1	1	4					
		0.22%	0.11%	0.11%	0.43%					
24	7.Политическая партия «Либерально-демократическая партия России»	326	112	114	100					
		11.86%	12.15%	12.62%	10.82%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	286	96	91	99					
		10.40%	10.41%	10.08%	10.71%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	30	4	12	14					
		1.09%	0.43%	1.33%	1.52%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1798	610	592	596					
		65.41%	66.16%	65.56%	64.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	11	4	4	3					
		0.40%	0.43%	0.44%	0.32%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
