Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Усольская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331					
1	"Число избирателей, внесенных в списки избирателей"	37112	186	1327	1569	807	1235	746	451	71	1518	1489	1686	1474	1548	1718	485	1803	1662	2085	325	1741	239	471	1195	208	1635	1669	1056	650	210	1049	325	520	1244	192	417	968	169	874	95					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35929	181	1310	1377	789	1213	725	430	62	1436	1455	1654	1446	1519	1713	472	1800	1642	2040	315	1650	230	442	1140	199	1589	1623	1000	641	203	1007	280	511	1205	181	400	988	160	816	85					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20723	85	713	1201	400	683	329	263	44	907	893	1004	932	922	968	246	1058	1046	923	166	924	169	309	628	98	841	743	689	303	143	525	114	243	733	86	188	529	102	505	68					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1493	13	87	7	69	41	85	29	8	51	13	17	19	21	70	36	11	20	60	8	53	4	6	47	13	35	91	26	143	1	62	61	36	46	11	24	123	14	29	3					
6	Число погашенных избирательных бюллетеней	13713	83	510	169	320	489	311	138	10	478	549	633	495	576	675	190	731	576	1057	141	673	57	127	465	88	713	789	285	195	59	420	105	232	426	84	188	336	44	282	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1493	13	87	7	69	41	85	29	8	51	13	17	19	21	70	36	11	20	60	8	53	4	6	47	13	35	91	26	143	1	62	61	36	46	11	24	123	14	29	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20719	85	713	1200	400	683	329	263	44	907	892	1004	932	922	967	246	1057	1046	923	166	924	169	309	628	98	841	743	689	303	143	525	114	243	733	86	188	529	102	505	68					
9	Число недействительных избирательных бюллетеней	472	3	8	50	7	25	15	7	1	13	27	23	11	8	15	7	17	16	13	5	19	7	2	16	0	31	29	13	8	4	23	6	6	7	0	7	14	2	7	0					
10	Число действительных избирательных бюллетеней	21740	95	792	1157	462	699	399	285	51	945	878	998	940	935	1022	275	1051	1050	970	169	958	166	313	659	111	845	805	702	438	140	564	169	273	772	97	205	638	114	527	71					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	593	2	21	18	10	21	4	4	6	4	27	37	15	17	26	5	16	36	16	3	21	2	4	11	2	12	16	26	26	7	20	3	5	31	2	14	72	22	8	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	523	1	21	18	10	13	3	0	0	4	26	28	15	17	23	5	16	31	16	3	17	0	3	11	0	12	16	21	26	4	20	3	5	30	1	8	72	22	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	252	2	4	11	8	5	3	7	4	11	10	6	6	6	11	5	8	21	4	6	11	5	9	3	5	3	7	7	7	3	3	4	6	9	3	4	14	1	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	70	1	0	0	0	8	1	4	6	0	1	9	0	0	3	0	0	5	0	0	4	2	1	0	2	0	0	5	0	3	0	0	0	1	1	6	0	0	6	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
