Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Благодарненская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44963	2342	2370	2440	2380	1193	2161	1022	2106	2078	2098	2093	2239	1465	1492	1087	534	2452	2268	1358	846	915	1639	1663	1762	1153	882	925									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44239	2344	2350	2300	2350	1200	2150	1000	2100	2050	2100	2100	2045	1450	1450	1050	500	2450	2250	1350	850	900	1600	1650	1750	1150	850	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14470	589	759	740	790	311	556	204	574	613	688	608	665	448	348	415	301	810	771	482	313	359	594	684	585	335	302	626									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1937	90	47	120	65	33	53	27	47	105	52	96	75	24	48	65	12	145	93	36	74	115	155	105	106	54	42	53									
6	Число погашенных избирательных бюллетеней	27832	1665	1544	1440	1495	856	1541	769	1479	1332	1360	1396	1305	978	1054	570	187	1495	1386	832	463	426	851	861	1059	761	506	221									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1937	90	47	120	65	33	53	27	47	105	52	96	75	24	48	65	12	145	93	36	74	115	155	105	106	54	42	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14465	589	759	740	790	311	556	204	574	613	688	607	665	448	348	415	301	810	771	479	313	359	594	684	585	335	302	625									
9	Число недействительных избирательных бюллетеней	521	17	22	20	28	9	29	10	25	26	27	20	19	27	25	17	11	18	16	25	15	0	15	20	45	12	16	7									
10	Число действительных избирательных бюллетеней	15881	662	784	840	827	335	580	221	596	692	713	683	721	445	371	463	302	937	848	490	372	474	734	769	646	377	328	671									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	118	2	7	14	7	3	1	2	6	4	6	7	10	2	1	7	0	2	6	1	0	1	7	7	3	2	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	2	5	18	6	2	3	6	8	3	4	2	1	3	1	5	0	6	3	1	2	0	1	6	3	4	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	162	8	3	6	3	7	9	8	4	6	4	3	0	8	9	3	10	8	4	9	10	9	3	3	7	8	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	1	2	1	0	2	1	1	5	1	3	5	1	0	0	8	0	1	1	1	0	0	1	2	2	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	139	9	6	5	9	1	3	4	9	6	10	4	9	7	7	1	4	6	8	1	1	3	4	5	8	3	5	1									
		0.85%	1.33%	0.74%	0.58%	1.05%	0.29%	0.49%	1.73%	1.45%	0.84%	1.35%	0.57%	1.22%	1.48%	1.77%	0.21%	1.28%	0.63%	0.93%	0.19%	0.26%	0.63%	0.53%	0.63%	1.16%	0.77%	1.45%	0.15%									
