Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
"Наименование Избирательной комиссии:    Волгоград, Советская"																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501					
1	"Число избирателей, внесенных в списки"	80624	2501	2300	2603	2404	2291	901	2457	2593	2563	974	1405	2536	523	1523	1862	1734	2522	2428	2750	1781	679	1765	2325	2462	2300	2360	1656	2332	2251	1091	2302	1961	1748	2480	2570	2868	2780	1090	806	1428	719					
2	"Число бюллетеней, полученных участковыми комиссиями"	81000	2500	2300	2600	2300	2300	900	2300	2600	2600	1000	1400	2800	600	1500	1900	1800	2500	2400	2700	1800	700	1800	2300	2500	2300	2400	1700	2400	2300	1300	2300	2000	1800	2400	2600	2900	2800	700	900	1400	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37960	1253	1141	1227	1224	1188	325	1190	1234	1315	426	642	1186	210	653	877	819	930	1258	1471	907	239	1054	1143	1077	1169	1226	633	1013	1120	316	1175	1026	903	922	992	1022	1399	633	431	703	288					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1208	13	18	25	21	20	13	7	40	19	17	50	6	84	50	46	19	17	20	47	47	9	31	33	23	22	20	30	24	25	204	9	12	22	21	20	18	0	34	36	19	17					
6	Число погашенных бюллетеней	41830	1234	1141	1348	1053	1092	562	1103	1326	1266	557	708	1608	306	797	979	962	1553	1122	1182	846	452	715	1123	1400	1109	1153	1037	1363	1155	780	1116	962	875	1457	1588	1860	1401	33	433	678	395					
7	Число бюллетеней в переносных ящиках для голосования	1208	13	18	25	21	20	13	7	40	19	17	50	6	84	50	46	19	17	20	47	47	9	31	33	23	22	20	30	24	25	204	9	12	22	21	20	18	0	34	36	19	17					
8	Число бюллетеней в стационарных ящиках для голосования	37948	1251	1148	1227	1229	1172	325	1190	1231	1312	426	642	1186	210	653	877	819	929	1258	1462	904	239	1054	1143	1077	1169	1226	640	1012	1118	316	1184	1026	904	922	992	1022	1398	633	431	703	288					
9	Число недействительных бюллетеней	831	8	4	19	50	4	18	23	3	24	25	39	8	41	13	33	23	16	19	19	17	10	23	12	46	15	24	18	49	30	3	14	28	17	25	33	38	10	8	7	10	5					
10	Число действительных бюллетеней	38325	1256	1162	1233	1200	1188	320	1174	1268	1307	418	653	1184	253	690	890	815	930	1259	1490	934	238	1062	1164	1054	1176	1222	652	987	1113	517	1179	1010	909	918	979	1002	1388	659	460	712	300					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1486	30	30	30	30	0	5	30	30	30	30	45	70	30	10	30	25	15	30	30	13	30	10	30	30	30	30	30	10	30	163	30	30	30	30	10	30	30	270	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	812	13	6	14	11	0	3	10	10	8	0	12	56	0	6	16	8	14	18	15	13	11	10	27	10	10	11	5	4	15	118	19	10	20	6	6	11	26	256	0	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	467	13	10	14	19	8	10	8	17	14	8	8	24	11	13	11	16	11	13	17	11	10	9	15	17	6	11	10	12	12	22	12	13	10	3	3	6	8	5	9	14	4					
14	Число погашенных открепительных удостоверений	619	17	24	16	19	0	2	20	20	0	0	33	14	30	4	14	17	1	12	15	0	19	0	3	20	20	19	25	6	15	45	11	20	10	21	4	19	4	14	30	27	29					
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	2	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	354	6	14	9	13	8	3	17	5	12	0	20	5	3	12	4	8	11	13	10	6	4	12	4	8	3	5	4	11	2	6	8	11	5	12	7	40	9	10	2	8	4					
		0.90%	0.47%	1.20%	0.71%	1.04%	0.67%	0.88%	1.42%	0.39%	0.90%	0.0%	2.89%	0.41%	1.02%	1.70%	0.43%	0.95%	1.16%	1.01%	0.66%	0.63%	1.61%	1.10%	0.34%	0.72%	0.25%	0.40%	0.59%	1.06%	0.17%	1.15%	0.67%	1.05%	0.53%	1.27%	0.69%	3.84%	0.64%	1.49%	0.42%	1.10%	1.31%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1971	87	58	55	77	90	12	63	74	90	20	37	83	5	28	44	43	36	70	70	35	13	43	83	51	57	52	31	45	53	65	64	49	29	27	39	31	91	10	19	23	19					
		5.03%	6.88%	4.97%	4.39%	6.16%	7.55%	3.55%	5.26%	5.82%	6.76%	4.51%	5.34%	6.96%	1.70%	3.98%	4.76%	5.13%	3.80%	5.47%	4.63%	3.68%	5.24%	3.96%	7.05%	4.63%	4.78%	4.17%	4.62%	4.34%	4.63%	12.5%	5.36%	4.72%	3.13%	2.86%	3.85%	2.98%	6.50%	1.49%	4.06%	3.18%	6.22%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1191	43	36	45	48	37	11	23	27	37	10	15	13	16	13	42	41	33	28	49	28	8	34	35	23	65	33	23	43	57	9	38	43	25	34	26	26	27	8	14	18	7					
